source_file,section,experiment,model,n_cycles,MAE_mean,MAE_std,SMAPE_mean,R2_mean,num_seeds
results_sop_common_matr_hust_eol85.json,cross_dataset,matr_to_hust,elastic_net,50,203583.20615705498,216509.34838198655,195.56363183287445,-1526969.8612172932,5
results_sop_common_matr_hust_eol85.json,cross_dataset,matr_to_hust,xgboost,100,802.8775767008462,54.887027498450685,73.37061741465625,-10.321458977414405,5
results_sop_common_matr_hust_eol85.json,cross_dataset,matr_to_hust,catboost,100,857.6515311465189,60.43179387548007,79.89232641948223,-11.425578332255034,5
results_sop_common_matr_hust_eol85.json,cross_dataset,matr_to_hust,random_forest,100,876.7328703996748,65.233355669254,82.31277898719802,-12.063896129936392,5
results_sop_common_matr_hust_eol85.json,cross_dataset,matr_to_hust,elastic_net,100,66799.9427242782,35265.37081734731,190.10153855894796,-152508.90793580702,5
results_sop_common_matr_hust_eol85.json,within_dataset,hust_to_hust,elastic_net,25,182.61761035227747,23.72910710531639,12.467305459058544,0.06938670121198491,5
results_sop_common_matr_hust_eol85.json,within_dataset,hust_to_hust,catboost,25,188.26614788487427,30.907672446981223,12.799613551082945,0.08313103579461875,5
results_sop_common_matr_hust_eol85.json,within_dataset,hust_to_hust,random_forest,25,189.44249008086828,22.087690298308484,12.875442594268293,0.0625471369690573,5
results_sop_common_matr_hust_eol85.json,within_dataset,hust_to_hust,xgboost,25,204.8013203938802,21.71571997280854,13.90526351646379,-0.08452282566408012,5
results_sop_common_matr_hust_eol85.json,within_dataset,hust_to_hust,random_forest,50,171.66330102062287,34.899705013701436,11.761499571751477,0.21040251935111964,5
results_sop_common_matr_hust_eol85.json,within_dataset,hust_to_hust,elastic_net,50,172.67016881812333,24.374283789385885,11.77261159225181,0.20359019799869832,5
results_sop_common_matr_hust_eol85.json,within_dataset,hust_to_hust,catboost,50,177.288839780244,30.696389183349854,12.150849610107409,0.16723876705139046,5
results_sop_common_matr_hust_eol85.json,within_dataset,hust_to_hust,xgboost,50,187.19775797526043,55.96010116456315,12.865757829911294,0.04713244109617978,5
results_sop_common_matr_hust_eol85.json,within_dataset,hust_to_hust,random_forest,100,181.03807953493265,21.97839362788359,12.320375638223483,0.1772449408728125,5
results_sop_common_matr_hust_eol85.json,within_dataset,hust_to_hust,catboost,100,183.3131999803348,17.883201974129722,12.483467267513788,0.20228585710384336,5
results_sop_common_matr_hust_eol85.json,within_dataset,hust_to_hust,xgboost,100,183.969189453125,33.51831719597405,12.491780677969292,0.1594569356523318,5
results_sop_common_matr_hust_eol85.json,within_dataset,hust_to_hust,elastic_net,100,192.3470437535132,35.96957957251235,13.27244542342664,0.07450959479337108,5
results_sop_common_matr_hust_eol85.json,within_dataset,matr_to_matr,elastic_net,25,240.99761823447702,46.27247597639624,35.75546445705704,-0.027602464490284962,5
results_sop_common_matr_hust_eol85.json,within_dataset,matr_to_matr,catboost,25,243.85679100180477,48.64386379330238,35.900821430337835,-0.12043449602362225,5
results_sop_common_matr_hust_eol85.json,within_dataset,matr_to_matr,xgboost,25,249.89656016031904,25.57395844910707,35.86263215688122,-0.1999235092070377,5
results_sop_common_matr_hust_eol85.json,within_dataset,matr_to_matr,random_forest,25,252.84471307864342,27.313381153036186,36.11560748252954,-0.1727038156701129,5
results_sop_common_matr_hust_eol85.json,within_dataset,matr_to_matr,xgboost,50,217.15771713256837,59.039381750653796,31.30875811831412,0.03546972583160215,5
results_sop_common_matr_hust_eol85.json,within_dataset,matr_to_matr,catboost,50,220.5820243641405,40.61470997449854,31.670303440496912,-0.03377430197827036,5
results_sop_common_matr_hust_eol85.json,within_dataset,matr_to_matr,random_forest,50,221.87998046061028,45.76536046115213,31.84487170338855,0.07554129879048103,5
results_sop_common_matr_hust_eol85.json,within_dataset,matr_to_matr,elastic_net,50,258.08626625189015,64.17297396139541,36.704945353082884,-0.4586671574337616,5
results_sop_common_matr_hust_eol85.json,within_dataset,matr_to_matr,catboost,100,213.75349004522008,35.66455980106071,31.027897969792576,0.1747986931394824,5
results_sop_common_matr_hust_eol85.json,within_dataset,matr_to_matr,random_forest,100,226.4140196955222,35.1238691327778,33.53575621088197,0.08935001935835078,5
results_sop_common_matr_hust_eol85.json,within_dataset,matr_to_matr,elastic_net,100,239.64439848754836,32.84808512857262,35.43781555530144,-0.025619164733522038,5
results_sop_common_matr_hust_eol85.json,within_dataset,matr_to_matr,xgboost,100,243.00055745442705,37.056677404346786,35.28643147433339,-0.011320170288112918,5
