experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,best_epoch,epochs_run,best_val_loss,final_train_loss,prediction_log_lower,prediction_log_upper
luh_to_hust,naive_cross,luh,hust,numpy_1d_cnn,100,42,74,16,77,527.1485149823326,44.11849476071368,-4.133713010819691,412,492,0.043213152301975054,0.01774509984266988,4.127134385045092,7.387090235656757
luh_to_sandia,naive_cross,luh,sandia,numpy_1d_cnn,100,42,74,16,50,520.6693738424801,60.19142578203761,0.3386089013513376,412,492,0.043213152301975054,0.01774509984266988,4.127134385045092,7.387090235656757
matr_to_matr,within_split,matr,matr,numpy_1d_cnn,100,123,89,20,20,144.56172774606108,17.12723202341582,0.7396844283427171,41,121,0.2491651811646521,0.17709940804849675,4.890349128221754,7.633369649679584
hust_to_hust,within_split,hust,hust,numpy_1d_cnn,100,123,53,12,12,253.19366826827354,16.987826229524437,-0.29710913384684345,45,125,0.7458281423568618,0.3841698176279199,6.720220155135295,7.6128310304073565
sandia_to_sandia,within_split,sandia,sandia,numpy_1d_cnn,100,123,34,8,8,77.91529994115365,26.31428137017836,0.9912095566760433,177,257,0.0909862664276652,0.037095608614945645,4.499809670330265,8.123854263105914
luh_to_luh,within_split,luh,luh,numpy_1d_cnn,100,123,74,16,16,72.92107321105841,11.833875719303451,0.8679995081108898,350,430,0.025804900560475214,0.035372394198240655,4.0943445622221,7.387090235656757
matr_to_hust,naive_cross,matr,hust,numpy_1d_cnn,100,123,89,20,77,735.7696099334627,69.34445341630914,-8.985817930943998,41,121,0.2491651811646521,0.17709940804849675,4.890349128221754,7.633369649679584
matr_to_sandia,naive_cross,matr,sandia,numpy_1d_cnn,100,123,89,20,50,906.0219544965986,94.09002293641893,-0.06782704710906295,41,121,0.2491651811646521,0.17709940804849675,4.890349128221754,7.633369649679584
matr_to_luh,naive_cross,matr,luh,numpy_1d_cnn,100,123,89,20,106,297.7057543081077,57.78537644083629,0.17437782274371783,41,121,0.2491651811646521,0.17709940804849675,4.890349128221754,7.633369649679584
hust_to_matr,naive_cross,hust,matr,numpy_1d_cnn,100,123,53,12,129,765.1491259867179,71.82852476498776,-4.162536682173752,45,125,0.7458281423568618,0.3841698176279199,6.720220155135295,7.6128310304073565
hust_to_sandia,naive_cross,hust,sandia,numpy_1d_cnn,100,123,53,12,50,814.2960092095396,105.93707385270376,0.25191196487461454,45,125,0.7458281423568618,0.3841698176279199,6.720220155135295,7.6128310304073565
hust_to_luh,naive_cross,hust,luh,numpy_1d_cnn,100,123,53,12,106,431.2358490566038,73.60374493636553,-0.44135443255375595,45,125,0.7458281423568618,0.3841698176279199,6.720220155135295,7.6128310304073565
sandia_to_matr,naive_cross,sandia,matr,numpy_1d_cnn,100,123,34,8,129,2537.6671361531367,125.30475553617897,-50.15810825116837,177,257,0.0909862664276652,0.037095608614945645,4.499809670330265,8.123854263105914
sandia_to_hust,naive_cross,sandia,hust,numpy_1d_cnn,100,123,34,8,77,1872.1740999923165,78.08642102050713,-46.586830295401924,177,257,0.0909862664276652,0.037095608614945645,4.499809670330265,8.123854263105914
sandia_to_luh,naive_cross,sandia,luh,numpy_1d_cnn,100,123,34,8,106,225.96038654573232,41.956871714174845,0.3169317385550604,177,257,0.0909862664276652,0.037095608614945645,4.499809670330265,8.123854263105914
luh_to_matr,naive_cross,luh,matr,numpy_1d_cnn,100,123,74,16,129,808.7642923809057,73.53320425434617,-4.828228980998746,350,430,0.025804900560475214,0.035372394198240655,4.0943445622221,7.387090235656757
luh_to_hust,naive_cross,luh,hust,numpy_1d_cnn,100,123,74,16,77,246.35064935064935,16.68152247095441,-0.20943291906883243,350,430,0.025804900560475214,0.035372394198240655,4.0943445622221,7.387090235656757
luh_to_sandia,naive_cross,luh,sandia,numpy_1d_cnn,100,123,74,16,50,469.42283947878985,59.398268620034,0.5048908799845139,350,430,0.025804900560475214,0.035372394198240655,4.0943445622221,7.387090235656757
matr_to_matr,within_split,matr,matr,numpy_1d_cnn,100,456,89,20,20,154.65066688885838,21.6408933525026,0.6682405154059239,79,159,0.16392766149858146,0.10592395505947898,5.5093883366279774,7.633369649679584
hust_to_hust,within_split,hust,hust,numpy_1d_cnn,100,456,53,12,12,294.61525709264015,19.352294838832197,-0.844562868974519,108,188,0.453356893711743,0.12073166414397188,6.720220155135295,7.6128310304073565
sandia_to_sandia,within_split,sandia,sandia,numpy_1d_cnn,100,456,34,8,8,127.56021108217803,32.94886774706737,0.9352235435951018,84,164,0.034755204717404044,0.15487631454263537,3.8918202981106265,8.143807976771484
luh_to_luh,within_split,luh,luh,numpy_1d_cnn,100,456,74,16,16,104.95824041849556,14.37606441617352,0.8398032312488083,163,243,0.03789763788707885,0.031229399446404016,4.0943445622221,7.387090235656757
matr_to_hust,naive_cross,matr,hust,numpy_1d_cnn,100,456,89,20,77,741.0196643399067,69.89075405003348,-8.775837714335172,79,159,0.16392766149858146,0.10592395505947898,5.5093883366279774,7.633369649679584
matr_to_sandia,naive_cross,matr,sandia,numpy_1d_cnn,100,456,89,20,50,1010.241284217742,104.8941207287291,-0.239709096950119,79,159,0.16392766149858146,0.10592395505947898,5.5093883366279774,7.633369649679584
matr_to_luh,naive_cross,matr,luh,numpy_1d_cnn,100,456,89,20,106,427.5440955499262,70.80532259926208,-0.8162106731405252,79,159,0.16392766149858146,0.10592395505947898,5.5093883366279774,7.633369649679584
hust_to_matr,naive_cross,hust,matr,numpy_1d_cnn,100,456,53,12,129,718.5057754167603,68.49681996927792,-3.8648060664480575,108,188,0.453356893711743,0.12073166414397188,6.720220155135295,7.6128310304073565
hust_to_sandia,naive_cross,hust,sandia,numpy_1d_cnn,100,456,53,12,50,1436.2470710123257,131.05827887774822,-0.9045564058253017,108,188,0.453356893711743,0.12073166414397188,6.720220155135295,7.6128310304073565
hust_to_luh,naive_cross,hust,luh,numpy_1d_cnn,100,456,53,12,106,655.8441522382961,88.06675944592699,-2.2769250562587424,108,188,0.453356893711743,0.12073166414397188,6.720220155135295,7.6128310304073565
