experiment,model,n_cycles,baseline_MAE,baseline_MAE_std,baseline_SMAPE,baseline_R2,baseline_R2_std,k5_MAE,k5_MAE_std,k5_SMAPE,k5_R2,k5_R2_std,k10_MAE,k10_MAE_std,k10_SMAPE,k10_R2,k10_R2_std,k20_MAE,k20_MAE_std,k20_SMAPE,k20_R2,k20_R2_std
matr_to_hust,gaussian_process,100,781.1531769368352,8.78339503178927,68.98240733300261,-8.124868589002542,0.18370474188932068,3331.5909878885586,4791.017347771054,26.193629661613876,-36990.330098548104,67670.68857842273,934.6005035313189,600.8139764538367,23.503297993191673,-1342.2005821435691,1111.7478572467292,243.5143614097582,31.341118838993474,16.567028998923384,-1.5986532160726088,1.6700762775124656
matr_to_hust,stacking,100,889.1355927174533,29.437563526325018,83.26364845743873,-10.657300165665855,0.6452262219860136,300.53554484583583,13.944028297249247,19.98075473549913,-1.1185259419958735,0.4508623133985843,247.53501724850025,5.321853760081138,16.79132905786041,-0.25700089656131964,0.07871657930389167,238.26948856994287,3.926930670460447,16.247082769100103,-0.13036262238559365,0.03468195900808914
hust_to_matr,elastic_net,50,11000911.232284246,6134322.393552784,45.67824373610056,-83362535592.45401,47520272763.530495,9693966.147421842,9234329.4671255,47.83398703272569,-198660157076.3223,281487156601.64374,5702357.81206418,5285798.986270172,40.49850166726795,-53374087219.30496,68698483833.74844,3661849.0636008233,3109052.182397231,38.60958707077518,-19324206351.414124,24876859223.494465
hust_to_matr,pls,50,15053828.285123184,900750.3506921836,46.32728082288602,-113028592775.2509,11812357555.485207,12387035.146425309,4909994.927315739,47.85334949932194,-216656836414.06732,226699024204.66904,8082246.804313593,3784499.1894821348,40.963621109853804,-62649952217.86656,48241329484.42282,5675574.601869146,2902959.4263115404,38.997843775755335,-33784305368.715466,28131055491.782825
hust_to_matr,random_forest,50,574.3098086332146,72.189385085237,60.26699193562803,-2.0620103785199673,0.7383876739931308,402.25907968532385,48.412174733960924,48.006673618414816,-2.429654716575328,1.6822401338906408,341.74358169299137,24.759946746486442,42.84471660860263,-1.0159984085381508,0.7121375062908641,293.95867459182347,8.293814696393255,38.24536678746966,-0.16121875718351844,0.15983484806372128
hust_to_matr,xgboost,50,650.5325165031493,60.29234685538831,65.19184873751823,-2.821178724413636,0.6321364626590678,414.334248356973,81.26239552805124,45.63938200803519,-4.5505983770970495,5.372598111154773,342.91367424972924,58.72682348495972,41.40254361222078,-1.615742846796799,2.369247841688071,285.15493577869654,3.9909318475635387,37.24466268472787,-0.05299771574857788,0.03574579311425834
hust_to_matr,catboost,50,694.9506903918323,20.37974635253485,68.02898019665226,-3.2558308936041676,0.2531561227327033,361.3120108826125,48.9194231716727,44.54440483784181,-1.73792240663942,2.199187000447933,308.3046587610699,17.24659700155395,40.15717541330932,-0.45541966110473275,0.3567940394984882,279.7070762006381,8.380048162812976,36.92788283151749,-0.044005844012830364,0.058769728156664605
hust_to_matr,gaussian_process,50,715.7969756922096,13.10478478462914,69.15023235601208,-3.5417101869228134,0.16295962539466072,2026.5459445598353,2360.2802874363574,49.75430395360259,-19899.744739459573,33736.26271183723,431.6424864832038,135.11162744825603,41.95541388500654,-34.16793257813906,41.228720879577786,339.32532116900876,69.33559262477341,38.992032796549495,-7.637439453492685,13.294983225386794
hust_to_matr,stacking,50,624.9082231975851,51.608889589099036,63.66840242352314,-2.53108050674207,0.5491997920183621,380.47311843515564,47.091067303957765,45.34664409247994,-2.0632008688175683,1.4340580187561425,335.313517857209,45.390846044111036,41.49659567039525,-1.1710538676585136,1.2254610776721773,285.7612554690742,7.284655526094095,37.71975883620088,-0.07630600613594064,0.06859860842644405
hust_to_matr,elastic_net,100,12425834.085643793,3770404.4561324776,51.03133911202788,-95150299795.17767,29129910074.745476,13337564.088020256,7912176.304125815,46.53123022375466,-434747783208.4786,562114767655.4786,7302393.302800661,3120871.5962341186,40.748950869842574,-73841547120.02597,54292599113.36383,5073780.783332193,1716734.3818211004,39.0118899527821,-38018231666.70807,22445844031.249866
hust_to_matr,pls,100,12403449.440803055,3797665.6398573928,57.380612921907186,-95147792218.56897,29132980945.8153,13501760.480768949,7855319.750537156,47.239719724707996,-236253152490.50433,211320938258.2825,8284628.009411109,4552042.747189498,40.31023853472009,-76889466566.38457,61748866672.55335,5684281.77957109,2334284.183479362,38.85630744544202,-42524785697.47887,24806540967.432693
hust_to_matr,random_forest,100,610.2009827688893,52.371601389722535,62.636091842786605,-2.403228691422733,0.5465802878714477,352.35635091237316,25.78222544060384,44.277391203402786,-0.9949917802214083,0.6219783681581326,318.3760759376848,31.286268670326063,40.99370873638528,-0.6648564451508812,0.8706278827394854,284.3961939926427,3.1355821561094177,37.22777011172805,-0.05706891470365266,0.014093125599405839
hust_to_matr,xgboost,100,657.9187573809957,64.66397543062008,65.45335371966303,-2.939494608178535,0.6975270249079448,370.4342196975216,49.266761646678866,44.997060154150994,-1.5726933161528518,1.4489670077463528,318.63683437058904,19.14569888884374,40.71570146323019,-0.5518758101247209,0.3504654176680784,286.66767109442196,2.2711333291203437,37.43158520201554,-0.08861905635489563,0.03552155583541811
hust_to_matr,catboost,100,670.9436156390645,29.89057289207676,66.37915269921147,-3.0645430734081356,0.34380038570287313,353.5457542170864,26.631032789153064,44.37443581112852,-0.8661931229891024,0.4881430432731452,310.78397343800935,13.829270387065833,40.27087147567424,-0.30184834685124595,0.16657441070441073,286.18020754481233,3.067393853004103,37.04158957700044,-0.07131411779363543,0.02870604194712606
hust_to_matr,gaussian_process,100,569.2234901436565,58.500429497236475,59.63702648731531,-2.051705110427774,0.5044564435130311,343.4022778802652,29.264903033517495,42.995839715479654,-0.6499156506771604,0.3108355642201485,305.06388153237845,5.124647067383633,38.656401237393666,-0.2522446429877767,0.05623317560654847,289.486045249971,3.4615330189164686,37.03776438403869,-0.10876040878381463,0.03931596423270359
hust_to_matr,stacking,100,635.5075452192123,40.16713071033531,64.2601866063301,-2.660167384199748,0.43151879471252447,348.3848356152053,17.58328921386028,44.900796693360235,-0.7068056202175064,0.25478340285180917,305.54992327517675,13.425793331532963,40.169545473426155,-0.25015203015319487,0.1460277273440911,283.6371979692094,2.3980496333855323,36.90514500140673,-0.04918320576560923,0.023815908182086523
