experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,y_mean_log,y_std_log,log_lower,log_upper,best_filters,best_learning_rate,best_epoch,epochs_run,best_val_loss,final_train_loss
luh_to_matr,naive_cross,luh,matr,pytorch_1d_cnn,100,789,74,16,129,434.92361573054006,49.347366853560246,-1.2708607670426262,6.005956172943115,0.9016876220703125,4.127134323120117,7.38709020614624,32,0.01,373,400,0.04714612662792206,0.020293103531003
luh_to_sandia,naive_cross,luh,sandia,pytorch_1d_cnn,100,1011,74,16,50,624.0765704684311,72.59173675280086,0.35638812818565746,6.0122599601745605,0.8932117819786072,4.094344615936279,7.38709020614624,32,0.01,65,125,0.045805007219314575,0.07005387544631958
luh_to_sandia,naive_cross,luh,sandia,pytorch_1d_cnn,100,123,74,16,50,366.69514401003784,36.03589664673146,0.5823824580567315,5.986907005310059,0.9334043264389038,4.094344615936279,7.38709020614624,32,0.003,117,177,0.020940396934747696,0.0627560019493103
luh_to_sandia,naive_cross,luh,sandia,pytorch_1d_cnn,100,42,74,16,50,530.6964894085976,67.71516974075867,0.30607587053541974,6.007865905761719,0.9053627848625183,4.127134323120117,7.38709020614624,8,0.01,11,71,0.09430023282766342,0.16118484735488892
luh_to_sandia,naive_cross,luh,sandia,pytorch_1d_cnn,100,456,74,16,50,780.7678947779052,77.2670918911068,0.04028025584196249,5.982973098754883,0.909216582775116,4.094344615936279,7.38709020614624,32,0.01,167,227,0.033145517110824585,0.04063117876648903
luh_to_sandia,naive_cross,luh,sandia,pytorch_1d_cnn,100,789,74,16,50,633.7533007023328,67.42063783291727,0.28602828835270977,6.005956172943115,0.9016876220703125,4.127134323120117,7.38709020614624,32,0.01,373,400,0.04714612662792206,0.020293103531003
matr_to_hust,naive_cross,matr,hust,pytorch_1d_cnn,100,1011,89,20,77,863.6253600528803,79.79824763078699,-10.115322214908451,6.573174953460693,0.43848228454589844,5.509388446807861,7.633369445800781,32,0.01,67,127,0.19552399218082428,0.3154819905757904
matr_to_hust,naive_cross,matr,hust,pytorch_1d_cnn,100,123,89,20,77,801.2493307939773,72.02904065516996,-8.755813700520042,6.538547992706299,0.4620335102081299,4.8903489112854,7.633369445800781,32,0.003,210,270,0.42837968468666077,0.1724379062652588
matr_to_hust,naive_cross,matr,hust,pytorch_1d_cnn,100,42,89,20,77,335.4738608945911,21.685794360693162,-1.2034105668052888,6.567969799041748,0.44667568802833557,5.509388446807861,7.633369445800781,8,0.01,384,400,0.35167813301086426,0.20261040329933167
matr_to_hust,naive_cross,matr,hust,pytorch_1d_cnn,100,456,89,20,77,845.6535221510464,77.34777021101807,-9.523955383906886,6.5606160163879395,0.4517723619937897,5.509388446807861,7.633369445800781,16,0.01,358,400,0.16238541901111603,0.11677830666303635
