dataset,experiment,model,n_cycles,MAE_mean,MAE_std,MAE_ci95_lower,MAE_ci95_upper,SMAPE_mean,SMAPE_std,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_mean,R2_std,R2_ci95_lower,R2_ci95_upper,n_seeds
hust,sandia_to_hust,elastic_net,50,4189.132557387502,1588.6909766836543,2374.8585816358027,6734.370047192887,141.3548469861127,7.155780574384953,127.25399605312177,155.00126687938138,-1981.7558638131413,1726.9989161165727,-5640.767366665801,-199.50779976328263,5
hust,sandia_to_hust,pls,50,3387.6584968144443,1847.1718042212678,2277.508581977464,4854.227779103082,121.5124264433171,22.14676666132263,109.06201269862206,133.75805157744142,-1080.2544769054768,1380.7641058799743,-2844.1263942600317,-173.30057180449774,5
hust,sandia_to_hust,elastic_net,100,671.9527041195022,348.55664621313895,573.8362311205512,782.3700358143499,49.21575146282315,39.97407312942008,44.0107579041571,54.65053313982404,-9.808573543869022,7.808594710949261,-16.479754240062256,-5.896791877940985,5
hust,sandia_to_hust,pls,100,1572.9286771391512,1903.705936450739,1226.0861047169724,1957.3160692828696,46.3264768535186,24.538340350665642,40.38565392416528,52.38362878082843,-201.13143363942854,387.1601565429865,-395.2182505144765,-91.92929305652078,5
luh,sandia_to_luh,elastic_net,50,360.00378745400917,21.857233506912213,296.35328812035436,426.0544426762485,75.8291773442675,7.426009128740267,67.78886523044585,83.6684601115863,-0.5258057711231252,0.15201128654393817,-0.8189182191085977,-0.3177867566075315,5
luh,sandia_to_luh,pls,50,327.5356492781846,60.255909073737605,268.44259041852064,388.74579564604693,67.08587978251413,18.689142306769003,60.113944007238445,73.91543573279512,-0.30254462816734523,0.4206099938755333,-0.5545700047470047,-0.11684119668462786,5
luh,sandia_to_luh,elastic_net,100,239.48918742473643,30.930467203273814,189.9080463888165,291.0181311290518,42.997425411964436,5.287137451865582,37.52875311829682,48.5776537215549,0.19748089577022895,0.16175799167485105,0.044866561213046954,0.32451133148609856,5
luh,sandia_to_luh,pls,100,185.04237304900192,50.90784000973259,145.98868366867902,226.67966113755202,35.34652869514298,7.797663031542167,29.762222989282964,41.3014554023413,0.4773756164979341,0.26368836338943813,0.3704986902093105,0.5712173999078896,5
matr,luh_to_matr,elastic_net,50,707040556.7902942,98650954.34523878,633819576.4140284,778616083.5453151,198.98177192935688,0.24982143413377536,197.55204976774647,199.85814268344535,-5266481978579.649,821741707451.6198,-7773910458205.7,-3853373678492.1826,5
matr,luh_to_matr,pls,50,749131734.4991837,93833723.54289038,679151823.0437849,815691955.1740077,198.87414056822794,0.5794895922839969,197.20281310719747,199.84542819700266,-5603388615449.4,784403309393.2998,-8270488986286.636,-4112225925316.167,5
matr,luh_to_matr,elastic_net,100,925410145.4659073,10087753.304749466,880785303.1538723,964847429.1149216,199.9903971282253,0.003346441750451633,199.9763286152382,199.99926212424083,-7044985103445.722,87817668545.38515,-10275607169108.633,-5250886090884.402,5
matr,luh_to_matr,pls,100,929944559.7211797,21122830.81180595,886801781.2553527,968604737.5306057,199.89362841243502,0.14941285892099698,199.6862848851361,199.99928862357473,-7081903372572.45,180993803503.7059,-10314811401647.871,-5269646280440.467,5
hust,luh_to_hust,elastic_net,50,93278433.895793,56028890.69764431,45082130.884893104,151359594.17174333,196.17878379016494,3.8763213853153116,194.34654466922746,197.6952912300141,-995062367948.1062,616722331726.6075,-2039882047763.0735,-358211838283.1187,5
hust,luh_to_hust,pls,50,259734862.96307826,350971158.08284587,213917107.02268898,313270565.17241466,198.50237672598882,0.9301080669065608,197.28902698704366,199.42770112217426,-3230583312380.604,4748554243065.982,-4939129726052.966,-2168473316275.7957,5
hust,luh_to_hust,elastic_net,100,998007784.0408115,3981452.8014937877,994026281.4319801,999998567.0622727,199.99940135131735,5.652447100601421e-06,199.99937536048344,199.99942698622203,-13276786132785.297,65368266682.27891,-17885633105316.234,-10552282265979.984,5
hust,luh_to_hust,pls,100,999998510.4415585,0.0,999998449.3976624,999998571.844935,199.9994041775409,0.0,199.99937976005734,199.99942873882213,-13309470266126.436,0.0,-17919726227470.355,-10597873406690.707,5
sandia,luh_to_sandia,elastic_net,50,6876936.334239391,5718688.946523678,376796.70513434184,18847889.427920338,158.5287635118886,11.503421975332843,144.06162750753387,171.80292941205064,-2190206600.527704,2906916321.0637994,-7217674612.057617,-4165258.125432439,5
sandia,luh_to_sandia,pls,50,52592575.32310525,76093275.5179277,21371769.260064922,96177217.05416062,157.54954992973438,4.343338422880306,141.98365335892737,171.8058767683004,-39658626629.27989,66071501028.88307,-68231402391.38603,-22602103799.248924,5
