dataset,experiment,model,n_cycles,MAE_mean,MAE_std,MAE_ci95_lower,MAE_ci95_upper,SMAPE_mean,SMAPE_std,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_mean,R2_std,R2_ci95_lower,R2_ci95_upper,n_seeds
hust,matr_to_hust,xgboost,100,840.4181536721222,83.29540498025808,773.7924698828195,906.2153523181998,77.41510579241614,10.916833623272684,72.56998979633426,82.13681910170371,-9.655550565540011,1.8317355192789095,-13.70932790712558,-7.263894871487073,5
hust,matr_to_hust,catboost,100,875.900754060016,52.98186845763551,810.7691244639633,938.7185182608348,81.62002447427163,6.981009364629876,77.07914225950415,85.95664054984368,-10.35458107369234,1.1907897028877996,-14.635962257996288,-7.819394854663825,5
hust,matr_to_hust,gaussian_process,100,763.007238641014,23.114910302144345,696.2486483293457,828.247457954237,67.09438129384253,2.5071856750789348,62.43284834870659,71.5714023299979,-7.936737027557716,0.32989466504972864,-11.359271580154669,-5.929555794957471,5
hust,matr_to_hust,stacking,100,872.6511527388636,60.31714997015888,807.2506005518768,936.177170268163,81.27942043987439,8.001346728416275,76.773632360167,85.6040145055857,-10.283568394910516,1.3306680726779365,-14.516175536109946,-7.78471157119976,5
matr,hust_to_matr,elastic_net,50,9415070.404690415,7461107.28614877,1157.3570417861952,23591651.492051803,88.24832455446365,15.207072716321864,82.10027662973566,94.35977495660708,-71422385705.28877,58190632235.859695,-187874328613.2421,-14.764379856460305,5
matr,hust_to_matr,pls,50,8322301.587873682,4966579.650711182,1265.5115497655206,23010258.878326494,90.55303290684635,12.830674629864978,84.18956014498222,96.8606759429862,-60408364759.46307,37643051952.14712,-188652515120.24146,-26.250925380838225,5
matr,hust_to_matr,random_forest,50,771.4881589988013,24.131203904576118,720.8736273396771,819.7032340123963,72.25551370946634,1.3631572140871782,66.37139213212342,78.05234729767673,-4.222689491073494,0.29279652336821094,-6.835129573194008,-2.7764896745561933,5
matr,hust_to_matr,xgboost,50,789.803158066407,48.041171144192646,738.6704446305192,838.1783232135597,73.17511651698922,2.560838921476595,67.32574753932664,78.93141233234178,-4.471349125422668,0.6107624779941868,-7.1967301232275815,-2.9539937580155615,5
matr,hust_to_matr,catboost,50,799.5511319542792,40.813677237015646,748.0056706952066,848.7698889884448,73.72457652946542,2.106795486093368,67.79552215043077,79.52745950053563,-4.601312639430467,0.5500325939539371,-7.385089567404767,-3.053281685843029,5
matr,hust_to_matr,gaussian_process,50,720.4115354056717,8.844668738331453,671.3812802577265,767.2806137196042,69.40772167831952,0.49802428365610824,63.56409831387621,75.23539331971965,-3.6008563543531564,0.10865485849299082,-5.884054756806205,-2.3359517189880123,5
matr,hust_to_matr,stacking,50,749.170048690615,34.839381581225844,698.9436728767562,796.8519239479194,70.98983470475116,1.8951299638131462,65.09870834676526,76.82380243561835,-3.9590001168578226,0.44498830420222873,-6.412591945674495,-2.592845216120861,5
matr,hust_to_matr,elastic_net,100,6202866.3904915545,7595020.481123295,1046.136838697159,15505585.696350992,84.55720843409951,12.33681867784381,77.62040264918296,91.44123176093198,-47573908754.658806,58265900495.71081,-123075617425.41895,-12.336632161257938,5
matr,hust_to_matr,pls,100,4781740.470137,6159469.647717195,826.964628797357,12793112.07464227,76.69615417034188,7.091472601947572,69.9133527823756,83.65506499562048,-35725731461.20817,47551132289.46161,-105270249577.22372,-5.922752033735984,5
matr,hust_to_matr,random_forest,100,795.3060056515611,16.09084889874807,742.7897370437046,845.3369651032899,73.45774713299895,0.8880417555259758,67.53171971640886,79.2133604098361,-4.554559712130967,0.20373349409512226,-7.332085183221625,-3.0077270852031157,5
matr,hust_to_matr,xgboost,100,833.5977242573441,34.64938800631025,780.1657517042964,885.0614776491157,75.43425268564428,1.884909580795819,69.50750530057529,81.20764504787067,-5.069574191343762,0.44878178984937234,-8.14215422847738,-3.3781111574555447,5
matr,hust_to_matr,catboost,100,827.224553465195,30.266287101972406,773.3243682069199,879.4871076646166,75.12253376439088,1.5534350978442182,69.13160836109864,80.99884399444319,-4.992046271172156,0.4122201699263234,-8.014209231902372,-3.316029671293445,5
matr,hust_to_matr,gaussian_process,100,720.3607091592451,8.77608286590477,671.3203111136161,767.271382605108,69.4051250330864,0.49441510225463464,63.56159223645052,75.23544723987237,-3.6001135620102005,0.10767907924470706,-5.8840605576719245,-2.335694803950325,5
matr,hust_to_matr,stacking,100,779.1141426548398,9.11998647943677,727.6194665288909,828.0893769526967,72.71197439987057,0.47691007285533565,66.84763113658936,78.42501347394247,-4.311024270155846,0.1252622155724911,-6.971026240309774,-2.849876962751643,5
