dataset,experiment,model,n_cycles,MAE_mean,MAE_std,MAE_ci95_lower,MAE_ci95_upper,SMAPE_mean,SMAPE_std,SMAPE_ci95_lower,SMAPE_ci95_upper,R2_mean,R2_std,R2_ci95_lower,R2_ci95_upper,n_seeds
luh,matr_to_luh,elastic_net,50,345.9492801385793,65.82950039723441,276.5332135263776,422.07612024463816,71.28899742273413,11.712693402049023,63.129488376534006,79.23168872691659,-0.7623435907366671,1.1444888919948604,-1.7320643642099776,-0.13669442098519574,5
luh,matr_to_luh,pls,50,433.1454052877315,117.0005591803889,353.9536386491574,512.9308611826614,92.07265315707757,26.49750675799882,83.69018161709049,100.3603481614551,-1.4161543757890924,1.8139837155619982,-2.518108932961444,-0.685040595273445,5
luh,matr_to_luh,random_forest,50,336.46609436981464,14.531588188024744,293.0228450411592,382.07315561093304,65.93773846282393,1.1537549786285635,57.40780092617386,74.59455891197597,-0.02118781881973708,0.04233340362132856,-0.12812847704460095,0.01994598855889664,5
luh,matr_to_luh,xgboost,50,356.1149394773087,24.515033912102243,311.36193258105584,401.49259749070654,67.98726328617866,2.1319786158929688,59.1308844507282,76.86905633244339,-0.11810923672283007,0.12354655224380696,-0.30785027622554395,-0.023035310489291333,5
luh,matr_to_luh,catboost,50,330.4144930987202,21.71692842751231,287.74607698562846,374.17228515678033,64.6730749473792,2.3888866340747406,56.02563196496759,73.56964838569732,0.026738188627250283,0.07936690495982957,-0.06667490374417998,0.0663184220808562,5
luh,matr_to_luh,gaussian_process,50,374.4939280771217,3.267298850696689,332.8142761417304,416.6432582685452,68.89716493537017,0.27807833711579216,59.36813311209578,78.67737764107885,-0.13455452935417692,0.015299798757581366,-0.37075685481188453,-0.027864171687136324,5
luh,matr_to_luh,stacking,50,335.59224018641464,24.31695194529462,291.8077531723376,380.23745279377573,65.3847615002812,2.2639826616715615,56.7581994696266,74.18929183571676,-0.008646903558051333,0.08248742372063965,-0.13020027268047354,0.05083427794862515,5
luh,matr_to_luh,elastic_net,100,1633.2751294768846,1452.5131217173457,1371.8998797118172,1928.8752334654698,99.36589157286376,33.60970261562124,90.86218265180518,108.24341499208654,-54.672054793774656,80.65289295320669,-94.2188467173562,-29.19803591037127,5
luh,matr_to_luh,pls,100,1232.3039365524944,1079.4034018741886,1006.3660361755043,1463.6986569529417,90.62717554791338,33.41204936965057,81.62424484781563,99.46396757657108,-31.591707710355784,39.24715609844828,-51.24913473617302,-17.675603406541114,5
luh,matr_to_luh,random_forest,100,358.9499398051017,49.44896364659202,315.2340047020416,403.56087895088683,67.6234954740438,4.244832819839519,58.79375817555107,76.67357091003387,-0.11171036279094995,0.24150983041351576,-0.33623683662167136,0.01105613984158404,5
luh,matr_to_luh,xgboost,100,362.10042128652896,26.05931943757433,317.73228972596945,407.74619327329236,68.37567513380208,1.9382278353796105,59.29694187555545,77.52981197665088,-0.12929947594625388,0.09105292753628398,-0.3372548648147909,-0.02452497331855246,5
luh,matr_to_luh,catboost,100,333.6314418432809,21.000089433828244,291.2163692273138,378.21062684903234,65.24505714214538,2.2366283143675543,56.628211913433255,73.88149207987068,0.010541119567832925,0.050325983928328405,-0.11067008652555435,0.0710403245060605,5
