dataset,cell_id,status,q0,retirement_cycle,retirement_throughput,available_future_throughput,soh_t0,recent_slope,early_slope,slope_change,curvature,history_mad,max_drop,linearity_r2,slope_ratio,history_range,future_temp,future_charge_rate,future_discharge_rate,future_soc_min,future_soc_max,chemistry,future_protocol,duty_stratum,local_noise,future_soh,target_g,target_horizon,target_instability,baseline_score,model_score
luh,luh_P029_3_S09_C07,eligible_primary,2.9128987621314213,226.0,199.48965207893062,514.7231637364052,0.8149291665705277,-0.0003964462496525007,-0.000929946254365169,0.0005335000047126683,9.644211682283757e-06,0.013436378233848412,0.005128058787512102,0.9530449700842138,-0.4263109268859157,0.0633185525931903,10.0,0.33,0.33,,,NMC,T10_C0.33_D0.33_Snan-nan,T10_C0.33_D0.33_Snan-nan,1.646016656309257e-16,0.8035113675837077,0.000228355979736401,50.0,1.4367991684432189e-05,0.00036179331188595896,0.00027258454497935725
luh,luh_P030_1_S06_C06,eligible_primary,2.918346575656434,208.0,183.56228008614502,372.33467946942324,0.8148192834822834,-0.0005296779477589585,-0.0009328715441831194,0.00040319359642416086,7.98062495258019e-06,0.013822183444757108,0.006649620748957807,0.9637958235285071,-0.5677930161572006,0.07134970358116899,10.0,0.33,1.0,,,NMC,T10_C0.33_D1_Snan-nan,T10_C0.33_D1_Snan-nan,1.646016656309257e-16,0.7976217141688878,0.0003439513862679111,50.0,1.0691022567140342e-05,0.0005543766459327144,0.0004128718634702782
luh,luh_P030_2_S08_C05,eligible_primary,2.915591718013638,208.0,183.81614577493164,348.1831261522841,0.8147739534746494,-0.0005642929918493577,-0.0009074611535874538,0.00034316816173809604,6.883480035624227e-06,0.014717526828918082,0.006708033479446152,0.9724614846481925,-0.6218370776738442,0.07255973166959184,10.0,0.33,1.0,,,NMC,T10_C0.33_D1_Snan-nan,T10_C0.33_D1_Snan-nan,1.646016656309257e-16,0.7966331151064001,0.00036281676736498624,50.0,2.4629684913807414e-06,0.0005805434973087769,0.0003970154474355383
luh,luh_P030_3_S09_C05,eligible_primary,2.916707573164656,208.0,183.8267157942282,351.8475308991799,0.8145972651462718,-0.0005612051425955903,-0.0009319779307515183,0.000370772788155928,7.3704786534813895e-06,0.014637668255248704,0.006661897573750908,0.9702311886845181,-0.6021656995064806,0.07317739299077819,10.0,0.33,1.0,,,NMC,T10_C0.33_D1_Snan-nan,T10_C0.33_D1_Snan-nan,1.646016656309257e-16,0.796183184146749,0.0003682816199904559,50.0,4.09210642651386e-06,0.000550006663457226,0.0004096457069593951
luh,luh_P033_1_S07_C08,eligible_primary,2.931979215807445,753.0,665.5118434632993,556.3917117155518,0.814850378014037,-0.00020154295398688992,-0.00019553675065797207,-6.006203328917854e-06,-1.1059248332397889e-07,0.005241454789703726,0.0010673449805901347,0.9999365074955895,-1.0307164934914141,0.01985787888060031,10.0,0.33,0.33,,,NMC,T10_C0.33_D0.33_Snan-nan,T10_C0.33_D0.33_Snan-nan,1.646016656309257e-16,0.8054165202645635,0.0001886771549894717,50.0,1.0460236691237781e-05,0.00013842562164456402,0.00022375037238953248
luh,luh_P033_2_S08_C08,eligible_primary,2.938376662801508,722.0,638.8023355010251,582.4390301049949,0.8149876948888871,-0.00020513731778996832,-0.0002105244336421797,5.387115852211377e-06,9.683699069447273e-08,0.0054962156543118534,0.0011169886616675395,0.9999505538942328,-0.9744109709309673,0.020831813403155097,10.0,0.33,0.33,,,NMC,T10_C0.33_D0.33_Snan-nan,T10_C0.33_D0.33_Snan-nan,3.292033312618514e-16,0.8048196493560525,0.00020336091065669136,50.0,1.4478314208901103e-05,0.00016052281113090844,0.00019403235795481088
luh,luh_P033_3_S09_C08,eligible_primary,2.926260176865601,751.0,663.5695609804989,519.4952805853302,0.8149872696317596,-0.0001913954427296768,-0.00019515177180769145,3.756329078014644e-06,7.007391239579929e-08,0.005050460064300988,0.0010345854120390463,0.999968698956862,-0.9807517551943302,0.019277233518326775,10.0,0.33,0.33,,,NMC,T10_C0.33_D0.33_Snan-nan,T10_C0.33_D0.33_Snan-nan,3.292033312618514e-16,0.8055971893993894,0.00018780160464740403,50.0,5.377946193457433e-06,0.0001499183627603023,0.00017379392515304046
luh,luh_P034_1_S07_C06,eligible_primary,2.9359988019016496,635.0,562.6023027913285,470.05037686159255,0.8149342872975606,-0.00023512102854501038,-0.00023357182182781806,-1.5492067171923223e-06,-2.4216685208067923e-08,0.00614610470258542,0.0012579648529829068,0.9999937394818228,-1.0066326781418622,0.023438404727897266,10.0,0.33,1.0,,,NMC,T10_C0.33_D1_Snan-nan,T10_C0.33_D1_Snan-nan,1.646016656309257e-16,0.8033954102601066,0.00023077754074907864,50.0,8.344440247428191e-07,0.00022049793309090814,0.00023740312452933695
luh,luh_P034_2_S08_C06,eligible_primary,2.9452863944678866,636.0,563.4397102866124,460.10118526612473,0.8148536650284905,-0.00023502840285651502,-0.00023349406448632982,-1.5343383701851994e-06,-2.342444966711332e-08,0.0061404257819320796,0.0012825125305370166,0.9999908447338778,-1.006571209309156,0.0234573231295927,10.0,0.33,1.0,,,NMC,T10_C0.33_D1_Snan-nan,T10_C0.33_D1_Snan-nan,1.646016656309257e-16,0.8030457398210259,0.00023615850414929307,50.0,2.8362207377759235e-06,0.00017535377632206132,0.00022933295092966702
luh,luh_P034_3_S09_C06,eligible_primary,2.9493234428383706,631.0,558.616339595659,470.8452138925337,0.8149518231394676,-0.0002314763378237922,-0.00023065006991526511,-8.262679085270909e-07,-1.0326886656443568e-08,0.006032784068751018,0.0012606919430144803,0.9999835353064921,-1.0035823440627207,0.0231527503407869,10.0,0.33,1.0,,,NMC,T10_C0.33_D1_Snan-nan,T10_C0.33_D1_Snan-nan,1.646016656309257e-16,0.8026783463586428,0.000245469535616496,50.0,7.334158318378236e-06,0.0002318948287992623,0.00022337916582004872
