dataset,cell_id,seed,model,observed,predicted
luh,luh_P051_1_S10_C08,42,baseline,0.00011670595349961177,0.00030140140593412786
luh,luh_P051_2_S11_C05,42,baseline,8.288254984678778e-05,0.00011656761053699448
luh,luh_P051_3_S12_C05,42,baseline,5.539829113302419e-05,0.00023774764126347045
luh,luh_P053_1_S15_C08,42,baseline,0.0002495024610029617,0.00022772767803560493
luh,luh_P053_2_S16_C08,42,baseline,0.0003058652843901277,0.00025433742781274106
luh,luh_P053_3_S19_C07,42,baseline,0.0003564940654700677,0.00022784472994030503
luh,luh_P054_1_S16_C06,42,baseline,0.00020316393337820537,0.0001622265990007756
luh,luh_P054_2_S17_C06,42,baseline,0.0001843730995857995,0.0002509083722137082
luh,luh_P054_3_S19_C05,42,baseline,0.0001721691985710283,0.00017023558011755948
luh,luh_P055_1_S15_C05,42,baseline,0.00021193360259431638,0.0005243009153790502
luh,luh_P055_2_S16_C04,42,baseline,0.00019490843281356085,0.0004797549135583584
luh,luh_P055_3_S17_C04,42,baseline,0.00017009171565481873,0.00037115618773290163
luh,luh_P057_1_S17_C08,42,baseline,0.000642877105730626,0.0005004669538612762
luh,luh_P057_2_S18_C08,42,baseline,0.0005760411573887803,0.0004226046083879995
luh,luh_P057_3_S19_C08,42,baseline,0.0003539598204317684,0.0005286177947306088
luh,luh_P058_1_S15_C07,42,baseline,0.00026251453828384674,0.00023422834669083252
luh,luh_P058_2_S18_C06,42,baseline,0.0005384679790641034,0.000371570123894791
luh,luh_P058_3_S19_C06,42,baseline,0.0004326787549885336,0.0004092903327879438
luh,luh_P059_1_S15_C06,42,baseline,0.0007902587799615856,0.0010617060403418312
luh,luh_P059_2_S18_C04,42,baseline,0.0011583782921119922,0.0006536475949040063
luh,luh_P059_3_S19_C04,42,baseline,0.001562120822477635,0.0006649243963454627
luh,luh_P062_1_S16_C07,42,baseline,5.5011759500998015e-05,7.337197851812203e-05
luh,luh_P062_2_S17_C07,42,baseline,6.107639939421983e-05,6.757748175093605e-05
luh,luh_P062_3_S18_C07,42,baseline,5.297100552846823e-05,6.088067750590465e-05
luh,luh_P063_1_S16_C05,42,baseline,6.770277800896451e-05,0.0003424191416142639
luh,luh_P063_2_S17_C05,42,baseline,6.655042981343895e-05,0.00018914749535982529
luh,luh_P063_3_S18_C05,42,baseline,4.9917720613095186e-05,0.00026280300535119354
luh,luh_P017_1_S01_C08,123,baseline,0.0002586779773129422,0.0002873494916959904
luh,luh_P017_2_S04_C07,123,baseline,0.00026479271387219505,0.00040765698781694586
luh,luh_P017_3_S05_C05,123,baseline,0.0002906688216343789,0.00034091082606639946
luh,luh_P018_1_S01_C06,123,baseline,0.0005450097992452485,0.0010296430793652555
luh,luh_P018_2_S02_C06,123,baseline,0.000548742116075489,0.0012038317503460293
luh,luh_P018_3_S04_C05,123,baseline,0.000659051894691749,0.0010976405189958404
luh,luh_P021_1_S02_C08,123,baseline,0.0002471724508572515,0.00022235257941917604
luh,luh_P021_2_S03_C08,123,baseline,0.00024975874519647337,0.00023370035390314045
luh,luh_P021_3_S04_C08,123,baseline,0.0002897379803147726,0.000275571492448346
luh,luh_P022_1_S03_C06,123,baseline,0.001380376545653763,0.0009507028402609794
luh,luh_P022_2_S04_C06,123,baseline,0.0013164350816099767,0.00110446490899814
luh,luh_P022_3_S05_C04,123,baseline,0.00204900116494102,0.0009707326577234955
luh,luh_P025_1_S01_C09,123,baseline,0.0001517817031814128,0.00016480765827079995
luh,luh_P025_2_S02_C09,123,baseline,0.00016800537214147314,0.00016050171363094
luh,luh_P025_3_S03_C09,123,baseline,0.00016290583062627205,0.00018090748814372586
luh,luh_P026_1_S01_C07,123,baseline,0.0005901104793840606,0.0008040558462455091
luh,luh_P026_2_S02_C07,123,baseline,0.0013916166498763993,0.0007447140400947238
luh,luh_P026_3_S03_C07,123,baseline,0.0005766737326075866,0.0008424411451384041
luh,luh_P027_2_S02_C05,123,baseline,0.0024945343784749194,0.00150873237933601
luh,luh_P027_3_S03_C05,123,baseline,0.0015591349368758545,0.0022330141439979648
luh,luh_P029_1_S06_C08,123,baseline,0.00022590911518776568,0.00034005957713287993
luh,luh_P029_2_S08_C07,123,baseline,0.00023421292812803474,0.00027803680476202054
