experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,y_mean_log,y_std_log,log_lower,log_upper,best_filters,best_learning_rate,best_epoch,epochs_run,best_val_loss,final_train_loss
hust_to_sandia,naive_cross,hust,sandia,pytorch_mamba_library,100,1011,53,12,50,1296.7976282157504,132.78962376733742,-0.56557531007724,7.291066646575928,0.1885673850774765,6.836259365081787,7.612831115722656,32,0.01,21,81,0.7496426105499268,0.5508887767791748
hust_to_sandia,naive_cross,hust,sandia,pytorch_mamba_library,100,123,53,12,50,1179.4104759950862,135.65800172216234,-0.39009064074162025,7.280747890472412,0.19897635281085968,6.72022008895874,7.612831115722656,32,0.01,79,139,0.7282251119613647,0.2925354242324829
hust_to_sandia,naive_cross,hust,sandia,pytorch_mamba_library,100,42,53,12,50,1263.5619553625083,128.95744068933732,-0.43238759724412423,7.299964904785156,0.18443509936332703,6.967909336090088,7.612831115722656,16,0.003,12,72,1.3502130508422852,0.8781353831291199
hust_to_sandia,naive_cross,hust,sandia,pytorch_mamba_library,100,456,53,12,50,1198.2419544946588,133.61694464595004,-0.3955448822620551,7.2845354080200195,0.19942925870418549,6.72022008895874,7.612831115722656,64,0.01,12,72,0.5217304229736328,0.7708826661109924
hust_to_sandia,naive_cross,hust,sandia,pytorch_mamba_library,100,789,53,12,50,1401.4924499205683,131.98313582279155,-0.779431660636495,7.282606601715088,0.19414253532886505,6.72022008895874,7.612831115722656,16,0.003,46,106,0.7878305315971375,0.4962204694747925
luh_to_hust,naive_cross,luh,hust,pytorch_mamba_library,100,1011,74,16,77,1007.1484612705661,100.58631455455114,-13.667920917186278,6.0122599601745605,0.8932117819786072,4.094344615936279,7.38709020614624,64,0.003,276,336,0.01671013981103897,0.029190218076109886
luh_to_hust,naive_cross,luh,hust,pytorch_mamba_library,100,123,74,16,77,1068.9379584901549,110.23484657512816,-15.249301247780714,5.986907005310059,0.9334043264389038,4.094344615936279,7.38709020614624,64,0.01,117,177,0.027567904442548752,0.05831439048051834
luh_to_hust,naive_cross,luh,hust,pytorch_mamba_library,100,42,74,16,77,799.8353016624583,72.03535811266342,-8.809434495922828,6.007865905761719,0.9053627848625183,4.127134323120117,7.38709020614624,64,0.003,141,201,0.049733079969882965,0.026351140812039375
luh_to_hust,naive_cross,luh,hust,pytorch_mamba_library,100,456,74,16,77,855.9972466352154,78.67631691448435,-9.82846224685461,5.982973098754883,0.9092166423797607,4.094344615936279,7.38709020614624,32,0.01,140,200,0.026881836354732513,0.06056616082787514
luh_to_hust,naive_cross,luh,hust,pytorch_mamba_library,100,789,74,16,77,777.5897895066021,71.33771864002944,-9.079055376725151,6.005956172943115,0.9016876220703125,4.127134323120117,7.38709020614624,16,0.01,115,175,0.08483261615037918,0.05236766114830971
luh_to_matr,naive_cross,luh,matr,pytorch_mamba_library,100,1011,74,16,129,369.68847583728933,53.57818475382729,-0.9928407916027908,6.0122599601745605,0.8932117819786072,4.094344615936279,7.38709020614624,32,0.003,220,280,0.015536953695118427,0.047515928745269775
luh_to_matr,naive_cross,luh,matr,pytorch_mamba_library,100,123,74,16,129,357.7638917466221,50.20778210398025,-0.8726098276904981,5.986907005310059,0.9334043264389038,4.094344615936279,7.38709020614624,64,0.01,193,253,0.023413818329572678,0.04758383706212044
luh_to_matr,naive_cross,luh,matr,pytorch_mamba_library,100,42,74,16,129,286.4725280681201,36.899644144613106,-0.28724023398976084,6.007865905761719,0.9053627848625183,4.127134323120117,7.38709020614624,32,0.01,228,288,0.05583540350198746,0.029026299715042114
luh_to_matr,naive_cross,luh,matr,pytorch_mamba_library,100,456,74,16,129,379.04450962532246,54.92090452299794,-0.8910036969782016,5.982973098754883,0.9092166423797607,4.094344615936279,7.38709020614624,32,0.01,159,219,0.026013687252998352,0.06511934101581573
luh_to_matr,naive_cross,luh,matr,pytorch_mamba_library,100,789,74,16,129,437.84889936979613,48.064458768289455,-1.4352821775436602,6.005956172943115,0.9016876220703125,4.127134323120117,7.38709020614624,16,0.01,114,174,0.08672621846199036,0.041761644184589386
