experiment,source,target,model,n_cycles,adapter_type,k,baseline_MAE,baseline_MAE_std,baseline_SMAPE,baseline_R2,baseline_R2_std,adapted_MAE,adapted_MAE_std,adapted_SMAPE,adapted_R2,adapted_R2_std,adapter_slope_mean,adapter_intercept_mean,delta_MAE,delta_R2
matr_to_sandia,matr,sandia,pls,100,residual_mean,20,8232176.223105481,9666015.842549454,134.78496793628523,-6846433089.37058,8371698667.284172,7536201.176174598,8838464.150341028,173.93920638940145,-6515290733.939032,7966502775.264552,1.0,-9247797.679738658,-695975.0469308831,331142355.4315481
matr_to_sandia,matr,sandia,pls,100,linear,5,8232176.223105481,9666015.842549454,134.78496793628523,-6846433089.37058,8371698667.284172,71529.12130978965,84113.85191225389,107.46220153151543,-10620054.490240838,14220786.652332537,0.08663575180768025,976.9588634321357,-8160647.101795691,6835813034.880339
matr_to_sandia,matr,sandia,pls,100,linear,10,8232176.223105481,9666015.842549454,134.78496793628523,-6846433089.37058,8371698667.284172,3339.764061046405,2143.508578924691,106.2648229325101,-2803.140219368317,2765.4902117934876,0.06145635076900047,854.5621653570382,-8228836.459044434,6846430286.23036
matr_to_sandia,matr,sandia,pls,100,linear,15,8232176.223105481,9666015.842549454,134.78496793628523,-6846433089.37058,8371698667.284172,1973.2853405002184,2266.841290334113,107.81293394337885,-1532.3993659702712,3064.6743843679587,0.001732706006635334,886.5502768378352,-8230202.937764981,6846431556.971213
matr_to_sandia,matr,sandia,pls,100,linear,20,8232176.223105481,9666015.842549454,134.78496793628523,-6846433089.37058,8371698667.284172,1382.8356284222386,1060.746768414532,110.0966767071156,-442.3546262071812,884.505591336204,0.021803924996189064,867.0149859963773,-8230793.387477059,6846432647.015953
matr_to_sandia,matr,sandia,random_forest,100,residual_mean,5,775.2857969433484,100.015879539283,99.25963160413627,0.013653538040094126,0.022196353944454694,853.1575084249458,30.442404253973958,99.2409703378581,-0.21267906339724235,0.10245913567756228,1.0,63.33256463202166,77.87171148159746,-0.22633260143733647
matr_to_sandia,matr,sandia,random_forest,100,residual_mean,10,775.2857969433484,100.015879539283,99.25963160413627,0.013653538040094126,0.022196353944454694,835.8632657101489,24.38382119844292,102.04623410519349,-0.08635897755975365,0.054560623112662555,1.0,70.70468611868024,60.57746876680051,-0.10001251559984778
matr_to_sandia,matr,sandia,random_forest,100,residual_mean,15,775.2857969433484,100.015879539283,99.25963160413627,0.013653538040094126,0.022196353944454694,841.8908918259898,19.89541061911122,103.50619920642457,-0.13300550925796215,0.1165311031434766,1.0,75.56384503421633,66.60509488264142,-0.14665904729805626
matr_to_sandia,matr,sandia,random_forest,100,residual_mean,20,775.2857969433484,100.015879539283,99.25963160413627,0.013653538040094126,0.022196353944454694,837.0845169147217,22.578214460941506,105.14663912695309,-0.05643979184698848,0.04370297414847267,1.0,77.55273081480243,61.798719971373316,-0.07009332988708261
matr_to_sandia,matr,sandia,random_forest,100,linear,5,775.2857969433484,100.015879539283,99.25963160413627,0.013653538040094126,0.022196353944454694,1044.9539261721106,267.53350668993687,107.78100997195216,-2.119445204641163,1.762889832859773,4.629205056355505,-1635.592171592822,269.66812922876227,-2.133098742681257
matr_to_sandia,matr,sandia,random_forest,100,linear,10,775.2857969433484,100.015879539283,99.25963160413627,0.013653538040094126,0.022196353944454694,827.2551375804876,154.4179873156081,101.62596929468387,-0.2545680236475354,0.4225098054913338,3.953181982318097,-1553.9046747447403,51.969340637139226,-0.2682215616876295
matr_to_sandia,matr,sandia,random_forest,100,linear,15,775.2857969433484,100.015879539283,99.25963160413627,0.013653538040094126,0.022196353944454694,797.851966314319,144.2055866077096,101.94541834164143,-0.03491396768151438,0.26569508877547865,3.647684501675781,-1404.12379308495,22.56616937097067,-0.048567505721608506
