direction,model,confidence_level,adapter_type,coverage_no_adapter,coverage_adapted,median_width_no_adapter,median_width_adapted,median_width_reduction_pct,finite_interval_fraction_no_adapter,finite_interval_fraction_adapted,MAE_no_adapter,MAE_adapted,MAE_reduction_pct,R2_no_adapter,R2_adapted,R2_mean_no_adapter,R2_mean_adapted,winkler_no_adapter,winkler_adapted,winkler_reduction_pct,short_life_coverage_adapted,long_life_coverage_adapted,short_long_coverage_gap_adapted
HUST -> SANDIA,random_forest,0.95,linear,0.954,0.96,3377.943167785057,4850.365643840448,-43.58932056932352,1.0,1.0,1230.9083690084124,800.8224086980674,34.940534254130625,-0.3375452450757505,0.0063876949713827,-0.4095598297542668,-4.408489618290942,3561.4961358905957,5210.112518587676,-46.289994985066116,0.996,0.924,0.0759999999999999
HUST -> SANDIA,random_forest,0.95,residual_mean,0.954,0.953,3377.943167785057,4739.704850377407,-40.31333906322845,1.0,1.0,1230.9083690084124,785.8692667909198,36.15533970055013,-0.3375452450757505,0.0040796456469756,-0.4095598297542668,-6.385622522691127,3561.4961358905957,5253.0501815549715,-47.49560244128644,1.0,0.906,0.0939999999999999
LUH -> HUST,gaussian_process,0.9,linear,0.9105263157894736,0.9021621621621624,2972.3368470329237,952.297,67.96133651707035,1.0,1.0,1084.8810550954097,234.02585135135135,78.42843229198338,-15.899643788212655,-0.0458997004049209,-15.86752330340962,-0.0808765337841031,3151.3263207171344,1145.4521351351352,63.65174473983166,0.8983333333333333,0.9057894736842106,0.1071052631578946
LUH -> HUST,gaussian_process,0.9,residual_mean,0.9105263157894736,0.9075675675675676,2972.3368470329237,957.39,67.78998985408752,1.0,1.0,1084.8810550954097,232.93305405405405,78.5291619795528,-15.899643788212655,-0.0441814724177071,-15.86752330340962,-0.0839982918124764,3151.3263207171344,1122.6002702702704,64.3768954395429,0.9122222222222222,0.903157894736842,0.0908771929824561
LUH -> HUST,gaussian_process,0.95,linear,0.9587719298245614,0.9467567567567567,3139.296847032924,1115.023,64.48175963181522,1.0,1.0,1084.8810550954097,234.02585135135135,78.42843229198338,-15.899643788212655,-0.0458997004049209,-15.86752330340962,-0.0808765337841031,3255.9845663311694,1310.9559729729729,59.73703356800144,0.9383333333333332,0.9547368421052632,0.0645906432748537
LUH -> HUST,gaussian_process,0.95,residual_mean,0.9587719298245614,0.9575675675675676,3139.296847032924,1151.804,63.31012783679198,1.0,1.0,1084.8810550954097,232.93305405405405,78.5291619795528,-15.899643788212655,-0.0441814724177071,-15.86752330340962,-0.0839982918124764,3255.9845663311694,1289.298054054054,60.40220622093335,0.9533333333333333,0.9615789473684212,0.0429239766081871
LUH -> MATR,gaussian_process,0.9,linear,0.9057798165137616,0.8997752808988764,1942.2368470327172,6866.880498497011,-253.55525815443136,1.0,1.0,388.9036935710131,6792.113030811795,-1646.476863833531,-1.072730808909817,-0.0426147208424767,-1.07230812442581,-354566.72814572044,2581.323085557113,137201.86696663464,-5215.176071306205,0.9379545454545456,0.8624444444444443,0.1027424242424242
LUH -> MATR,gaussian_process,0.9,residual_mean,0.9057798165137616,0.9091011235955055,1942.2368470327172,1320.971009130671,31.987130655624973,1.0,1.0,388.9036935710131,284.2288885484251,26.915353788861495,-1.072730808909817,-0.0388662699268177,-1.07230812442581,-0.0760314164240605,2581.323085557113,1833.9289891233047,28.95391516914676,0.9620454545454544,0.8573333333333334,0.1118737373737373
LUH -> MATR,gaussian_process,0.95,linear,0.9510091743119268,0.9415730337078652,2494.1768470154716,22578.10661058998,-805.2327880281189,1.0,1.0,388.9036935710131,6792.113030811795,-1646.476863833531,-1.072730808909817,-0.0426147208424767,-1.07230812442581,-354566.72814572044,3070.4227186263106,278385.5806793058,-8966.685801616719,0.9713636363636364,0.9124444444444444,0.0742727272727272
LUH -> MATR,gaussian_process,0.95,residual_mean,0.9510091743119268,0.9552808988764044,2494.1768470154716,1791.3870172740667,28.17722530711333,1.0,1.0,388.9036935710131,284.2288885484251,26.915353788861495,-1.072730808909817,-0.0388662699268177,-1.07230812442581,-0.0760314164240605,3070.4227186263106,2254.4126329018823,26.576473681431935,0.994318181818182,0.9171111111111112,0.0781363636363636
LUH -> SANDIA,gaussian_process,0.9,linear,0.9106666666666666,0.915,5328.517658839535,4981.767951850157,6.507432820723624,1.0,1.0,612.4293502495884,862.8801030385632,-40.8946358770863,-0.109943917545117,-0.0933177854009169,-0.1099169786674599,-7.444413275279056,6119.730722824697,5866.777525084692,4.133404053164769,0.996,0.8340000000000001,0.1659999999999999
LUH -> SANDIA,gaussian_process,0.9,residual_mean,0.9106666666666666,0.928,5328.517658839535,4510.97381013701,15.342800775864795,1.0,1.0,612.4293502495884,814.672979116315,-33.02317708717006,-0.109943917545117,-0.0679923966601383,-0.1099169786674599,-10.347295120845455,6119.730722824697,5378.979837966759,12.104305212240263,0.998,0.858,0.1399999999999999
LUH -> SANDIA,gaussian_process,0.95,linear,0.9576666666666668,0.949,5815.010409842545,5629.224453376079,3.194937641934459,1.0,1.0,612.4293502495884,862.8801030385632,-40.8946358770863,-0.109943917545117,-0.0933177854009169,-0.1099169786674599,-7.444413275279056,6465.746657778401,6084.850083955234,5.8909913113428525,1.0,0.898,0.1019999999999999
LUH -> SANDIA,gaussian_process,0.95,residual_mean,0.9576666666666668,0.969,5815.010409842545,5074.176961407694,12.740019298691351,1.0,1.0,612.4293502495884,814.672979116315,-33.02317708717006,-0.109943917545117,-0.0679923966601383,-0.1099169786674599,-10.347295120845455,6465.746657778401,5463.816961407693,15.495962792872021,1.0,0.938,0.0619999999999999
MATR -> HUST,catboost,0.9,linear,0.9017543859649124,0.8975675675675676,2531.4148758375345,984.7960239734064,61.0970120554585,1.0,1.0,874.0251168229264,240.99809927955383,72.4266391616319,-10.50335792988022,-0.0723802532566771,-10.29960229135415,-0.1394762425870777,2733.4088294700405,1182.982001777239,56.72136604583229,0.9061111111111112,0.8894736842105263,0.1024269005847952
MATR -> HUST,catboost,0.9,residual_mean,0.9017543859649124,0.905945945945946,2531.4148758375345,1007.4603566621204,60.2016893288266,1.0,1.0,874.0251168229264,246.0212247555446,71.85192736224451,-10.50335792988022,-0.1728938841713013,-10.29960229135415,-0.1950210399076996,2733.4088294700405,1177.9737725583475,56.90458888337111,0.8911111111111112,0.92,0.1109941520467835
MATR -> HUST,catboost,0.95,linear,0.9478947368421052,0.95,2689.096706489804,1169.5598040298685,56.50733567122076,1.0,1.0,874.0251168229264,240.99809927955383,72.4266391616319,-10.50335792988022,-0.0723802532566771,-10.29960229135415,-0.1394762425870777,2855.8331687464815,1353.9406653636502,52.590344555808244,0.9488888888888888,0.9510526315789474,0.05906432748538
MATR -> HUST,catboost,0.95,residual_mean,0.9478947368421052,0.9527027027027029,2689.096706489804,1164.2613813508144,56.70436922030313,1.0,1.0,874.0251168229264,246.0212247555446,71.85192736224451,-10.50335792988022,-0.1728938841713013,-10.29960229135415,-0.1950210399076996,2855.8331687464815,1337.1496103101836,53.178300996584404,0.9372222222222222,0.9673684210526317,0.0587426900584795
MATR -> LUH,catboost,0.9,linear,0.913953488372093,0.91,1419.312764683966,1350.54420905113,4.8452009552769955,1.0,1.0,335.03397199733956,318.0164357974082,5.079346461040823,0.0370974543021046,0.0884014731768921,-0.006446638732296,0.0485336641527864,1731.7169805167205,1706.8744420808182,1.4345611156673876,0.9742424242424242,0.8457575757575758,0.1381818181818181
MATR -> LUH,catboost,0.9,residual_mean,0.913953488372093,0.9207575757575758,1419.312764683966,1461.787315382518,-2.9926138730958174,1.0,1.0,335.03397199733956,329.9988465559241,1.5028701153492086,0.0370974543021046,0.023886319239776,-0.006446638732296,-0.007310777801089,1731.7169805167205,1743.7559598503442,-0.6952047862943234,0.9842424242424244,0.8572727272727273,0.133030303030303
MATR -> LUH,catboost,0.95,linear,0.9530232558139536,0.9540909090909092,1703.7445188543954,1681.56853269842,1.301602787892553,1.0,1.0,335.03397199733956,318.0164357974082,5.079346461040823,0.0370974543021046,0.0884014731768921,-0.006446638732296,0.0485336641527864,2004.983181121168,1995.6074691718543,0.46762047869503,0.9906060606060606,0.9175757575757576,0.0809090909090908
MATR -> LUH,catboost,0.95,residual_mean,0.9530232558139536,0.9612121212121212,1703.7445188543954,1806.002713875736,-6.0019676594528,1.0,1.0,335.03397199733956,329.9988465559241,1.5028701153492086,0.0370974543021046,0.023886319239776,-0.006446638732296,-0.007310777801089,2004.983181121168,2042.5736524019303,-1.874852199994126,0.996060606060606,0.9263636363636364,0.0745454545454545
MATR -> SANDIA,catboost,0.9,linear,0.9093333333333332,0.904,4739.610331962695,3813.758602118128,19.5343428045311,1.0,1.0,719.4037291333345,716.5979792476242,0.39001047285235346,0.025956557094681,0.0706072124957571,0.031261745672036,-4.583974956634578,5589.894043428028,4698.601761529294,15.944707985057715,0.972,0.836,0.1679999999999999
MATR -> SANDIA,catboost,0.9,residual_mean,0.9093333333333332,0.914,4739.610331962695,4641.31787606345,2.0738509922722304,1.0,1.0,719.4037291333345,805.7965654575142,-12.008950305033462,0.025956557094681,-0.0221349818256065,0.031261745672036,-4.937271757257424,5589.894043428028,5329.844691784108,4.652133826215488,0.998,0.83,0.1679999999999999
MATR -> SANDIA,catboost,0.95,linear,0.9526666666666668,0.95,5255.967165110338,4444.278225848737,15.443188927238316,1.0,1.0,719.4037291333345,716.5979792476242,0.39001047285235346,0.025956557094681,0.0706072124957571,0.031261745672036,-4.583974956634578,5692.37851285055,5042.809834871601,11.411199668338057,0.986,0.914,0.0999999999999999
MATR -> SANDIA,catboost,0.95,residual_mean,0.9526666666666668,0.96,5255.967165110338,5145.183518929659,2.1077689928520216,1.0,1.0,719.4037291333345,805.7965654575142,-12.008950305033462,0.025956557094681,-0.0221349818256065,0.031261745672036,-4.937271757257424,5692.37851285055,5395.458396263741,5.21609931448711,1.0,0.92,0.0799999999999999
SANDIA -> HUST,xgboost,0.9,linear,0.9087719298245612,0.8983783783783784,3833.122118000985,973.931298727168,74.59169656626845,1.0,1.0,1034.8221671824997,239.9545352367026,76.81200279174301,-17.557631072685503,-0.1480711827144599,-20.188014067340447,-0.187541934599342,4022.916202451506,1251.110369446796,68.90041187821939,0.9055555555555556,0.8915789473684211,0.1035087719298245
