scenario,source,target,calibration_domain,model,n_cycles,confidence_level,adapter_type,k_adapter,k_target,coverage_mean,coverage_std,coverage_gap_mean,coverage_gap_std,coverage_wilson95_lower_mean,coverage_wilson95_lower_std,coverage_wilson95_upper_mean,coverage_wilson95_upper_std,finite_interval_fraction_mean,finite_interval_fraction_std,mean_width_mean,mean_width_std,median_width_mean,median_width_std,winkler_mean_mean,winkler_mean_std,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,q_hat_mean,q_hat_std,finite_q_mean,adapter_slope_mean,adapter_slope_std,adapter_intercept_mean,adapter_intercept_std,coverage_short_mean,coverage_short_std,coverage_mid_mean,coverage_mid_std,coverage_long_mean,coverage_long_std,coverage_short_life_mean,coverage_short_life_std,coverage_long_life_mean,coverage_long_life_std,coverage_short_life_wilson95_lower_mean,coverage_short_life_wilson95_lower_std,coverage_short_life_wilson95_upper_mean,coverage_short_life_wilson95_upper_std,coverage_long_life_wilson95_lower_mean,coverage_long_life_wilson95_lower_std,coverage_long_life_wilson95_upper_mean,coverage_long_life_wilson95_upper_std,short_long_coverage_gap_mean,short_long_coverage_gap_std,lifetime_split_threshold_mean,lifetime_split_threshold_std,n_train_mean,n_adapter_mean,n_calibration_mean,n_test_mean,n_short_life_mean,n_short_life_std,n_long_life_mean,n_long_life_std,n_runs,scenario_label,direction,rank_signal_class,adapter_class,raw_R2,pearson_r,linear_R2,scenario_short,regime_short,regime_order,source_cp_MAE,source_cp_coverage,scenario_order
cross_target_calibrated_cp,hust,sandia,sandia,random_forest,100,0.9,none,,20.0,0.902,0.0748841229787632,0.0553333333333333,0.0501893161170859,0.7520821617246913,0.0917559808960581,0.9606530701634378,0.0421061391509414,1.0,0.0,3181.449607380847,199.5950075272117,3181.449607380847,199.59500752721164,3419.7699396164844,188.42870446177983,1230.9083690084124,43.72843867487581,126.09673287229008,4.784176184439046,-0.4095598297542666,0.2940915065368035,1590.7248036904236,99.79750376360565,1.0,,,,,0.9244545454545456,0.1003599415750343,0.994,0.0371184290855334,0.7868888888888889,0.1464752347269931,0.9453333333333334,0.0800560970547861,0.8586666666666667,0.0972252524780285,0.7253565613879235,0.0955553253035531,0.9837180451561476,0.0337656068659567,0.62009646602493,0.111476198280089,0.9509845793653549,0.0444848058460616,0.1026666666666666,0.0789493295284806,282.89,14.81392669896892,53.0,0.0,20.0,30.0,15.0,0.0,15.0,0.0,100,"Target-domain CP, no adapter",HUST -> SANDIA,strong_rank_signal,linear_recovers_predictive_transfer,-0.2314739418959273,0.5774316832047887,0.3661141417219493,Target-domain,strong,0,1227.7132756099,0.028,1
cross_target_adapted_cp,hust,sandia,sandia,random_forest,100,0.9,residual_mean,20.0,20.0,0.892,0.1211727208691307,0.09,0.0810287391340663,0.5990936020742869,0.128244870547443,0.967320682833208,0.0493586104814425,1.0,0.0,4184.7463555499635,962.2205833127292,4184.7463555499635,962.220583312729,5286.539494350104,1877.1057430338972,785.8692667909199,204.66126312288944,101.62435867516088,13.899429887629752,-6.385622522691134,22.08382705152344,2092.3731777749817,481.1102916563642,1.0,1.0,0.0,-731.2651337649013,183.0351708828425,0.9885,0.0581077890778435,0.9733333333333332,0.1129146554544009,0.6833333333333332,0.3295236844080536,0.988,0.062409530481726,0.7959999999999999,0.2291486218791003,0.5550220120289232,0.0536867507872833,0.9969231023426984,0.0172172497584537,0.3987210589920048,0.1666423581819801,0.9360653218563558,0.1006459897564443,0.2,0.2256304299271065,349.04,368.25065354780287,53.0,20.0,20.0,10.0,5.0,0.0,5.0,0.0,100,Residual-mean target-adapted CP,HUST -> SANDIA,strong_rank_signal,linear_recovers_predictive_transfer,-0.2314739418959273,0.5774316832047887,0.3661141417219493,Residual-adapted,strong,0,1227.7132756099,0.028,2
cross_source_calibrated_cp,matr,luh,matr,catboost,100,0.9,none,,,0.7075471698113207,0.2881608367792692,0.2271698113207547,0.2546107395486004,0.6321219154893045,0.298790929050252,0.7684554300084994,0.257655109031877,1.0,0.0,1052.9985982082633,449.1721506880976,1052.9985982082635,449.1721506880976,2273.265172041973,785.562271791492,335.8828467049199,21.499154074177618,65.5960070952562,2.0266203209952756,-0.0050915772564233,0.0735277324401506,526.4992991041318,224.5860753440488,1.0,,,,,0.6277777777777778,0.5120462459824223,0.8971428571428571,0.2299955633999783,0.6,0.2249716535431946,0.6830188679245283,0.4581837625566394,0.7320754716981133,0.151179061313284,0.6179726244137029,0.4428259533154337,0.7233275533526196,0.4153359560478032,0.6069104922992616,0.1618553894238089,0.8258722073425699,0.1202158953521736,0.260377358490566,0.2273565333040312,451.0,0.0,89.0,0.0,20.0,106.0,53.0,0.0,53.0,0.0,5,Naive source-calibrated cross CP,MATR -> LUH,moderate_rank_signal,limited_repair,0.0038324202528452,0.4065409096999401,0.1932600633327312,Source-calibrated,moderate,1,335.8828467049199,0.7075471698113207,0
cross_target_calibrated_cp,matr,luh,luh,catboost,100,0.9,none,,20.0,0.913953488372093,0.0618390724974779,0.051813953488372,0.036179187054005,0.8395864331234051,0.0763751436849079,0.9529207337749104,0.042435084508962,1.0,0.0,1419.312764683966,328.10830144716704,1419.312764683966,328.108301447167,1731.7169805167205,219.55834152230025,335.03397199733956,21.00345776235572,65.44587085241079,2.527184944039863,-0.006446638732296,0.069425480787933,709.656382341983,164.0541507235835,1.0,,,,,0.9617241379310344,0.0927208102671762,1.0,0.0,0.7831034482758621,0.147466870375178,0.974186046511628,0.0625326394825141,0.8537209302325581,0.0994544009507014,0.8831604410311101,0.0808413593198337,0.9874358432584768,0.0345872309733732,0.7263798857552628,0.1164946138125037,0.9230448069394216,0.066831442450874,0.133953488372093,0.0940232833834453,486.04,39.574994655971885,89.0,0.0,20.0,86.0,43.0,0.0,43.0,0.0,100,"Target-domain CP, no adapter",MATR -> LUH,moderate_rank_signal,limited_repair,0.0038324202528452,0.4065409096999401,0.1932600633327312,Target-domain,moderate,1,335.8828467049199,0.7075471698113207,1
cross_target_adapted_cp,matr,luh,luh,catboost,100,0.9,residual_mean,20.0,20.0,0.9207575757575758,0.0567267400083295,0.0514242424242424,0.0313366865400641,0.8338331834194618,0.0710220886491495,0.9613964829967188,0.0366016506428229,1.0,0.0,1461.7873153825185,306.90510507043325,1461.787315382518,306.9051050704332,1743.7559598503442,216.1599909949918,329.9988465559241,20.964165349056067,65.15007420239256,3.6955745060133367,-0.007310777801089,0.1075127402800786,730.893657691259,153.4525525352166,1.0,1.0,0.0,-21.81695109714116,135.88049920088827,0.9763636363636364,0.0720816151688211,1.0,0.0,0.7859090909090909,0.1450831749033523,0.9842424242424244,0.0480544101125474,0.8572727272727273,0.0967221166022349,0.8743141097622592,0.0634461265160838,0.993186825951172,0.023008555080119,0.7079981343761851,0.112693109528136,0.9320416673798446,0.061570138817706,0.133030303030303,0.0941563693847895,485.53,51.47254931838266,89.0,20.0,20.0,66.0,33.0,0.0,33.0,0.0,100,Residual-mean target-adapted CP,MATR -> LUH,moderate_rank_signal,limited_repair,0.0038324202528452,0.4065409096999401,0.1932600633327312,Residual-adapted,moderate,1,335.8828467049199,0.7075471698113207,2
cross_source_calibrated_cp,matr,sandia,matr,catboost,100,0.9,none,,,0.516,0.3940558336073709,0.384,0.3940558336073709,0.4213177497471159,0.3417642424980572,0.6083991270806166,0.3913068668926816,1.0,0.0,1052.9985982082635,449.1721506880976,1052.9985982082635,449.1721506880976,8585.334923974764,1809.07462671603,725.5381009289755,76.24635319623772,94.67470096431376,11.25247945316084,0.0395584736327243,0.0372841983718166,526.4992991041318,224.5860753440488,1.0,,,,,0.6,0.5477225575051661,0.6266666666666667,0.5133766215514255,0.3294117647058823,0.1841467746176297,0.6,0.5477225575051661,0.432,0.2629068276024797,0.520084649436571,0.4747701571809606,0.6532769003756194,0.4747701571809606,0.2849325057027184,0.1823293855405967,0.5971816404249921,0.2750211594628853,0.312,0.1752712184016531,282.0,0.0,89.0,0.0,20.0,50.0,25.0,0.0,25.0,0.0,5,Naive source-calibrated cross CP,MATR -> SANDIA,moderate_rank_signal,linear_recovers_predictive_transfer,0.0455318396232738,0.4271628336086019,0.2607964861439512,Source-calibrated,moderate,1,725.5381009289755,0.516,0
cross_target_calibrated_cp,matr,sandia,sandia,catboost,100,0.9,none,,20.0,0.9093333333333332,0.0753711355945237,0.0586666666666666,0.0478775092528411,0.761768153301465,0.0929625806280051,0.9639688821534462,0.0419805420689516,1.0,0.0,4739.610331962695,811.1268129985701,4739.610331962695,811.1268129985698,5589.894043428028,961.7722959159604,719.4037291333345,112.29297638487375,94.50154481936504,10.995741103630166,0.031261745672036,0.0492145695222742,2369.8051659813477,405.5634064992849,1.0,,,,,0.996,0.04,1.0,0.0,0.7291111111111112,0.2124200663170418,0.9973333333333332,0.0266666666666666,0.8213333333333334,0.140507337918625,0.7929604885689119,0.0315621039523956,0.9989102546674308,0.0108974533256923,0.5839433300564244,0.1482333421916012,0.9276943351445368,0.0779569496312834,0.176,0.1348466310923163,283.61,15.546538151139904,89.0,0.0,20.0,30.0,15.0,0.0,15.0,0.0,100,"Target-domain CP, no adapter",MATR -> SANDIA,moderate_rank_signal,linear_recovers_predictive_transfer,0.0455318396232738,0.4271628336086019,0.2607964861439512,Target-domain,moderate,1,725.5381009289755,0.516,1
cross_target_adapted_cp,matr,sandia,sandia,catboost,100,0.9,residual_mean,20.0,20.0,0.914,0.1034944979750668,0.0779999999999999,0.069019101440372,0.6219984444489529,0.1130440095189857,0.9762043972645748,0.0385203434596611,1.0,0.0,4641.31787606345,875.8184467141624,4641.31787606345,875.8184467141623,5329.844691784108,1057.4607152387832,805.7965654575142,204.7372742165519,100.92355640377048,16.438694609176135,-4.937271757257424,17.523401922466395,2320.658938031725,437.90922335708115,1.0,1.0,0.0,97.31190431785096,217.319793886489,0.9975,0.025,0.99,0.0571488693325884,0.7266666666666667,0.3084300057750571,0.998,0.0199999999999999,0.83,0.2017599333541491,0.5636177061622825,0.01899829054543,0.9996377589136758,0.003622410863243,0.4221574476282937,0.1540033490832819,0.951084125614811,0.0800078572282593,0.1679999999999999,0.1984179854995433,312.62,220.2925410366035,89.0,20.0,20.0,10.0,5.0,0.0,5.0,0.0,100,Residual-mean target-adapted CP,MATR -> SANDIA,moderate_rank_signal,linear_recovers_predictive_transfer,0.0455318396232738,0.4271628336086019,0.2607964861439512,Residual-adapted,moderate,1,725.5381009289755,0.516,2
cross_source_calibrated_cp,luh,matr,luh,gaussian_process,100,0.9,none,,,0.4790697674418604,0.0446662334601176,0.4209302325581395,0.0446662334601176,0.3949879066515175,0.0427247491335296,0.5643621332536541,0.0440255348549519,1.0,0.0,622.8405289996994,100.38293395144746,622.8405289996994,100.3829339514474,4010.0792217832654,390.4624389951764,389.0667021914775,4.84636786441135,56.48369371576043,1.0684683905102812,-1.075523000424735,0.0307623118807222,311.4202644998497,50.19146697572371,1.0,,,,,0.9953488372093025,0.0104003161744176,0.4418604651162791,0.1241520726980385,0.0,0.0,0.95625,0.0814900300650331,0.0092307692307692,0.0206406274846134,0.8846822594541971,0.1053771562831453,0.976148285984868,0.0486628207003653,0.0031639680827025,0.0070748477115625,0.0700689195849631,0.0319028500154522,0.9470192307692308,0.0778270204899506,740.0,0.0,74.0,0.0,16.0,129.0,64.0,0.0,65.0,0.0,5,Naive source-calibrated cross CP,LUH -> MATR,weak_rank_signal,offset_dominant_repair,-0.2751555415129972,0.107347592953593,0.0195110846494326,Source-calibrated,weak,2,389.0667021914775,0.4790697674418604,0
cross_target_calibrated_cp,luh,matr,matr,gaussian_process,100,0.9,none,,20.0,0.9057798165137616,0.0698798810233926,0.052788990825688,0.0458488350717618,0.8399558126450363,0.0821126475037251,0.9439759170976956,0.0532842947490403,1.0,0.0,1942.2368470327172,524.9765006076237,1942.2368470327172,524.9765006076238,2581.323085557113,153.82159016744478,388.9036935710131,12.3115645665812,56.47158853387148,1.5636896534194726,-1.0723081244258097,0.0782095599398636,971.1184235163586,262.4882503038119,1.0,,,,,1.0,0.0,0.9972222222222222,0.0277777777777777,0.7175,0.1999210702838355,1.0,0.0,0.8132727272727273,0.1384892187554509,0.933586411909104,0.0,1.0,0.0,0.6997816701889533,0.1487402595440397,0.8858598263111414,0.1115140667645002,0.1867272727272727,0.1384892187554508,737.63,27.438693831739137,74.0,0.0,20.0,109.0,54.0,0.0,55.0,0.0,100,"Target-domain CP, no adapter",LUH -> MATR,weak_rank_signal,offset_dominant_repair,-0.2751555415129972,0.107347592953593,0.0195110846494326,Target-domain,weak,2,389.0667021914775,0.4790697674418604,1
cross_target_adapted_cp,luh,matr,matr,gaussian_process,100,0.9,residual_mean,20.0,20.0,0.9091011235955055,0.061585255934821,0.0499999999999999,0.0367581058438101,0.8347358760360902,0.0746991779202327,0.9496119888616188,0.0437187538612005,1.0,0.0,1320.971009130671,389.0161646215845,1320.971009130671,389.0161646215845,1833.9289891233047,231.38583330450768,284.2288885484251,16.5668508942721,36.64309324762776,2.120470237473263,-0.0760314164240606,0.0884252447169397,660.4855045653355,194.50808231079225,1.0,1.0,0.0,382.03791469803065,78.81499636918198,0.9443655913978496,0.0927120890201176,1.0,0.0,0.7859655172413794,0.1276421330227498,0.9620454545454544,0.0632230279622326,0.8573333333333334,0.0851151813076758,0.8665344307535721,0.0821475618154983,0.9833560408641592,0.0351367315051248,0.7320571371474535,0.0985218225380684,0.9263998536247756,0.0591446023218158,0.1118737373737373,0.0762866433774522,743.51,35.13135380542603,74.0,20.0,20.0,89.0,44.0,0.0,45.0,0.0,100,Residual-mean target-adapted CP,LUH -> MATR,weak_rank_signal,offset_dominant_repair,-0.2751555415129972,0.107347592953593,0.0195110846494326,Residual-adapted,weak,2,389.0667021914775,0.4790697674418604,2
