scenario_label,protocol,direction,model,confidence_level,k_target,k_adapter,adapter_type,coverage_mean,coverage_wilson95_lower_mean,coverage_wilson95_upper_mean,finite_interval_fraction_mean,coverage_short_life_mean,coverage_long_life_mean,short_long_coverage_gap_mean,median_width_mean,winkler_mean_mean,MAE_median,MAE_mean,SMAPE_median,SMAPE_mean,R2_median,R2_mean,finite_q_mean,n_runs
Linear target-adapted CP,Linear-adapted CP,LUH -> HUST,gaussian_process,0.9,20.0,20.0,linear,0.9021621621621624,0.7721410068284408,0.9565303202819608,1.0,0.8983333333333333,0.9057894736842106,0.1071052631578946,952.297,1145.4521351351352,232.05810810810812,234.02585135135135,15.942278537256158,15.9791534097023,-0.0458997004049209,-0.0808765337841031,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,LUH -> HUST,gaussian_process,0.9,5.0,5.0,residual_mean,0.8380597014925373,0.7427514751808519,0.8967045828127904,1.0,0.8142424242424242,0.8611764705882352,0.1985918003565062,946.488,1357.928,244.34477611940295,250.3288358208955,16.6441267181292,17.02974290572242,-0.1543391509162293,-0.2381354569111074,0.0,100
Residual-mean target-adapted CP,Residual-adapted CP,LUH -> HUST,gaussian_process,0.9,10.0,10.0,residual_mean,0.9110526315789474,0.816469024541534,0.9537294701740696,1.0,0.9082142857142856,0.913793103448276,0.0873522167487684,1038.67,1210.6433333333334,236.59035087719303,238.80885964912284,16.133264034929486,16.283563347505194,-0.0494647051550157,-0.1243392511427704,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,LUH -> HUST,gaussian_process,0.9,15.0,15.0,residual_mean,0.9319148936170212,0.8291872233808885,0.9693736547242552,1.0,0.9304347826086956,0.9333333333333332,0.0768840579710144,1076.7773333333334,1202.131659574468,235.91702127659565,237.7799716312057,16.26616367273595,16.21668148358177,-0.0472453325177606,-0.0833675179825738,1.0,100
Residual-mean target-adapted CP,Residual-adapted CP,LUH -> HUST,gaussian_process,0.9,20.0,20.0,residual_mean,0.9075675675675676,0.7780850971334476,0.9603801994273624,1.0,0.9122222222222222,0.903157894736842,0.0908771929824561,957.39,1122.6002702702704,232.1236486486487,232.93305405405405,15.756935200004632,15.876333490113227,-0.0441814724177071,-0.0839982918124764,1.0,100
"Target-domain CP, no adapter",Target CP,LUH -> HUST,gaussian_process,0.9,5.0,,none,0.8338888888888889,0.7431123992338897,0.8908416510655869,1.0,0.9941666666666668,0.6736111111111112,0.3205555555555555,2825.296847032924,3348.4968470329245,1084.1065491682525,1084.8502290720176,112.51730089297708,112.83492216434487,-15.69581195346658,-15.750348053003163,0.0,100
"Target-domain CP, no adapter",Target CP,LUH -> HUST,gaussian_process,0.9,10.0,,none,0.9176119402985076,0.8333922189461319,0.9565406950786854,1.0,1.0,0.8376470588235294,0.1623529411764706,3009.776847032924,3184.541026137402,1086.7364668510268,1086.188423516462,112.71119286285143,112.89900407579044,-15.657925824437724,-15.806601264859776,1.0,100
"Target-domain CP, no adapter",Target CP,LUH -> HUST,gaussian_process,0.9,15.0,,none,0.9393548387096774,0.8568035677455478,0.9706386088982784,1.0,1.0,0.8787096774193549,0.1212903225806451,3083.236847032924,3194.1884599361506,1087.376332041205,1086.61390738743,112.88885914218696,112.92955368901576,-15.830334033191312,-15.98788129362147,1.0,100
"Target-domain CP, no adapter",Target CP,LUH -> HUST,gaussian_process,0.9,20.0,,none,0.9105263157894736,0.8129456741869884,0.9562666508810922,1.0,1.0,0.8241379310344827,0.1758620689655172,2972.3368470329237,3151.3263207171344,1082.5960282261735,1084.8810550954097,112.7272953084202,112.8384859456544,-15.899643788212655,-15.86752330340962,1.0,100
Linear target-adapted CP,Linear-adapted CP,LUH -> MATR,gaussian_process,0.9,5.0,5.0,linear,0.8330252100840336,0.7641826479540346,0.8810392564495274,1.0,0.8366101694915254,0.8295,0.1684322033898304,3385.6509934395326,92086.51717273712,290.34033737375944,4726.071751172431,38.31438727966905,40.22913029764451,-0.1249565340256354,-272861.5315142502,0.0,100
