scenario,source,target,calibration_domain,model,n_cycles,confidence_level,adapter_type,k_adapter,k_target,coverage_mean,coverage_std,coverage_gap_mean,coverage_gap_std,coverage_wilson95_lower_mean,coverage_wilson95_lower_std,coverage_wilson95_upper_mean,coverage_wilson95_upper_std,finite_interval_fraction_mean,finite_interval_fraction_std,mean_width_mean,mean_width_std,median_width_mean,median_width_std,winkler_mean_mean,winkler_mean_std,MAE_mean,MAE_median,MAE_std,SMAPE_mean,SMAPE_median,SMAPE_std,R2_mean,R2_median,R2_std,q_hat_mean,q_hat_std,finite_q_mean,adapter_slope_mean,adapter_slope_std,adapter_intercept_mean,adapter_intercept_std,coverage_short_mean,coverage_short_std,coverage_mid_mean,coverage_mid_std,coverage_long_mean,coverage_long_std,coverage_short_life_mean,coverage_short_life_std,coverage_long_life_mean,coverage_long_life_std,coverage_short_life_wilson95_lower_mean,coverage_short_life_wilson95_lower_std,coverage_short_life_wilson95_upper_mean,coverage_short_life_wilson95_upper_std,coverage_long_life_wilson95_lower_mean,coverage_long_life_wilson95_lower_std,coverage_long_life_wilson95_upper_mean,coverage_long_life_wilson95_upper_std,short_long_coverage_gap_mean,short_long_coverage_gap_std,lifetime_split_threshold_mean,lifetime_split_threshold_std,n_train_mean,n_adapter_mean,n_calibration_mean,n_test_mean,n_short_life_mean,n_short_life_std,n_long_life_mean,n_long_life_std,n_runs,scenario_label,direction
cross_target_calibrated_cp,matr,hust,hust,catboost,100,0.95,none,,20.0,0.9478947368421052,0.0521541938940985,0.0425614035087718,0.0299126405776311,0.8619919725894069,0.0695329977437697,0.9772383974528196,0.028736265271743,1.0,0.0,2689.096706489804,172.09555770710435,2689.096706489804,172.09555770710435,2855.8331687464815,139.5036491723495,874.0251168229264,896.988931663826,57.54837407145787,81.4635620864753,85.0535468458902,7.2213244975813025,-10.29960229135415,-10.50335792988022,1.6270209055733025,1344.548353244902,86.04777885355217,1.0,,,,,1.0,0.0,0.9984210526315788,0.0090235056840929,0.8452631578947368,0.1540048943534604,1.0,0.0,0.8975862068965518,0.1025099673090902,0.8793566952341546,0.0,1.0,0.0,0.7478651929641343,0.1240680762960561,0.9542960638150376,0.0582511922189183,0.1024137931034482,0.1025099673090902,1499.97,23.638034323239857,89.0,0.0,20.0,57.0,28.0,0.0,29.0,0.0,100,"Target-domain CP, no adapter",MATR -> HUST
cross_target_calibrated_cp,matr,luh,luh,catboost,100,0.9,none,,20.0,0.913953488372093,0.0618390724974779,0.051813953488372,0.036179187054005,0.8395864331234051,0.0763751436849079,0.9529207337749104,0.0424350845089621,1.0,0.0,1419.312764683966,328.10830144716704,1419.312764683966,328.108301447167,1731.7169805167205,219.55834152230025,335.03397199733956,331.1730847069239,21.00345776235572,65.44587085241079,65.25760260670889,2.527184944039863,-0.006446638732296,0.0370974543021046,0.069425480787933,709.656382341983,164.0541507235835,1.0,,,,,0.9617241379310344,0.0927208102671762,1.0,0.0,0.7831034482758621,0.147466870375178,0.974186046511628,0.0625326394825141,0.8537209302325581,0.0994544009507014,0.8831604410311101,0.0808413593198337,0.9874358432584768,0.0345872309733732,0.7263798857552628,0.1164946138125037,0.9230448069394216,0.0668314424508741,0.133953488372093,0.0940232833834453,486.04,39.574994655971885,89.0,0.0,20.0,86.0,43.0,0.0,43.0,0.0,100,"Target-domain CP, no adapter",MATR -> LUH
cross_target_calibrated_cp,matr,luh,luh,catboost,100,0.95,none,,20.0,0.9530232558139536,0.0464211005320306,0.0367906976744185,0.0282298292914287,0.8898083021700732,0.0608634662297454,0.9774972939635892,0.0284626414617245,1.0,0.0,1703.7445188543954,354.4268355790448,1703.7445188543954,354.42683557904485,2004.983181121168,241.6981576742363,335.03397199733956,331.1730847069239,21.00345776235572,65.44587085241079,65.25760260670889,2.527184944039863,-0.006446638732296,0.0370974543021046,0.069425480787933,851.8722594271977,177.21341778952242,1.0,,,,,0.99,0.0386835210652208,1.0,0.0,0.8706896551724138,0.1230548947273036,0.9932558139534884,0.0260888862998001,0.9127906976744186,0.0829905103974838,0.908363254839856,0.0366204298278899,0.9972447485825148,0.0113718325697213,0.7988032720818697,0.1025420139528424,0.9590723554875352,0.0508635453655152,0.0809302325581395,0.080253407701108,486.04,39.574994655971885,89.0,0.0,20.0,86.0,43.0,0.0,43.0,0.0,100,"Target-domain CP, no adapter",MATR -> LUH
cross_target_calibrated_cp,matr,sandia,sandia,catboost,100,0.9,none,,20.0,0.9093333333333332,0.0753711355945237,0.0586666666666666,0.0478775092528411,0.761768153301465,0.0929625806280051,0.9639688821534462,0.0419805420689516,1.0,0.0,4739.610331962695,811.1268129985701,4739.610331962695,811.1268129985699,5589.894043428028,961.7722959159604,719.4037291333345,722.853691533996,112.29297638487375,94.50154481936504,97.1317918070567,10.995741103630165,0.031261745672036,0.025956557094681,0.0492145695222742,2369.8051659813477,405.56340649928495,1.0,,,,,0.996,0.04,1.0,0.0,0.7291111111111112,0.2124200663170418,0.9973333333333332,0.0266666666666666,0.8213333333333332,0.140507337918625,0.7929604885689119,0.0315621039523956,0.9989102546674308,0.0108974533256923,0.5839433300564244,0.1482333421916012,0.9276943351445373,0.0779569496312834,0.176,0.1348466310923163,283.61,15.546538151139904,89.0,0.0,20.0,30.0,15.0,0.0,15.0,0.0,100,"Target-domain CP, no adapter",MATR -> SANDIA
cross_target_calibrated_cp,matr,sandia,sandia,catboost,100,0.95,none,,20.0,0.9526666666666668,0.0556927598677197,0.0443333333333333,0.0335196811376394,0.8187936494794079,0.0744312725850766,0.9837722252337592,0.0252766072983029,1.0,0.0,5255.967165110338,380.6277988514761,5255.967165110338,380.6277988514759,5692.37851285055,824.7164402301463,719.4037291333345,722.853691533996,112.29297638487375,94.50154481936504,97.1317918070567,10.995741103630165,0.031261745672036,0.025956557094681,0.0492145695222742,2627.983582555169,190.31389942573793,1.0,,,,,1.0,0.0,1.0,0.0,0.8573333333333334,0.1672136180581527,1.0,0.0,0.9053333333333332,0.1113855197354396,0.7961166989641515,0.0,1.0,0.0,0.6786987327026747,0.1269846894111924,0.9666865379242644,0.0527663599804915,0.0946666666666666,0.1113855197354396,283.61,15.546538151139904,89.0,0.0,20.0,30.0,15.0,0.0,15.0,0.0,100,"Target-domain CP, no adapter",MATR -> SANDIA
cross_target_calibrated_cp,sandia,hust,hust,xgboost,100,0.9,none,,20.0,0.9087719298245612,0.0684258235226482,0.0542807017543859,0.0422334129941549,0.8107134578569541,0.0837167867310802,0.9552116350527158,0.0450762649746542,1.0,0.0,3833.122118000985,299.3462117636472,3833.122118000985,299.3462117636474,4022.916202451506,278.0616524867221,1034.8221671824997,933.3054988988802,264.6861059805159,49.06776199033461,45.50149751543736,10.478875937356683,-20.188014067340447,-17.557631072685503,7.1857515717225136,1916.5610590004928,149.67310588182363,1.0,,,,,0.7284210526315789,0.1981644411874648,0.9978947368421052,0.0210526315789473,1.0,0.0,0.8142857142857143,0.1392954264568197,1.0,0.0,0.6469461338441589,0.1495615319007456,0.905792360303024,0.0971828766502973,0.8830302015002593,0.0,1.0,0.0,0.1857142857142857,0.1392954264568197,1501.85,25.579890697202124,34.0,0.0,20.0,57.0,28.0,0.0,29.0,0.0,100,"Target-domain CP, no adapter",SANDIA -> HUST
cross_target_calibrated_cp,sandia,hust,hust,xgboost,100,0.95,none,,20.0,0.9515789473684212,0.0526681897594241,0.0401228070175438,0.0339168957960324,0.8670222960602318,0.0694034372337023,0.9791112615146568,0.0299750045950485,1.0,0.0,4006.1049388780607,335.3326450506714,4006.1049388780607,335.3326450506717,4171.35180376641,266.0173161546617,1034.8221671824997,933.3054988988802,264.6861059805159,49.06776199033461,45.50149751543736,10.478875937356683,-20.188014067340447,-17.557631072685503,7.1857515717225136,2003.0524694390303,167.66632252533577,1.0,,,,,0.8547368421052631,0.1580045692782722,1.0,0.0,1.0,0.0,0.9014285714285714,0.1072173862959704,1.0,0.0,0.7495680029209066,0.1268796856005891,0.956429800967086,0.063427897390377,0.8830302015002593,0.0,1.0,0.0,0.0985714285714285,0.1072173862959704,1501.85,25.579890697202124,34.0,0.0,20.0,57.0,28.0,0.0,29.0,0.0,100,"Target-domain CP, no adapter",SANDIA -> HUST
cross_target_calibrated_cp,sandia,luh,luh,xgboost,100,0.9,none,,20.0,0.9132558139534884,0.0620467680178571,0.0490697674418603,0.0399390689210602,0.8383936528361008,0.0754153211776043,0.9527778278258694,0.0438001306324061,1.0,0.0,1871.528024013893,373.2684216852135,1871.5280240138925,373.26842168521347,2260.032440888061,249.09468325199663,322.9864767668636,322.83245462761187,37.850892934218344,61.192768713838056,57.87064014596685,7.96868309786703,-0.3291621887918339,-0.3263339810377716,0.2825533350295123,935.7640120069462,186.63421084260673,1.0,,,,,1.0,0.0,1.0,0.0,0.7427586206896553,0.1840007603288176,1.0,0.0,0.8265116279069766,0.1240935360357142,0.9179901967742088,0.0,1.0,0.0,0.6964090839897351,0.1373599631127294,0.9030598631130506,0.0916762733717756,0.1734883720930232,0.1240935360357142,482.41,39.91938720405757,34.0,0.0,20.0,86.0,43.0,0.0,43.0,0.0,100,"Target-domain CP, no adapter",SANDIA -> LUH
cross_target_calibrated_cp,sandia,luh,luh,xgboost,100,0.95,none,,20.0,0.950813953488372,0.0484349519750352,0.0376976744186046,0.0301851691258706,0.8871533571268665,0.0635159461077966,0.9759225659250352,0.0297236134602014,1.0,0.0,2180.9625679124083,379.8352421720393,2180.962567912408,379.8352421720392,2528.92233774896,271.06338172819744,322.9864767668636,322.83245462761187,37.850892934218344,61.192768713838056,57.87064014596685,7.96868309786703,-0.3291621887918339,-0.3263339810377716,0.2825533350295123,1090.481283956204,189.9176210860196,1.0,,,,,1.0,0.0,1.0,0.0,0.8541379310344827,0.1436346851673458,1.0,0.0,0.901627906976744,0.0968699039500704,0.9179901967742088,0.0,1.0,0.0,0.7864789930881854,0.1178554671080423,0.9509019696230048,0.0611968773673979,0.0983720930232558,0.0968699039500704,482.41,39.91938720405757,34.0,0.0,20.0,86.0,43.0,0.0,43.0,0.0,100,"Target-domain CP, no adapter",SANDIA -> LUH
cross_target_calibrated_cp,sandia,matr,matr,xgboost,100,0.9,none,,20.0,0.9020183486238532,0.0647919265106502,0.0501100917431192,0.0408132757196126,0.8351153602342866,0.0772173160332974,0.941549536833914,0.0482786333343504,1.0,0.0,3993.836154505479,920.7025141966316,3993.836154505479,920.702514196632,4773.925227642107,462.3554086414824,1219.3312700689253,1056.93234027353,425.3567758327408,87.21033663947148,82.11194132054965,14.517124876915778,-14.231539882063869,-9.550509804611302,10.670977223828324,1996.9180772527395,460.351257098316,1.0,,,,,0.7959957325746799,0.1270594055807782,0.929722222222222,0.0781152491109053,0.9833333333333332,0.0287430489544846,0.8301851851851851,0.1002295725659304,0.9725454545454544,0.050010099990003,0.7145279460336753,0.1130053678450791,0.9019848585714848,0.075063903846028,0.8951471016392942,0.0656688056761106,0.9882436409049576,0.0286279016753713,0.1429999999999999,0.0893298918264471,741.82,27.70967084946801,34.0,0.0,20.0,109.0,54.0,0.0,55.0,0.0,100,"Target-domain CP, no adapter",SANDIA -> MATR
cross_target_calibrated_cp,sandia,matr,matr,xgboost,100,0.95,none,,20.0,0.9483486238532112,0.0551639761011826,0.0409357798165137,0.0367852434001887,0.8940796214349903,0.0695117661222117,0.9720913854048768,0.0375836964358793,1.0,0.0,4664.962133181726,709.7488330429312,4664.962133181726,709.7488330429316,5239.955245246484,576.786629286074,1219.3312700689253,1056.93234027353,425.3567758327408,87.21033663947148,82.11194132054965,14.517124876915778,-14.231539882063869,-9.550509804611302,10.670977223828324,2332.4810665908626,354.87441652146583,1.0,,,,,0.8895021337126601,0.0917312654228996,0.9638888888888888,0.0727469498882574,0.9933333333333332,0.0227216603620242,0.9116666666666668,0.0765963665391731,0.9843636363636364,0.0470887144012086,0.8131474415796816,0.0969071482977813,0.9555053708921472,0.0467777941265453,0.9130983690114024,0.0610609983590191,0.9923856395064456,0.0273966930567941,0.0733367003367003,0.0619309491737244,741.82,27.70967084946801,34.0,0.0,20.0,109.0,54.0,0.0,55.0,0.0,100,"Target-domain CP, no adapter",SANDIA -> MATR
cross_target_adapted_cp,hust,luh,luh,random_forest,100,0.9,linear,20.0,20.0,0.8957575757575758,0.0752594582073308,0.0553939393939393,0.0508201009209327,0.8040029116530483,0.0908836287874163,0.9439768826138096,0.0520095185356265,1.0,0.0,1393.278517560001,304.17687387890265,1393.278517560001,304.17687387890277,1736.0128570484137,242.65894362838733,353.20821916150567,352.2541980275414,22.35528583174275,68.76443599446607,68.24742585936926,3.3163823252386,-0.0884689270968644,-0.0559159702390013,0.1299701932697998,696.6392587800005,152.08843693945136,1.0,0.3380605076045747,0.4091358883845781,97.81937711891028,554.931560945464,0.9304545454545454,0.1253519962553012,0.9904545454545456,0.0518040030220568,0.7663636363636364,0.1464754120358751,0.9478787878787878,0.1000950286343271,0.8436363636363636,0.0977167428594671,0.8285395020424083,0.1223740939101915,0.9738174334922922,0.0581687119659611,0.6921534795881266,0.1144258322468438,0.923457322100879,0.0616869097180876,0.1375757575757575,0.0913081741261511,478.24,50.92559833381013,53.0,20.0,20.0,66.0,33.0,0.0,33.0,0.0,100,Linear target-adapted CP,HUST -> LUH
cross_target_adapted_cp,hust,luh,luh,random_forest,100,0.9,residual_mean,20.0,20.0,0.9157575757575758,0.0637142962970203,0.0541818181818181,0.0366742169824957,0.8281629962696901,0.0789384620358848,0.957616695716626,0.0419757617306357,1.0,0.0,1470.6785251471642,197.02483751955845,1470.6785251471642,197.02483751955845,1691.213872255168,153.30277745266332,368.1621861924656,370.1522782808596,19.80148189130982,72.58422502210378,72.23664763143535,4.462759921707053,-0.1593852639384281,-0.1418857981171318,0.1427730229140934,735.3392625735821,98.51241875977937,1.0,1.0,0.0,-803.6439941824565,101.45918521293105,0.9259090909090908,0.1012599068995438,0.995,0.0213249654888644,0.8263636363636364,0.1426292411314911,0.9475757575757576,0.0742088403142184,0.8839393939393939,0.0958319193145704,0.823883155888294,0.0962752710473171,0.9779309129782504,0.0376563480047028,0.7412595201118125,0.115192079051489,0.9465525484419532,0.0575737037594893,0.1012121212121211,0.082984913159656,489.52,54.80000000000001,53.0,20.0,20.0,66.0,33.0,0.0,33.0,0.0,100,Residual-mean target-adapted CP,HUST -> LUH
cross_target_adapted_cp,hust,luh,luh,random_forest,100,0.95,linear,20.0,20.0,0.9543939393939394,0.0507567191517975,0.0388484848484848,0.0327306735640766,0.8791778933565253,0.0665986132048033,0.979624328315108,0.0300125699067596,1.0,0.0,1737.7730562872405,375.91172341251826,1737.7730562872405,375.91172341251814,2026.4621952797352,289.8096680530595,353.20821916150567,352.2541980275413,22.35528583174274,68.76443599446607,68.24742585936926,3.3163823252385933,-0.0884689270968644,-0.0559159702390002,0.1299701932698,868.8865281436201,187.9558617062592,1.0,0.3380605076045747,0.4091358883845781,97.81937711891028,554.931560945464,0.9795454545454544,0.0586370932678603,0.9977272727272728,0.0227272727272727,0.885909090909091,0.1169168367119842,0.9851515151515152,0.0472789664126948,0.9236363636363636,0.0781804182172144,0.8752646994066106,0.0607907253485208,0.993864836311289,0.0249176206595506,0.7906640884731649,0.0986081632590846,0.9682635136090484,0.0425656249058545,0.0699999999999999,0.0725453034175543,478.24,50.92559833381013,53.0,20.0,20.0,66.0,33.0,0.0,33.0,0.0,100,Linear target-adapted CP,HUST -> LUH
cross_target_adapted_cp,hust,luh,luh,random_forest,100,0.95,residual_mean,20.0,20.0,0.9574242424242424,0.0466228293181904,0.0364848484848484,0.0297451555873814,0.8830051508313688,0.0620240565756071,0.9815243280704856,0.0267495936383057,1.0,0.0,1761.1153534917198,396.6931548229786,1761.1153534917198,396.6931548229786,1989.4399596439716,297.04423655740067,368.1621861924656,370.1522782808594,19.801481891309898,72.58422502210378,72.23664763143526,4.462759921707034,-0.1593852639384282,-0.1418857981171333,0.1427730229140942,880.5576767458598,198.34657741148928,1.0,1.0,0.0,-803.6439941824565,101.45918521293105,0.9704545454545456,0.0690939900719455,0.999090909090909,0.0063956951880131,0.9027272727272728,0.1088802680195253,0.98,0.0464326955263901,0.9348484848484848,0.0737725867843324,0.8673799062880749,0.0621798852263755,0.992520896071171,0.0216922844256201,0.8053768522051189,0.0942154345552121,0.9736368165988698,0.0390438639518832,0.0639393939393939,0.0665712927714995,489.52,54.80000000000001,53.0,20.0,20.0,66.0,33.0,0.0,33.0,0.0,100,Residual-mean target-adapted CP,HUST -> LUH
