scenario_label,confidence_level,direction,model,coverage_mean,coverage_short_life_mean,coverage_long_life_mean,short_long_coverage_gap_mean,coverage_wilson95_lower_mean,coverage_wilson95_upper_mean,finite_interval_fraction_mean,n_runs
"Target-domain CP, no adapter",0.9,SANDIA -> MATR,xgboost,0.9020183486238532,0.8301851851851851,0.9725454545454544,0.1429999999999999,0.8351153602342866,0.941549536833914,1.0,100
"Target-domain CP, no adapter",0.95,SANDIA -> MATR,xgboost,0.9483486238532112,0.9116666666666668,0.9843636363636364,0.0733367003367003,0.8940796214349903,0.9720913854048768,1.0,100
Linear target-adapted CP,0.9,HUST -> LUH,random_forest,0.8957575757575758,0.9478787878787878,0.8436363636363636,0.1375757575757575,0.8040029116530483,0.9439768826138096,1.0,100
Residual-mean target-adapted CP,0.9,HUST -> LUH,random_forest,0.9157575757575758,0.9475757575757576,0.8839393939393939,0.1012121212121211,0.8281629962696901,0.957616695716626,1.0,100
Linear target-adapted CP,0.95,HUST -> LUH,random_forest,0.9543939393939394,0.9851515151515152,0.9236363636363636,0.0699999999999999,0.8791778933565253,0.979624328315108,1.0,100
Residual-mean target-adapted CP,0.95,HUST -> LUH,random_forest,0.9574242424242424,0.98,0.9348484848484848,0.0639393939393939,0.8830051508313688,0.9815243280704856,1.0,100
Linear target-adapted CP,0.9,HUST -> MATR,random_forest,0.8964044943820224,0.9506818181818182,0.8433333333333333,0.1211363636363636,0.8209594430826972,0.9390458486940446,1.0,100
Residual-mean target-adapted CP,0.9,HUST -> MATR,random_forest,0.9146067415730336,0.9627272727272728,0.8675555555555556,0.1192121212121211,0.8417429330965943,0.9531605608535694,1.0,100
Linear target-adapted CP,0.95,HUST -> MATR,random_forest,0.9425842696629212,0.985909090909091,0.9002222222222223,0.0856868686868686,0.8786803579132046,0.9698629653035148,1.0,100
Residual-mean target-adapted CP,0.95,HUST -> MATR,random_forest,0.962134831460674,0.9861363636363636,0.9386666666666666,0.0568030303030302,0.9041187020249652,0.981907875378022,1.0,100
Linear target-adapted CP,0.9,HUST -> SANDIA,random_forest,0.91,0.988,0.8320000000000001,0.1639999999999999,0.6181209432448266,0.9743021608676042,1.0,100
Residual-mean target-adapted CP,0.9,HUST -> SANDIA,random_forest,0.892,0.988,0.7959999999999999,0.1999999999999999,0.5990936020742869,0.967320682833208,1.0,100
Linear target-adapted CP,0.95,HUST -> SANDIA,random_forest,0.96,0.996,0.924,0.0759999999999999,0.673740750937162,0.99092907318898,1.0,100
Residual-mean target-adapted CP,0.95,HUST -> SANDIA,random_forest,0.953,1.0,0.906,0.0939999999999999,0.667309886088765,0.9872453972354576,1.0,100
Linear target-adapted CP,0.9,LUH -> HUST,gaussian_process,0.9021621621621624,0.8983333333333333,0.9057894736842106,0.1071052631578946,0.7721410068284408,0.9565303202819608,1.0,100
Residual-mean target-adapted CP,0.9,LUH -> HUST,gaussian_process,0.9075675675675676,0.9122222222222222,0.903157894736842,0.0908771929824561,0.7780850971334476,0.9603801994273624,1.0,100
Linear target-adapted CP,0.95,LUH -> HUST,gaussian_process,0.9467567567567567,0.9383333333333332,0.9547368421052632,0.0645906432748537,0.8296273059430057,0.979844269133267,1.0,100
Residual-mean target-adapted CP,0.95,LUH -> HUST,gaussian_process,0.9575675675675676,0.9533333333333333,0.9615789473684212,0.0429239766081871,0.8440291851807867,0.9850303287963031,1.0,100
Linear target-adapted CP,0.9,LUH -> MATR,gaussian_process,0.8997752808988764,0.9379545454545456,0.8624444444444443,0.1027424242424242,0.8241548906685326,0.9423130311403244,1.0,100
Residual-mean target-adapted CP,0.9,LUH -> MATR,gaussian_process,0.9091011235955055,0.9620454545454544,0.8573333333333334,0.1118737373737373,0.8347358760360902,0.9496119888616188,1.0,100
Linear target-adapted CP,0.95,LUH -> MATR,gaussian_process,0.9415730337078652,0.9713636363636364,0.9124444444444444,0.0742727272727272,0.8768691839539267,0.9697353502531584,1.0,100
