scenario,source,target,calibration_domain,model,n_cycles,seed,repeat,k_target,k_adapter,n_train,n_adapter,n_calibration,n_test,adapter_type,adapter_slope,adapter_intercept,confidence_level,alpha,quantile_rank,q_hat,finite_q,covered_count,coverage,coverage_gap,coverage_wilson95_lower,coverage_wilson95_upper,mean_width,median_width,winkler_mean,MAE,SMAPE,R2,n_short,coverage_short,n_mid,coverage_mid,n_long,coverage_long,n_short_life,coverage_short_life,coverage_short_life_wilson95_lower,coverage_short_life_wilson95_upper,n_long_life,coverage_long_life,coverage_long_life_wilson95_lower,coverage_long_life_wilson95_upper,short_long_coverage_gap,lifetime_split_threshold
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,15.0,10.0,15.0,53,15,10,104,residual_mean,1.0,-671.1908945294085,0.95,0.050000000000000044,11,inf,False,97,0.9326923076923077,0.017307692307692246,0.8675421323612021,0.9670163109703299,1465.0130923409793,1465.0130923409793,2297.0521851027233,266.85903192460677,34.88134240669133,-0.02006149126547352,35,1.0,34,1.0,35,0.8,52,1.0,0.9312077638761377,0.9999999999999999,52,0.8653846153846154,0.7472667983480621,0.9332311829460385,0.13461538461538458,771.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,16.0,10.0,15.0,53,15,10,104,residual_mean,1.0,-608.5234586284371,0.9,0.09999999999999998,10,362.4039467256837,True,84,0.8076923076923077,0.09230769230769231,0.7215452338276328,0.8719185480970123,724.8078934513671,724.8078934513674,1842.5358918112872,265.31661762904065,33.639886143253,0.06135505054559176,35,0.9142857142857143,34,1.0,35,0.5142857142857142,52,0.9423076923076923,0.8435748863103925,0.9801858278877293,52,0.6730769230769231,0.5375618936197395,0.7847792554143083,0.26923076923076916,779.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,16.0,10.0,15.0,53,15,10,104,residual_mean,1.0,-608.5234586284371,0.95,0.050000000000000044,11,inf,False,84,0.8076923076923077,0.14230769230769225,0.7215452338276328,0.8719185480970123,724.8078934513671,724.8078934513674,2960.263890171205,265.3166176290407,33.63988614325301,0.06135505054559165,35,0.9142857142857143,34,1.0,35,0.5142857142857142,52,0.9423076923076923,0.8435748863103925,0.9801858278877293,52,0.6730769230769231,0.5375618936197395,0.7847792554143083,0.26923076923076916,779.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,17.0,10.0,15.0,53,15,10,104,residual_mean,1.0,-648.7671701233455,0.9,0.09999999999999998,10,911.1333766347452,True,100,0.9615384615384616,0.06153846153846154,0.9052524862309445,0.9849431866560231,1822.2667532694866,1822.266753269486,1991.3751223933261,257.7599096248397,34.26193256211718,0.03329249401556034,35,1.0,34,1.0,35,0.8857142857142857,52,1.0,0.9312077638761377,0.9999999999999999,52,0.9230769230769231,0.8182643761570467,0.9696806548150698,0.07692307692307687,740.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,17.0,10.0,15.0,53,15,10,104,residual_mean,1.0,-648.7671701233455,0.95,0.050000000000000044,11,inf,False,100,0.9615384615384616,0.011538461538461608,0.9052524862309445,0.9849431866560231,1822.2667532694866,1822.266753269486,2160.4834915171627,257.7599096248397,34.26193256211718,0.033292494015561114,35,1.0,34,1.0,35,0.8857142857142857,52,1.0,0.9312077638761377,0.9999999999999999,52,0.9230769230769231,0.8182643761570467,0.9696806548150698,0.07692307692307687,740.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,18.0,10.0,15.0,53,15,10,104,residual_mean,1.0,-594.3670151111747,0.9,0.09999999999999998,10,529.2479880343143,True,95,0.9134615384615384,0.013461538461538414,0.8436629055250897,0.9538040514361519,1058.4959760686236,1058.4959760686236,1614.3102976265498,268.746095322622,35.30882381972466,0.07711850968371703,35,1.0,34,1.0,35,0.7428571428571429,52,1.0,0.9312077638761377,0.9999999999999999,52,0.8269230769230769,0.702691358755192,0.9061752560868979,0.17307692307692313,745.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,18.0,10.0,15.0,53,15,10,104,residual_mean,1.0,-594.3670151111747,0.95,0.050000000000000044,11,inf,False,95,0.9134615384615384,0.03653846153846152,0.8436629055250897,0.9538040514361519,1058.4959760686265,1058.4959760686263,2170.12461918447,268.746095322622,35.30882381972466,0.07711850968371703,35,1.0,34,1.0,35,0.7428571428571429,52,1.0,0.9312077638761377,0.9999999999999999,52,0.8269230769230769,0.702691358755192,0.9061752560868979,0.17307692307692313,745.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,19.0,10.0,15.0,53,15,10,104,residual_mean,1.0,-503.72829023182254,0.9,0.09999999999999998,10,443.1976979686183,True,86,0.8269230769230769,0.07307692307692315,0.7429326899825907,0.8876225783123445,886.3953959372392,886.3953959372388,1481.2569331212899,273.0168976960564,36.16063061189024,0.014933267419181995,35,0.6857142857142857,34,1.0,35,0.8,52,0.7884615384615384,0.6596789537149543,0.877556294675125,52,0.8653846153846154,0.7472667983480621,0.9332311829460385,0.07692307692307698,705.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,19.0,10.0,15.0,53,15,10,104,residual_mean,1.0,-503.72829023182254,0.95,0.050000000000000044,11,inf,False,86,0.8269230769230769,0.12307692307692308,0.7429326899825907,0.8876225783123445,886.3953959372367,886.3953959372366,2076.118470305347,273.0168976960564,36.16063061189023,0.014933267419182772,35,0.6857142857142857,34,1.0,35,0.8,52,0.7884615384615384,0.6596789537149543,0.877556294675125,52,0.8653846153846154,0.7472667983480621,0.9332311829460385,0.07692307692307698,705.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,0.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-491.09243192802785,0.9,0.09999999999999998,15,460.00457749519967,True,82,0.8282828282828283,0.07171717171717173,0.7421074301408759,0.8899333902186315,920.0091549903993,920.0091549903993,1500.373031258258,292.6633354457122,37.97567084506298,-0.0026742820824037228,33,0.696969696969697,33,1.0,33,0.7878787878787878,49,0.7959183673469388,0.6636299908048746,0.8851815039421786,50,0.86,0.7381380628941446,0.9304916657298371,0.06408163265306122,708.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,0.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-491.09243192802785,0.95,0.050000000000000044,16,inf,False,82,0.8282828282828283,0.12171717171717167,0.7421074301408759,0.8899333902186315,920.0091549903993,920.0091549903993,2080.7369075261126,292.66333544571205,37.975670845062965,-0.0026742820824021685,33,0.696969696969697,33,1.0,33,0.7878787878787878,49,0.7959183673469388,0.6636299908048746,0.8851815039421786,50,0.86,0.7381380628941446,0.9304916657298371,0.06408163265306122,708.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,1.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-629.8284799354357,0.9,0.09999999999999998,15,965.4708245269884,True,96,0.9696969696969697,0.0696969696969697,0.9146631979389799,0.9896413604215459,1930.9416490539766,1930.9416490539768,2049.3778040283896,267.4851852376784,34.94194334276409,0.04386159472661022,33,1.0,33,1.0,33,0.9090909090909091,49,1.0,0.9273021807795038,1.0,50,0.94,0.8378290831116182,0.979385029651026,0.06000000000000005,708.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,1.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-629.8284799354357,0.95,0.050000000000000044,16,inf,False,96,0.9696969696969697,0.01969696969696977,0.9146631979389799,0.9896413604215459,1930.941649053977,1930.9416490539768,2167.813959002802,267.4851852376782,34.94194334276406,0.043861594726610775,33,1.0,33,1.0,33,0.9090909090909091,49,1.0,0.9273021807795038,1.0,50,0.94,0.8378290831116182,0.979385029651026,0.06000000000000005,708.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,2.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-515.794142443589,0.9,0.09999999999999998,15,1067.2933825915195,True,98,0.98989898989899,0.08989898989898992,0.9449846853541274,0.9982146927208301,2134.586765183039,2134.586765183039,2162.6104107491783,266.60843682139836,35.17667455832992,0.009111475558415738,33,1.0,33,1.0,33,0.9696969696969697,49,1.0,0.9273021807795038,1.0,50,0.98,0.8950455641036219,0.9964607407283539,0.020000000000000018,708.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,2.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-515.794142443589,0.95,0.050000000000000044,16,inf,False,98,0.98989898989899,0.03989898989898999,0.9449846853541274,0.9982146927208301,2134.5867651830376,2134.5867651830367,2190.634056315318,266.60843682139824,35.17667455832992,0.009111475558415405,33,1.0,33,1.0,33,0.9696969696969697,49,1.0,0.9273021807795038,1.0,50,0.98,0.8950455641036219,0.9964607407283539,0.020000000000000018,708.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,3.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-491.6589405501048,0.9,0.09999999999999998,15,404.4562276956583,True,67,0.6767676767676768,0.22323232323232323,0.5795296789352459,0.7607999935660273,808.9124553913166,808.9124553913166,1636.011915129756,284.9061146208215,37.2790334776133,0.015473969463811077,33,0.3333333333333333,33,1.0,33,0.696969696969697,49,0.5510204081632653,0.413151082194979,0.6814715893131335,50,0.8,0.669628940677746,0.8875624998422389,0.2489795918367348,708.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,3.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-491.6589405501048,0.95,0.050000000000000044,16,inf,False,67,0.6767676767676768,0.27323232323232316,0.5795296789352459,0.7607999935660273,808.9124553913166,808.9124553913166,2463.1113748682055,284.90611462082205,37.27903347761335,0.015473969463807968,33,0.3333333333333333,33,1.0,33,0.696969696969697,49,0.5510204081632653,0.413151082194979,0.6814715893131335,50,0.8,0.669628940677746,0.8875624998422389,0.2489795918367348,708.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,4.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-563.8991784588073,0.9,0.09999999999999998,15,915.3696535085559,True,97,0.9797979797979798,0.07979797979797976,0.9293096883284993,0.9944422798892423,1830.739307017117,1830.7393070171167,1939.5826556532281,255.07022961743533,33.91285464215878,0.07480530701570098,33,1.0,33,1.0,33,0.9393939393939394,49,1.0,0.9273021807795038,1.0,50,0.96,0.8653990931249298,0.9889611156723801,0.040000000000000036,714.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,4.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-563.8991784588073,0.95,0.050000000000000044,16,inf,False,97,0.9797979797979798,0.029797979797979823,0.9293096883284993,0.9944422798892423,1830.7393070171086,1830.739307017109,2048.426004289333,255.0702296174352,33.91285464215875,0.07480530701570265,33,1.0,33,1.0,33,0.9393939393939394,49,1.0,0.9273021807795038,1.0,50,0.96,0.8653990931249298,0.9889611156723801,0.040000000000000036,714.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,5.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-553.0661042043988,0.9,0.09999999999999998,15,492.5355119411946,True,91,0.9191919191919192,0.019191919191919204,0.8485819115773596,0.9584855974970883,985.0710238823867,985.071023882387,1561.274590798747,260.45724473125483,34.12276803264787,0.05701034052772047,33,0.9696969696969697,33,1.0,33,0.7878787878787878,49,0.9795918367346939,0.893064784766084,0.9963883274101748,50,0.86,0.7381380628941446,0.9304916657298371,0.11959183673469387,740.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,5.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-553.0661042043988,0.95,0.050000000000000044,16,inf,False,91,0.9191919191919192,0.03080808080808073,0.8485819115773596,0.9584855974970883,985.0710238823847,985.0710238823847,2137.4781577151066,260.45724473125483,34.12276803264789,0.057010340527719805,33,0.9696969696969697,33,1.0,33,0.7878787878787878,49,0.9795918367346939,0.893064784766084,0.9963883274101748,50,0.86,0.7381380628941446,0.9304916657298371,0.11959183673469387,740.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,6.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-578.9170498831,0.9,0.09999999999999998,15,513.7980228062371,True,90,0.9090909090909091,0.009090909090909038,0.8361858620987453,0.9514342371184868,1027.5960456124792,1027.5960456124792,1611.4817975521125,259.6301604908068,33.615210486170746,0.078329860833524,33,1.0,33,1.0,33,0.7272727272727273,49,1.0,0.9273021807795038,1.0,50,0.82,0.6920394632569922,0.9022980732976582,0.18000000000000005,713.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,6.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-578.9170498831,0.95,0.050000000000000044,16,inf,False,90,0.9090909090909091,0.040909090909090895,0.8361858620987453,0.9514342371184868,1027.5960456124742,1027.5960456124742,2195.367549491749,259.63016049080653,33.6152104861707,0.07832986083352511,33,1.0,33,1.0,33,0.7272727272727273,49,1.0,0.9273021807795038,1.0,50,0.82,0.6920394632569922,0.9022980732976582,0.18000000000000005,713.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,7.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-645.6602812318954,0.9,0.09999999999999998,15,905.8306139900101,True,94,0.9494949494949495,0.04949494949494948,0.8871729731375114,0.9782367655085832,1811.6612279800174,1811.6612279800174,1991.5284781235298,269.2512042511835,33.3354137831987,-0.009138801079954906,33,1.0,33,1.0,33,0.8484848484848485,49,1.0,0.9273021807795038,1.0,50,0.9,0.7863976856252035,0.9565242350681096,0.09999999999999998,792.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,7.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-645.6602812318954,0.95,0.050000000000000044,16,inf,False,94,0.9494949494949495,0.0005050505050504528,0.8871729731375114,0.9782367655085832,1811.6612279800152,1811.6612279800152,2171.39572826704,269.2512042511835,33.33541378319872,-0.009138801079953573,33,1.0,33,1.0,33,0.8484848484848485,49,1.0,0.9273021807795038,1.0,50,0.9,0.7863976856252035,0.9565242350681096,0.09999999999999998,792.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,8.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-556.7205486888342,0.9,0.09999999999999998,15,1108.2197888367648,True,98,0.98989898989899,0.08989898989898992,0.9449846853541274,0.9982146927208301,2216.439577673527,2216.4395776735273,2244.4632232396666,253.9638576950573,34.36606299082337,0.07980314944021971,33,1.0,33,1.0,33,0.9696969696969697,49,1.0,0.9273021807795038,1.0,50,0.98,0.8950455641036219,0.9964607407283539,0.020000000000000018,713.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,8.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-556.7205486888342,0.95,0.050000000000000044,16,inf,False,98,0.98989898989899,0.03989898989898999,0.9449846853541274,0.9982146927208301,2216.439577673527,2216.4395776735273,2272.486868805807,253.96385769505702,34.366062990823345,0.07980314944022093,33,1.0,33,1.0,33,0.9696969696969697,49,1.0,0.9273021807795038,1.0,50,0.98,0.8950455641036219,0.9964607407283539,0.020000000000000018,713.0
cross_target_adapted_cp,hust,matr,matr,random_forest,100,456,9.0,15.0,15.0,53,15,15,99,residual_mean,1.0,-606.3612132154144,0.9,0.09999999999999998,15,830.1588086234003,True,93,0.9393939393939394,0.039393939393939426,0.8740321262351005,0.9719302025537786,1660.3176172468031,1660.3176172468034,1884.2730338753167,254.06528055589612,33.041884718562535,0.06925432638630946,33,1.0,33,1.0,33,0.8181818181818182,49,1.0,0.9273021807795038,1.0,50,0.88,0.7619518261679702,0.9438239984906772,0.12,793.0
