scenario,source,target,calibration_domain,model,n_cycles,confidence_level,adapter_type,k_adapter,k_target,coverage_mean,coverage_std,coverage_gap_mean,coverage_gap_std,coverage_wilson95_lower_mean,coverage_wilson95_lower_std,coverage_wilson95_upper_mean,coverage_wilson95_upper_std,mean_width_mean,mean_width_std,median_width_mean,median_width_std,winkler_mean_mean,winkler_mean_std,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,q_hat_mean,q_hat_std,finite_q_mean,adapter_slope_mean,adapter_slope_std,adapter_intercept_mean,adapter_intercept_std,coverage_short_mean,coverage_short_std,coverage_mid_mean,coverage_mid_std,coverage_long_mean,coverage_long_std,coverage_short_life_mean,coverage_short_life_std,coverage_long_life_mean,coverage_long_life_std,coverage_short_life_wilson95_lower_mean,coverage_short_life_wilson95_lower_std,coverage_short_life_wilson95_upper_mean,coverage_short_life_wilson95_upper_std,coverage_long_life_wilson95_lower_mean,coverage_long_life_wilson95_lower_std,coverage_long_life_wilson95_upper_mean,coverage_long_life_wilson95_upper_std,short_long_coverage_gap_mean,short_long_coverage_gap_std,lifetime_split_threshold_mean,lifetime_split_threshold_std,n_train_mean,n_adapter_mean,n_calibration_mean,n_test_mean,n_short_life_mean,n_short_life_std,n_long_life_mean,n_long_life_std,n_runs
cross_target_adapted_cp,hust,matr,matr,catboost,100,0.9,residual_mean,5.0,15.0,0.9522935779816514,0.04755505880841457,0.06554128440366974,0.026166273282690212,0.8982670853161805,0.06037806151485693,0.9755252338408777,0.03185644483844356,1772.6846302026036,496.6557913669393,1772.6846302026036,496.6557913669393,1956.4961696181529,372.3548021403682,294.67967679859674,41.85203809161374,38.0730699207649,4.66436988459254,-0.1325298614625434,0.24749229897004876,886.3423151013018,248.32789568346965,1.0,1.0,0.0,-637.4354943782108,146.25426801435538,0.9716216216216216,0.08295896162936073,0.9997222222222223,0.002777777777777776,0.885,0.10120085803756601,0.9803703703703703,0.05771582431520726,0.9247272727272727,0.06624056162458869,0.9072473812855313,0.07326887438202366,0.9896871196375114,0.035085243135136744,0.8293256271631039,0.08295506113594926,0.964672362287982,0.041615397767460295,0.07070033670033672,0.06700933953214643,738.25,25.824729750118742,53.0,5.0,15.0,109.0,54.0,0.0,55.0,0.0,100
cross_target_adapted_cp,hust,matr,matr,catboost,100,0.9,residual_mean,5.0,20.0,0.9054807692307691,0.0662948970387522,0.05301923076923076,0.03982364202691473,0.8376217692377336,0.07946676555987725,0.9444522208798376,0.04872778476252004,1344.3296606992214,365.7646564678198,1344.3296606992214,365.76465646781975,1790.1240285696954,235.91087412354517,296.93530051680716,46.14056650842117,38.10100202074016,4.488660573967097,-0.15474775796735016,0.33510405752972483,672.1648303496107,182.88232823390987,1.0,1.0,0.0,-642.6342872318269,162.75065623284252,0.9431825396825397,0.11707184649915624,0.9994117647058823,0.005882352941176475,0.7765714285714286,0.14967180477466782,0.9613461538461539,0.0790070751566607,0.8496153846153847,0.10074063782910339,0.8796443849837716,0.09872314820558585,0.9795738556080953,0.0493494448113828,0.7351130358253044,0.11605682460780234,0.9160160852234718,0.07230707457695745,0.13442307692307692,0.09777174208173939,745.45,27.135043874307737,53.0,5.0,20.0,104.0,52.0,0.0,52.0,0.0,100
cross_target_adapted_cp,hust,matr,matr,catboost,100,0.9,residual_mean,10.0,5.0,0.8141228070175438,0.16492837498429658,0.13212280701754386,0.13045302311158427,0.7431222406544031,0.1794607134420348,0.8646434872714194,0.1403963385777505,1147.8757629393897,571.1753745456344,1147.8757629393895,571.1753745456343,1956.272949690575,461.19480256665037,280.35970045846165,22.889700083138923,36.178547800867825,2.581590154898313,-0.03788711031255235,0.13491131313746973,inf,,0.0,1.0,0.0,-646.2196921184601,99.15389488063414,0.7815789473684212,0.2738012468033268,0.9784210526315789,0.07632358023626214,0.6823684210526316,0.23003250390461338,0.8457894736842105,0.20292091242303167,0.7824561403508771,0.16555539499544428,0.7541508180819495,0.2227784222372271,0.8937626403407799,0.15980150897457515,0.6709254406834347,0.17732415063865722,0.8583189368206718,0.1343355152548924,0.13912280701754387,0.11343042296286213,747.4,22.5294420165205,53.0,10.0,5.0,114.0,57.0,0.0,57.0,0.0,100
cross_target_adapted_cp,hust,matr,matr,catboost,100,0.9,residual_mean,10.0,10.0,0.9047706422018349,0.09894604418499642,0.0766605504587156,0.06226641598195366,0.8425956780258558,0.11583949037893376,0.9393864136822458,0.07606003968165645,1464.6899968170783,589.0081568673954,1464.6899968170778,589.0081568673952,1887.596163016966,373.75001327128814,289.6799935850309,27.40592738696236,37.30883072252502,3.081816357831083,-0.09637711583766811,0.19177948914117285,732.3449984085389,294.5040784336976,1.0,1.0,0.0,-626.8213362593406,129.99891222005633,0.9170270270270271,0.17499732531472345,0.9969444444444444,0.012419462458639919,0.8,0.17443547268671541,0.9416666666666668,0.1224814163767893,0.8685454545454546,0.11585561163855025,0.8606936623131227,0.14277595359863574,0.9639743348732523,0.08732719785718357,0.7645510893688758,0.13559424739050477,0.9244189126077299,0.08215965322772797,0.11203030303030304,0.10189615635369635,738.32,25.837831475445796,53.0,10.0,10.0,109.0,54.0,0.0,55.0,0.0,100
cross_target_adapted_cp,hust,matr,matr,catboost,100,0.9,residual_mean,10.0,15.0,0.9323076923076923,0.06492652270119459,0.0621153846153846,0.037047127956123437,0.871932367044261,0.07999104579016514,0.9618842465598653,0.04568214335044675,1567.8526144515758,508.34840205036335,1567.8526144515758,508.34840205036323,1879.7440148965177,313.55822472709417,286.20347605132037,22.300040320149996,36.88762671173019,2.59574301676373,-0.057046346265321436,0.14002783391141044,783.9263072257879,254.17420102518162,1.0,1.0,0.0,-632.2072069159639,107.77546116272958,0.9663492063492063,0.09583267979784271,0.9997058823529411,0.0029411764705882526,0.832857142857143,0.15011161929638878,0.9771153846153847,0.06592372245615113,0.8875,0.10103666683410782,0.9001411122029002,0.07993684513321367,0.9884459886342911,0.044000925754807615,0.7819107314206889,0.11949816782969885,0.9397752855833178,0.06958065611628232,0.10192307692307692,0.0993260717008111,746.39,29.212179209045903,53.0,10.0,15.0,104.0,52.0,0.0,52.0,0.0,100
cross_target_adapted_cp,hust,matr,matr,catboost,100,0.9,residual_mean,10.0,20.0,0.8874747474747475,0.0816962212687305,0.06494949494949495,0.050711850870456605,0.8147960871431456,0.09591211872330684,0.9312065549796453,0.061690100912923825,1241.7717576857262,385.9692989616693,1241.7717576857262,385.96929896166927,1772.4636193103436,305.8438369756067,289.6011633918962,28.437676083419706,37.28314261537932,3.2617339814172923,-0.06559313682567469,0.14682925889940568,620.8858788428631,192.98464948083463,1.0,1.0,0.0,-633.1495164437247,116.62182930183172,0.9197058823529412,0.1485428668977468,0.9963636363636365,0.015695765376838557,0.7463636363636365,0.1770445162627188,0.9444897959183673,0.10235285211543765,0.8316,0.1200397240647251,0.854692431320217,0.12273584111952697,0.9696602828584601,0.06836535756616813,0.7126984094625519,0.13304376153942002,0.9031838627922046,0.09073914814489831,0.1471265306122449,0.11901255665305448,738.88,32.14307660659405,53.0,10.0,20.0,99.0,49.0,0.0,50.0,0.0,100
cross_target_adapted_cp,hust,matr,matr,catboost,100,0.9,residual_mean,15.0,5.0,0.8514678899082568,0.13363532661295427,0.09946788990825688,0.10121145531902694,0.7813727605726384,0.14934759926462773,0.8976329949427148,0.10957975496044833,1233.1656443441577,562.6153292245001,1233.1656443441577,562.6153292245002,1874.488553916813,371.6203402495888,279.17301689331924,22.217041903754875,36.09655585823118,2.686239750503931,-0.023158112307510366,0.12674104235225953,inf,,0.0,1.0,0.0,-635.413881723488,86.28675750564231,0.8338762446657184,0.23906964879857664,0.99,0.04811576222388911,0.7311111111111112,0.18864115265332052,0.8814814814814815,0.1770373657539365,0.8220000000000001,0.12880605932281927,0.790398636908598,0.19791263564118478,0.9218932181035331,0.13475756600921754,0.7101509330043537,0.1453123575626013,0.8918055906762428,0.09682269688462393,0.13,0.10328264153181618,737.77,26.321192061058916,53.0,15.0,5.0,109.0,54.0,0.0,55.0,0.0,100
cross_target_adapted_cp,hust,matr,matr,catboost,100,0.9,residual_mean,15.0,10.0,0.9130769230769231,0.07967728601152414,0.06276923076923076,0.050412588544298906,0.8486265803232104,0.09477496363390756,0.9480985469106256,0.059511159324588704,1468.4707333730641,523.495704935507,1468.4707333730641,523.4957049355069,1848.580779186132,336.4377630081459,283.8027558620433,24.07339598981584,36.71886131945006,2.7174283444102403,-0.042048022710475814,0.13699830893091086,734.2353666865321,261.74785246775343,1.0,1.0,0.0,-635.4869447738387,97.08182878769391,0.9303888888888889,0.1404273932886959,0.9982352941176471,0.010085094588103848,0.8131428571428572,0.15535092704554598,0.9523076923076923,0.09525532004383233,0.8738461538461538,0.10650640192639109,0.869052589406134,0.11586327524998287,0.9733322800695106,0.06265132305561251,0.7650629941291043,0.12182537059491615,0.9311938877844387,0.07807586468545245,0.10769230769230768,0.09972018709041054,743.53,28.720335596362304,53.0,15.0,10.0,104.0,52.0,0.0,52.0,0.0,100
cross_target_adapted_cp,hust,matr,matr,catboost,100,0.9,residual_mean,15.0,15.0,0.9466666666666668,0.0530640352144372,0.06420202020202019,0.02918959781964347,0.8879072409883214,0.06780765609598442,0.9720572228977528,0.03484654917770379,1691.6093055473123,512.5703709792217,1691.6093055473123,512.5703709792218,1927.7847690838048,343.7098799222315,278.8403612158063,16.740118718300707,36.06087869313813,2.0527940210451727,-0.029893609364264363,0.10046375183427204,845.8046527736561,256.2851854896109,1.0,1.0,0.0,-640.793260656806,94.10562269837183,0.9754812834224599,0.07748917798578103,1.0,0.0,0.8645454545454545,0.11885175034891272,0.9834693877551021,0.05218783925529166,0.9106000000000001,0.07844215523028238,0.9049275886993879,0.06687473032742643,0.9917168465114874,0.030389128636789442,0.8065268598905954,0.0979618716973787,0.9560824917010905,0.048705246180274275,0.07970204081632654,0.07421100887281529,743.57,29.926257853111355,53.0,15.0,15.0,99.0,49.0,0.0,50.0,0.0,100
cross_target_adapted_cp,hust,matr,matr,catboost,100,0.9,residual_mean,15.0,20.0,0.9020212765957447,0.0677615451330976,0.051425531914893616,0.04386861646195606,0.8289264221580923,0.08077971945185622,0.9435477509683444,0.04982424974095016,1260.8058428718753,372.69088433405204,1260.8058428718753,372.69088433405204,1742.4596467686756,220.51354178673418,277.71946285904824,16.995993019399812,35.83178346829178,2.1554171131875166,-0.01575310425583805,0.0867376603922063,630.4029214359376,186.34544216702602,1.0,1.0,0.0,-640.7396842410676,83.59694128704564,0.9466382575757575,0.11572382948738329,1.0,0.0,0.7580645161290324,0.14246620171706081,0.9636170212765957,0.0788186063599504,0.8404255319148937,0.09396706921763588,0.8755464068235495,0.09702011082555578,0.981628052975026,0.04984302894396833,0.7162887542031708,0.10847677375827057,0.9131188344511295,0.06581642600176411,0.1372340425531915,0.08957610418162025,747.66,31.904915551739613,53.0,15.0,20.0,94.0,47.0,0.0,47.0,0.0,100
