experiment,scenario,source,target,model,n_cycles,seed,train_cells,calibration_cells,test_cells,MAE,SMAPE,R2,y_mean_log,y_std_log,log_lower,log_upper,best_filters,best_learning_rate,best_epoch,epochs_run,best_val_loss,final_train_loss
hust_to_sandia,naive_cross,hust,sandia,pytorch_simple_transformer,100,1011,53,12,50,1233.2324789974364,127.8635742348087,-0.3661921869229874,7.291066646575928,0.1885673850774765,6.836259365081787,7.612831115722656,32,0.001,8,16,0.9161984324455261,0.921917736530304
hust_to_sandia,naive_cross,hust,sandia,pytorch_simple_transformer,100,123,53,12,50,1232.768945029283,127.99081944384483,-0.3679833679475215,7.280747890472412,0.19897635281085968,6.72022008895874,7.612831115722656,32,0.001,1,9,0.8315763473510742,0.9520031213760376
hust_to_sandia,naive_cross,hust,sandia,pytorch_simple_transformer,100,42,53,12,50,1204.7772056517222,127.15288281075578,-0.3149213832766331,7.299964904785156,0.18443509936332703,6.967909336090088,7.612831115722656,32,0.003,1,9,1.2941768169403076,0.9152738451957703
hust_to_sandia,naive_cross,hust,sandia,pytorch_simple_transformer,100,456,53,12,50,1221.7682798003011,127.16843979879346,-0.41329776065241575,7.2845354080200195,0.19942925870418549,6.72022008895874,7.612831115722656,32,0.001,22,30,0.32412388920783997,0.7931615114212036
hust_to_sandia,naive_cross,hust,sandia,pytorch_simple_transformer,100,789,53,12,50,1124.1009314000462,123.81866716385457,-0.17634524693127118,7.282606601715088,0.19414253532886505,6.72022008895874,7.612831115722656,64,0.001,9,17,0.8299520015716553,0.890903115272522
luh_to_hust,naive_cross,luh,hust,pytorch_simple_transformer,100,1011,74,16,77,246.35063387679097,16.681521538846365,-0.20943275992758714,6.0122599601745605,0.8932117819786072,4.094344615936279,7.38709020614624,64,0.001,20,28,0.07066889852285385,0.08675210922956467
luh_to_hust,naive_cross,luh,hust,pytorch_simple_transformer,100,123,74,16,77,226.644143069533,15.43348755976573,-0.04481017356681449,5.986907005310059,0.9334043264389038,4.094344615936279,7.38709020614624,64,0.001,18,26,0.04456876218318939,0.09264292567968369
luh_to_hust,naive_cross,luh,hust,pytorch_simple_transformer,100,42,74,16,77,262.2379222720018,18.225782783217877,-0.599952943144227,6.007865905761719,0.9053627848625183,4.127134323120117,7.38709020614624,32,0.003,7,15,0.0901440978050232,0.12393368780612946
luh_to_hust,naive_cross,luh,hust,pytorch_simple_transformer,100,456,74,16,77,246.35063387679097,16.681521538846365,-0.20943275992758714,5.982973098754883,0.909216582775116,4.094344615936279,7.38709020614624,64,0.001,35,40,0.0546172596514225,0.07084011286497116
luh_to_hust,naive_cross,luh,hust,pytorch_simple_transformer,100,789,74,16,77,344.8913688748185,24.59397521512843,-1.4019378851573632,6.005956172943115,0.9016876220703125,4.127134323120117,7.38709020614624,32,0.003,5,13,0.1338597685098648,0.10792642086744308
