scenario,source,target,model,n_cycles,seed,confidence_level,clip,n_train,n_calibration,n_test,discriminator_auc,cal_weight_ess,cal_weight_ess_fraction,raw_cal_weight_ess,raw_cal_weight_ess_fraction,cal_weight_sum,cal_weight_min,cal_weight_median,cal_weight_max,target_weight_median,target_weight_max,target_mass_fraction_median,target_mass_fraction_max,finite_interval_fraction,n_infinite_intervals,q_hat_median,mean_width,median_width,median_finite_width,winkler_mean,MAE,SMAPE,R2,covered_count,coverage,coverage_wilson95_lower,coverage_wilson95_upper
unweighted_source_cp,matr,hust,catboost,100,123,0.9,unweighted,89,20,77,,20.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.047619047619047616,1.0,0,697.7135350612382,1395.427070122476,1395.4270701224764,1395.4270701224764,6187.909364492705,885.1437544236642,82.57913860666102,-10.548506221608077,22,0.2857142857142857,0.1968951815913284,0.39489842924400037
importance_weighted_source_cp,matr,hust,catboost,100,123,0.9,5,89,20,77,1.0,20.000000000000004,1.0000000000000002,11.247598966849093,0.5623799483424546,4.000000000000001,0.2,0.2,0.2,5.0,5.0,0.5555555555555556,0.5555555555555556,0.0,77,inf,inf,inf,inf,inf,885.1437544236642,82.57913860666102,-10.548506221608077,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,123,0.9,10,89,20,77,1.0,20.000000000000004,1.0000000000000002,11.247598966849093,0.5623799483424546,2.0000000000000004,0.1,0.1,0.1,10.0,10.0,0.8333333333333334,0.8333333333333334,0.0,77,inf,inf,inf,inf,inf,885.1437544236642,82.57913860666102,-10.548506221608077,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,123,0.9,20,89,20,77,1.0,20.000000000000004,1.0000000000000002,11.247598966849093,0.5623799483424546,1.0000000000000002,0.05,0.05,0.05,20.0,20.0,0.9523809523809523,0.9523809523809523,0.0,77,inf,inf,inf,inf,inf,885.1437544236642,82.57913860666102,-10.548506221608077,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,123,0.9,inf,89,20,77,1.0,11.247598966849093,0.5623799483424546,11.247598966849093,0.5623799483424546,0.2574894965869046,0.001006993606397911,0.009133458357101745,0.04250918271552383,190.55704548971883,4166.834511104176,0.9986505771344651,0.999938208828471,0.0,77,inf,inf,inf,inf,inf,885.1437544236642,82.57913860666102,-10.548506221608077,77,1.0,0.9524815747175658,0.9999999999999999
unweighted_source_cp,matr,hust,catboost,100,123,0.95,unweighted,89,20,77,,20.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.047619047619047616,1.0,0,817.8078961690737,1635.6157923381477,1635.6157923381475,1635.6157923381475,8047.320179073007,885.1437544236642,82.57913860666102,-10.548506221608077,29,0.37662337662337664,0.27670011608658907,0.48827196287920627
importance_weighted_source_cp,matr,hust,catboost,100,123,0.95,5,89,20,77,1.0,20.000000000000004,1.0000000000000002,11.247598966849093,0.5623799483424546,4.000000000000001,0.2,0.2,0.2,5.0,5.0,0.5555555555555556,0.5555555555555556,0.0,77,inf,inf,inf,inf,inf,885.1437544236642,82.57913860666102,-10.548506221608077,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,123,0.95,10,89,20,77,1.0,20.000000000000004,1.0000000000000002,11.247598966849093,0.5623799483424546,2.0000000000000004,0.1,0.1,0.1,10.0,10.0,0.8333333333333334,0.8333333333333334,0.0,77,inf,inf,inf,inf,inf,885.1437544236642,82.57913860666102,-10.548506221608077,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,123,0.95,20,89,20,77,1.0,20.000000000000004,1.0000000000000002,11.247598966849093,0.5623799483424546,1.0000000000000002,0.05,0.05,0.05,20.0,20.0,0.9523809523809523,0.9523809523809523,0.0,77,inf,inf,inf,inf,inf,885.1437544236642,82.57913860666102,-10.548506221608077,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,123,0.95,inf,89,20,77,1.0,11.247598966849093,0.5623799483424546,11.247598966849093,0.5623799483424546,0.2574894965869046,0.001006993606397911,0.009133458357101745,0.04250918271552383,190.55704548971883,4166.834511104176,0.9986505771344651,0.999938208828471,0.0,77,inf,inf,inf,inf,inf,885.1437544236642,82.57913860666102,-10.548506221608077,77,1.0,0.9524815747175658,0.9999999999999999
unweighted_source_cp,matr,hust,random_forest,100,123,0.9,unweighted,89,20,77,,20.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.047619047619047616,1.0,0,602.3391105452968,1204.6782210905933,1204.6782210905935,1204.6782210905935,8946.28731323187,978.0064544792366,95.78742513609397,-12.784395655328296,9,0.11688311688311688,0.06272562005649385,0.20745083567939715
importance_weighted_source_cp,matr,hust,random_forest,100,123,0.9,5,89,20,77,1.0,20.000000000000004,1.0000000000000002,11.247598966849093,0.5623799483424546,4.000000000000001,0.2,0.2,0.2,5.0,5.0,0.5555555555555556,0.5555555555555556,0.0,77,inf,inf,inf,inf,inf,978.0064544792366,95.78742513609397,-12.784395655328296,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,123,0.9,10,89,20,77,1.0,20.000000000000004,1.0000000000000002,11.247598966849093,0.5623799483424546,2.0000000000000004,0.1,0.1,0.1,10.0,10.0,0.8333333333333334,0.8333333333333334,0.0,77,inf,inf,inf,inf,inf,978.0064544792366,95.78742513609397,-12.784395655328296,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,123,0.9,20,89,20,77,1.0,20.000000000000004,1.0000000000000002,11.247598966849093,0.5623799483424546,1.0000000000000002,0.05,0.05,0.05,20.0,20.0,0.9523809523809523,0.9523809523809523,0.0,77,inf,inf,inf,inf,inf,978.0064544792366,95.78742513609397,-12.784395655328296,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,123,0.9,inf,89,20,77,1.0,11.247598966849093,0.5623799483424546,11.247598966849093,0.5623799483424546,0.2574894965869046,0.001006993606397911,0.009133458357101745,0.04250918271552383,190.55704548971883,4166.834511104176,0.9986505771344651,0.999938208828471,0.0,77,inf,inf,inf,inf,inf,978.0064544792366,95.78742513609397,-12.784395655328296,77,1.0,0.9524815747175658,0.9999999999999999
unweighted_source_cp,matr,hust,random_forest,100,123,0.95,unweighted,89,20,77,,20.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.047619047619047616,1.0,0,843.0438187206381,1686.0876374412765,1686.0876374412762,1686.0876374412762,9695.072605846988,978.0064544792366,95.78742513609397,-12.784395655328296,24,0.3116883116883117,0.21927281991691477,0.42200035324140445
importance_weighted_source_cp,matr,hust,random_forest,100,123,0.95,5,89,20,77,1.0,20.000000000000004,1.0000000000000002,11.247598966849093,0.5623799483424546,4.000000000000001,0.2,0.2,0.2,5.0,5.0,0.5555555555555556,0.5555555555555556,0.0,77,inf,inf,inf,inf,inf,978.0064544792366,95.78742513609397,-12.784395655328296,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,123,0.95,10,89,20,77,1.0,20.000000000000004,1.0000000000000002,11.247598966849093,0.5623799483424546,2.0000000000000004,0.1,0.1,0.1,10.0,10.0,0.8333333333333334,0.8333333333333334,0.0,77,inf,inf,inf,inf,inf,978.0064544792366,95.78742513609397,-12.784395655328296,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,123,0.95,20,89,20,77,1.0,20.000000000000004,1.0000000000000002,11.247598966849093,0.5623799483424546,1.0000000000000002,0.05,0.05,0.05,20.0,20.0,0.9523809523809523,0.9523809523809523,0.0,77,inf,inf,inf,inf,inf,978.0064544792366,95.78742513609397,-12.784395655328296,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,123,0.95,inf,89,20,77,1.0,11.247598966849093,0.5623799483424546,11.247598966849093,0.5623799483424546,0.2574894965869046,0.001006993606397911,0.009133458357101745,0.04250918271552383,190.55704548971883,4166.834511104176,0.9986505771344651,0.999938208828471,0.0,77,inf,inf,inf,inf,inf,978.0064544792366,95.78742513609397,-12.784395655328296,77,1.0,0.9524815747175658,0.9999999999999999
unweighted_source_cp,matr,hust,catboost,100,456,0.9,unweighted,89,20,77,,20.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.047619047619047616,1.0,0,351.826021801346,703.6520436026921,703.652043602692,703.652043602692,10155.128398083423,820.3546477658032,74.07071399917196,-9.061149649618295,2,0.025974025974025976,0.007152159807893181,0.08984582779753131
importance_weighted_source_cp,matr,hust,catboost,100,456,0.9,5,89,20,77,0.9844961240310077,20.000000000000004,1.0000000000000002,12.649420422605152,0.6324710211302575,4.000000000000001,0.2,0.2,0.2,5.0,5.0,0.5555555555555556,0.5555555555555556,0.0,77,inf,inf,inf,inf,inf,820.3546477658032,74.07071399917196,-9.061149649618295,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,456,0.9,10,89,20,77,0.9844961240310077,20.000000000000004,1.0000000000000002,12.649420422605152,0.6324710211302575,2.0000000000000004,0.1,0.1,0.1,10.0,10.0,0.8333333333333334,0.8333333333333334,0.0,77,inf,inf,inf,inf,inf,820.3546477658032,74.07071399917196,-9.061149649618295,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,456,0.9,20,89,20,77,0.9844961240310077,20.000000000000004,1.0000000000000002,12.649420422605152,0.6324710211302575,1.0000000000000002,0.05,0.05,0.05,20.0,20.0,0.9523809523809523,0.9523809523809523,0.0,77,inf,inf,inf,inf,inf,820.3546477658032,74.07071399917196,-9.061149649618295,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,456,0.9,inf,89,20,77,0.9844961240310077,12.649420422605152,0.6324710211302575,12.649420422605152,0.6324710211302575,0.19088595428553076,0.0007820218559222175,0.007727309738582187,0.0267637506964989,200.33394034121932,4003.774742334714,0.9990480682227135,0.9999523257759915,0.0,77,inf,inf,inf,inf,inf,820.3546477658032,74.07071399917196,-9.061149649618295,77,1.0,0.9524815747175658,0.9999999999999999
unweighted_source_cp,matr,hust,catboost,100,456,0.95,unweighted,89,20,77,,20.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.047619047619047616,1.0,0,354.18782853403934,708.3756570680788,708.3756570680787,708.3756570680787,19519.309921898606,820.3546477658032,74.07071399917196,-9.061149649618295,2,0.025974025974025976,0.007152159807893181,0.08984582779753131
importance_weighted_source_cp,matr,hust,catboost,100,456,0.95,5,89,20,77,0.9844961240310077,20.000000000000004,1.0000000000000002,12.649420422605152,0.6324710211302575,4.000000000000001,0.2,0.2,0.2,5.0,5.0,0.5555555555555556,0.5555555555555556,0.0,77,inf,inf,inf,inf,inf,820.3546477658032,74.07071399917196,-9.061149649618295,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,456,0.95,10,89,20,77,0.9844961240310077,20.000000000000004,1.0000000000000002,12.649420422605152,0.6324710211302575,2.0000000000000004,0.1,0.1,0.1,10.0,10.0,0.8333333333333334,0.8333333333333334,0.0,77,inf,inf,inf,inf,inf,820.3546477658032,74.07071399917196,-9.061149649618295,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,456,0.95,20,89,20,77,0.9844961240310077,20.000000000000004,1.0000000000000002,12.649420422605152,0.6324710211302575,1.0000000000000002,0.05,0.05,0.05,20.0,20.0,0.9523809523809523,0.9523809523809523,0.0,77,inf,inf,inf,inf,inf,820.3546477658032,74.07071399917196,-9.061149649618295,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,catboost,100,456,0.95,inf,89,20,77,0.9844961240310077,12.649420422605152,0.6324710211302575,12.649420422605152,0.6324710211302575,0.19088595428553076,0.0007820218559222175,0.007727309738582187,0.0267637506964989,200.33394034121932,4003.774742334714,0.9990480682227135,0.9999523257759915,0.0,77,inf,inf,inf,inf,inf,820.3546477658032,74.07071399917196,-9.061149649618295,77,1.0,0.9524815747175658,0.9999999999999999
unweighted_source_cp,matr,hust,random_forest,100,456,0.9,unweighted,89,20,77,,20.0,1.0,20.0,1.0,20.0,1.0,1.0,1.0,1.0,1.0,0.047619047619047616,0.047619047619047616,1.0,0,269.6774275557136,539.3548551114274,539.3548551114272,539.3548551114272,13633.875165650461,923.0466942902856,88.21279475189966,-11.59030225626119,1,0.012987012987012988,0.002296217297124044,0.06996198914680521
importance_weighted_source_cp,matr,hust,random_forest,100,456,0.9,5,89,20,77,0.9844961240310077,20.000000000000004,1.0000000000000002,12.649420422605152,0.6324710211302575,4.000000000000001,0.2,0.2,0.2,5.0,5.0,0.5555555555555556,0.5555555555555556,0.0,77,inf,inf,inf,inf,inf,923.0466942902856,88.21279475189966,-11.59030225626119,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,456,0.9,10,89,20,77,0.9844961240310077,20.000000000000004,1.0000000000000002,12.649420422605152,0.6324710211302575,2.0000000000000004,0.1,0.1,0.1,10.0,10.0,0.8333333333333334,0.8333333333333334,0.0,77,inf,inf,inf,inf,inf,923.0466942902856,88.21279475189966,-11.59030225626119,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,456,0.9,20,89,20,77,0.9844961240310077,20.000000000000004,1.0000000000000002,12.649420422605152,0.6324710211302575,1.0000000000000002,0.05,0.05,0.05,20.0,20.0,0.9523809523809523,0.9523809523809523,0.0,77,inf,inf,inf,inf,inf,923.0466942902856,88.21279475189966,-11.59030225626119,77,1.0,0.9524815747175658,0.9999999999999999
importance_weighted_source_cp,matr,hust,random_forest,100,456,0.9,inf,89,20,77,0.9844961240310077,12.649420422605152,0.6324710211302575,12.649420422605152,0.6324710211302575,0.19088595428553076,0.0007820218559222175,0.007727309738582187,0.0267637506964989,200.33394034121932,4003.774742334714,0.9990480682227135,0.9999523257759915,0.0,77,inf,inf,inf,inf,inf,923.0466942902856,88.21279475189966,-11.59030225626119,77,1.0,0.9524815747175658,0.9999999999999999
