scenario,source,target,model,n_cycles,confidence_level,clip,n_cycles_mean,n_cycles_std,confidence_level_mean,confidence_level_std,n_train_mean,n_train_std,n_calibration_mean,n_calibration_std,n_test_mean,n_test_std,discriminator_auc_mean,discriminator_auc_std,cal_weight_ess_mean,cal_weight_ess_std,cal_weight_ess_fraction_mean,cal_weight_ess_fraction_std,raw_cal_weight_ess_mean,raw_cal_weight_ess_std,raw_cal_weight_ess_fraction_mean,raw_cal_weight_ess_fraction_std,cal_weight_sum_mean,cal_weight_sum_std,cal_weight_min_mean,cal_weight_min_std,cal_weight_median_mean,cal_weight_median_std,cal_weight_max_mean,cal_weight_max_std,target_weight_median_mean,target_weight_median_std,target_weight_max_mean,target_weight_max_std,target_mass_fraction_median_mean,target_mass_fraction_median_std,target_mass_fraction_max_mean,target_mass_fraction_max_std,finite_interval_fraction_mean,finite_interval_fraction_std,n_infinite_intervals_mean,n_infinite_intervals_std,q_hat_median_mean,q_hat_median_std,mean_width_mean,mean_width_std,median_width_mean,median_width_std,median_finite_width_mean,median_finite_width_std,winkler_mean_mean,winkler_mean_std,MAE_mean,MAE_std,SMAPE_mean,SMAPE_std,R2_mean,R2_std,covered_count_mean,covered_count_std,coverage_mean,coverage_std,coverage_wilson95_lower_mean,coverage_wilson95_lower_std,coverage_wilson95_upper_mean,coverage_wilson95_upper_std
importance_weighted_source_cp,hust,matr,random_forest,100,0.9,5,100.0,0.0,0.9,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,11.999999999999998,0.0,0.9999999999999998,0.0,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,2.4000000000000004,0.0,0.2,0.0,0.2,0.0,0.2,0.0,5.0,0.0,5.0,0.0,0.6756756756756757,0.0,0.6756756756756757,0.0,0.009302325581395349,0.01010729055070178,127.8,1.3038404810405302,inf,,inf,,inf,,inf,,inf,,610.200982768889,58.553230398971,62.6360918427866,3.6704857957604586,-2.403228691422731,0.6110953394209804,128.0,1.0,0.9922480620155039,0.007751937984496138,0.958005611541332,0.012928989306938933,0.9980212277259273,0.0021580618589102166
importance_weighted_source_cp,hust,matr,random_forest,100,0.9,inf,100.0,0.0,0.9,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,0.08940401637092135,0.027702931137102225,0.0010816319495562784,0.0015319667371032689,0.005240410542164028,0.0013712963760980261,0.024107502508159122,0.005894117239872372,110.9355717132174,5.635323989546411,1522.2678032292715,314.82354258162553,0.9991893989840521,0.00026271301984450877,0.9999375619080103,2.5375575391686442e-05,0.004651162790697674,0.006933544116278417,128.4,0.8944271909999143,inf,,inf,,inf,,inf,,inf,,610.200982768889,58.553230398971,62.6360918427866,3.6704857957604586,-2.403228691422731,0.6110953394209804,128.6,0.5477225575051667,0.9968992248062015,0.00424591129848967,0.965608051969169,0.007496032433219425,0.9994521117636077,0.0007502268651592043
importance_weighted_source_cp,hust,matr,random_forest,100,0.95,10,100.0,0.0,0.95,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,11.999999999999998,0.0,0.9999999999999998,0.0,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,1.2000000000000002,0.0,0.1,0.0,0.1,0.0,0.1,0.0,10.0,0.0,10.0,0.0,0.8928571428571429,0.0,0.8928571428571429,0.0,0.0,0.0,129.0,0.0,inf,,inf,,inf,,inf,,inf,,610.200982768889,58.553230398971,62.6360918427866,3.6704857957604586,-2.403228691422731,0.6110953394209804,129.0,0.0,1.0,0.0,0.9710823800431218,0.0,0.9999999999999998,0.0
importance_weighted_source_cp,hust,matr,random_forest,100,0.95,20,100.0,0.0,0.95,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,11.999999999999998,0.0,0.9999999999999998,0.0,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,0.6000000000000001,0.0,0.05,0.0,0.05,0.0,0.05,0.0,20.0,0.0,20.0,0.0,0.9708737864077669,0.0,0.9708737864077669,0.0,0.0,0.0,129.0,0.0,inf,,inf,,inf,,inf,,inf,,610.200982768889,58.553230398971,62.6360918427866,3.6704857957604586,-2.403228691422731,0.6110953394209804,129.0,0.0,1.0,0.0,0.9710823800431218,0.0,0.9999999999999998,0.0
importance_weighted_source_cp,hust,matr,random_forest,100,0.95,5,100.0,0.0,0.95,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,11.999999999999998,0.0,0.9999999999999998,0.0,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,2.4000000000000004,0.0,0.2,0.0,0.2,0.0,0.2,0.0,5.0,0.0,5.0,0.0,0.6756756756756757,0.0,0.6756756756756757,0.0,0.0,0.0,129.0,0.0,inf,,inf,,inf,,inf,,inf,,610.200982768889,58.553230398971,62.6360918427866,3.6704857957604586,-2.403228691422731,0.6110953394209804,129.0,0.0,1.0,0.0,0.9710823800431218,0.0,0.9999999999999998,0.0
importance_weighted_source_cp,hust,matr,random_forest,100,0.95,inf,100.0,0.0,0.95,0.0,53.0,0.0,12.0,0.0,129.0,0.0,0.996113963555824,0.007064310286040347,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,6.619058172751792,1.2118514303889836,0.5515881810626493,0.10098761919908199,0.08940401637092135,0.027702931137102225,0.0010816319495562784,0.0015319667371032689,0.005240410542164028,0.0013712963760980261,0.024107502508159122,0.005894117239872372,110.9355717132174,5.635323989546411,1522.2678032292715,314.82354258162553,0.9991893989840521,0.00026271301984450877,0.9999375619080103,2.5375575391686442e-05,0.0031007751937984496,0.006933544116278417,128.6,0.8944271909999163,inf,,inf,,inf,,inf,,inf,,610.200982768889,58.553230398971,62.6360918427866,3.6704857957604586,-2.403228691422731,0.6110953394209804,128.8,0.44721359549995715,0.9984496124031008,0.0034667720581392117,0.9683452160061453,0.006120484852247017,0.9997260558818037,0.0006125576703226245
importance_weighted_source_cp,matr,hust,catboost,100,0.9,10,100.0,0.0,0.9,0.0,89.0,0.0,20.0,0.0,77.0,0.0,0.9936575052854122,0.008688391829413647,20.000000000000004,0.0,1.0000000000000002,0.0,11.814638213344498,2.9905829410326916,0.5907319106672249,0.1495291470516346,2.0000000000000004,0.0,0.1,0.0,0.1,0.0,0.1,0.0,10.0,0.0,10.0,0.0,0.8333333333333334,0.0,0.8333333333333334,0.0,0.0,0.0,77.0,0.0,inf,,inf,,inf,,inf,,inf,,861.0411623434178,40.41587569250853,79.4773510612705,5.318555013673753,-9.995302115770333,0.9039888761844793,77.0,0.0,1.0,0.0,0.9524815747175659,0.0,0.9999999999999998,0.0
importance_weighted_source_cp,matr,hust,catboost,100,0.9,20,100.0,0.0,0.9,0.0,89.0,0.0,20.0,0.0,77.0,0.0,0.9936575052854122,0.008688391829413647,19.94428808789179,0.12388479761373317,0.9972144043945894,0.00619423988068671,11.814638213344498,2.9905829410326916,0.5907319106672249,0.1495291470516346,1.006672234520018,0.013930786274428456,0.05,0.0,0.05,0.0,0.05596684787171744,0.012356305005268102,20.0,0.0,20.0,0.0,0.952078787492605,0.0006308237271295126,0.952078787492605,0.0006308237271295126,0.0,0.0,77.0,0.0,inf,,inf,,inf,,inf,,inf,,861.0411623434178,40.41587569250853,79.4773510612705,5.318555013673753,-9.995302115770333,0.9039888761844793,77.0,0.0,1.0,0.0,0.9524815747175659,0.0,0.9999999999999998,0.0
importance_weighted_source_cp,matr,hust,catboost,100,0.9,5,100.0,0.0,0.9,0.0,89.0,0.0,20.0,0.0,77.0,0.0,0.9936575052854122,0.008688391829413647,20.000000000000004,0.0,1.0000000000000002,0.0,11.814638213344498,2.9905829410326916,0.5907319106672249,0.1495291470516346,4.000000000000001,0.0,0.2,0.0,0.2,0.0,0.2,0.0,5.0,0.0,5.0,0.0,0.5555555555555556,0.0,0.5555555555555556,0.0,0.0,0.0,77.0,0.0,inf,,inf,,inf,,inf,,inf,,861.0411623434178,40.41587569250853,79.4773510612705,5.318555013673753,-9.995302115770333,0.9039888761844793,77.0,0.0,1.0,0.0,0.9524815747175659,0.0,0.9999999999999998,0.0
importance_weighted_source_cp,matr,hust,catboost,100,0.9,inf,100.0,0.0,0.9,0.0,89.0,0.0,20.0,0.0,77.0,0.0,0.9936575052854122,0.008688391829413647,11.814638213344498,2.9905829410326916,0.5907319106672249,0.1495291470516346,11.814638213344498,2.9905829410326916,0.5907319106672249,0.1495291470516346,0.23405386312637838,0.05218564928654992,0.0015951691822330984,0.0009189740869030092,0.008646341702931375,0.0006518984735354325,0.043259118416952916,0.023633490489971185,194.46073619444763,4.203841884201612,4535.315138360236,742.8363812748902,0.9987962293089456,0.00027683670366503404,0.9999469063446458,1.5123839908022634e-05,0.0,0.0,77.0,0.0,inf,,inf,,inf,,inf,,inf,,861.0411623434178,40.41587569250853,79.4773510612705,5.318555013673753,-9.995302115770333,0.9039888761844793,77.0,0.0,1.0,0.0,0.9524815747175659,0.0,0.9999999999999998,0.0
