pair,dataset_a,dataset_b,feature,n_cycles,n_a,n_b,mean_log_life_a,mean_log_life_b,log_life_offset_b_minus_a,life_ratio_b_over_a,slope_a,slope_b,delta_slope_b_minus_a,delta_slope_ci95_low,delta_slope_ci95_high,delta_slope_boot_p,delta_slope_fdr_bh,slope_shift_significant,shift_class
matr_vs_hust,matr,hust,Qdis_cycle10,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.06352737676901728,0.043213091352616265,-0.020314285416401012,-0.12735795897581068,0.17787609154079698,0.9333333333333333,0.9866666666666667,False,slope_stable
matr_vs_hust,matr,hust,mean_diff,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.1881026535846789,0.042405983807038826,-0.14569666977764006,-0.2439933623809287,-0.05948693772619243,0.02,0.04857142857142858,True,slope_shifted
matr_vs_hust,matr,hust,poly2_a,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.05600907314209633,0.04197005370959838,-0.014039019432497947,-0.06225304306233535,1.1148693672878283,0.9466666666666667,0.9866666666666667,False,slope_stable
matr_vs_hust,matr,hust,poly2_b,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.0035799366314801127,0.038242342184550124,0.034662405553070014,-0.25493502384487265,0.2838247323994364,0.54,0.8345454545454545,False,slope_stable
matr_vs_hust,matr,hust,poly2_c,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.0882884364234514,-0.03683188773315783,-0.12512032415660923,-1.6029704010464059,-0.046668401251071634,0.0033222591362126247,0.011295681063122924,True,slope_shifted
matr_vs_hust,matr,hust,exp_decay_k,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,-0.18618394109581496,-0.04193332437063146,0.1442506167251835,0.050694268909769885,0.2857408441535984,0.0033222591362126247,0.011295681063122924,True,slope_shifted
matr_vs_hust,matr,hust,cycle_to_99pct,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.18293673224073473,0.036255551971258265,-0.14668118026947646,-0.22714137583132318,-0.05728411366301389,0.0033222591362126247,0.011295681063122924,True,slope_shifted
matr_vs_hust,matr,hust,cycle_to_98pct,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.16751054968216256,0.06517755842999662,-0.10233299125216594,-0.22375075925150528,0.06659230198875839,0.28,0.56,False,slope_stable
matr_vs_hust,matr,hust,cycle_to_95pct,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.14700840160323556,0.0,-0.14700840160323556,-0.1519204607291276,0.0,0.66,0.8976000000000001,False,slope_stable
matr_vs_hust,matr,hust,slope_first_quarter,100,129,77,6.553559330862445,7.288424936301443,0.7348656054389977,2.085201733901205,0.037188591053921013,0.03970157731237434,0.00251298625845333,-0.13673512955271178,0.18623382303420807,0.94,0.9866666666666667,False,slope_stable
