source,target,direction,model,seed,n_target,pearson_log,spearman_cycle,r2_cycle,smape_cycle,additivity_rmse_log,sum_feature_contributions,decomposition_error
sandia,hust,sandia_to_hust,catboost,42,77,0.2551019233154734,0.2265147979989641,-2.4920165198192206,33.2198079945613,8.765677450025797e-16,0.25510192331547393,5.551115123125783e-16
sandia,luh,sandia_to_luh,catboost,42,106,0.9364809685433271,0.9137949717948154,0.5178508010000609,33.31852282916691,5.850947483355778e-16,0.9364809685433272,1.1102230246251565e-16
sandia,matr,sandia_to_matr,catboost,123,129,0.3527335386134939,0.1650482451830039,-2.7975154860230655,56.37134092654696,1.398879644934961e-15,0.3527335386134941,2.220446049250313e-16
sandia,hust,sandia_to_hust,catboost,123,77,0.2529855286358473,0.1367194431876839,-1.2934954566177952,23.522552999701652,1.3951845383317218e-15,0.25298552863584667,-6.106226635438361e-16
sandia,luh,sandia_to_luh,catboost,123,106,0.9474973277014902,0.9330081948749868,0.05354303028325713,52.32224357819898,9.45013270479456e-16,0.9474973277014902,0.0
sandia,matr,sandia_to_matr,catboost,456,129,0.34122905105258206,0.1523315700101417,-6.116454991192888,66.05617238617766,5.473982462226849e-16,0.3412290510525821,5.551115123125783e-17
sandia,hust,sandia_to_hust,catboost,456,77,0.18653366598650026,0.23539271705404027,-0.9023236139955886,20.992096474841777,5.725716533969065e-16,0.1865336659865005,2.498001805406602e-16
sandia,luh,sandia_to_luh,catboost,456,106,0.9199411016885124,0.9024554379749524,0.31588906078378387,37.8841060338987,5.456036660990826e-16,0.9199411016885126,2.220446049250313e-16
sandia,matr,sandia_to_matr,catboost,789,129,0.3270256516581211,0.15219891798338736,-1.225458230149552,46.923707514479744,1.1250984707317929e-15,0.32702565165812125,1.6653345369377348e-16
sandia,hust,sandia_to_hust,catboost,789,77,0.051196494578270524,-0.059506674291957,-3.4913209388483732,38.80594008626614,7.157145667461332e-16,0.051196494578271565,1.0408340855860843e-15
sandia,luh,sandia_to_luh,catboost,789,106,0.9503124093084895,0.9323129089637923,-0.06664389197789955,55.205540149781584,5.523816112727488e-16,0.9503124093084891,-3.3306690738754696e-16
sandia,matr,sandia_to_matr,catboost,1011,129,0.2746456167461982,0.13911933898929915,-4.402810938361734,62.027267805928865,9.983875665059545e-16,0.27464561674619786,-3.3306690738754696e-16
sandia,hust,sandia_to_hust,catboost,1011,77,0.16775656558761914,0.028274728885967798,-1.953528485786486,26.935983522554054,1.1179818925941315e-15,0.16775656558761795,-1.1934897514720433e-15
