source,target,direction,model,feature_group,contribution_mean,contribution_median,contribution_sd,sign_consistency,mean_abs_shap_log
hust,matr,hust_to_matr,catboost,variability_events,0.08625044860418989,0.08687367538495466,0.044429552956254434,1.0,0.06307540278185145
hust,matr,hust_to_matr,random_forest,capacity_level_retention,-0.02093243731657503,-0.02011961309534005,0.005545658999244985,1.0,0.015418411193345295
hust,matr,hust_to_matr,random_forest,curvature_acceleration,0.09266366233618231,0.11214722168564792,0.045075885568069775,1.0,0.0550226370955315
hust,matr,hust_to_matr,random_forest,spectral_entropy,0.0058370340825318915,0.005381626586710066,0.008581926823599264,0.8,0.009834613663986719
hust,matr,hust_to_matr,random_forest,trend_decay_timing,0.22839140822306364,0.21471877763785577,0.07380849114627225,1.0,0.058306273004138445
hust,matr,hust_to_matr,random_forest,variability_events,0.06879962215153523,0.06353656790053457,0.019007673505830474,1.0,0.0405635199571094
hust,sandia,hust_to_sandia,catboost,capacity_level_retention,0.010115832131242841,0.03988173398175526,0.11257520480183043,0.6,0.040637607509840086
hust,sandia,hust_to_sandia,catboost,curvature_acceleration,0.06270623053535994,0.07008811256689296,0.04951893979451916,1.0,0.07474913192910373
hust,sandia,hust_to_sandia,catboost,spectral_entropy,0.10379128616879388,0.10039714428092042,0.07980698824577852,0.8,0.029852609107055096
hust,sandia,hust_to_sandia,catboost,trend_decay_timing,0.2811343568909361,0.31868162071297546,0.09906953070006283,1.0,0.09546495589523477
hust,sandia,hust_to_sandia,catboost,variability_events,0.06902480033459904,0.1035250494651708,0.09489519041275574,0.8,0.10209933147402839
hust,sandia,hust_to_sandia,random_forest,capacity_level_retention,0.026381968412636153,0.019404170099571405,0.014054586190380794,1.0,0.03173047241202742
hust,sandia,hust_to_sandia,random_forest,curvature_acceleration,0.14949121070662755,0.20178213809355694,0.09426446047670238,1.0,0.08155217165559163
hust,sandia,hust_to_sandia,random_forest,spectral_entropy,0.019693987848968454,0.03490570648295645,0.031189695198255558,0.8,0.014607592970470571
hust,sandia,hust_to_sandia,random_forest,trend_decay_timing,0.20122731810405625,0.14951597241532433,0.09692737619061227,1.0,0.09214828617967342
hust,sandia,hust_to_sandia,random_forest,variability_events,0.037248092764892465,0.028802036281764583,0.022897387571472177,1.0,0.04730888367029999
luh,hust,luh_to_hust,catboost,capacity_level_retention,0.00015658549348088608,-0.008295587701953846,0.01273709356901537,0.6,0.30150147783502457
luh,hust,luh_to_hust,catboost,curvature_acceleration,-0.10694240206833375,-0.09078615747873388,0.04999176880814403,1.0,0.22092174307230222
luh,hust,luh_to_hust,catboost,spectral_entropy,-0.06488042985667296,-0.06072256803316063,0.03329579789459593,1.0,0.0638081662204605
luh,hust,luh_to_hust,catboost,trend_decay_timing,0.03654442059839297,0.020846724464257324,0.033324637675535625,1.0,0.4180712690857809
luh,hust,luh_to_hust,catboost,variability_events,-0.036304503724889865,0.0013089615857155832,0.06324984861335493,0.6,0.3391192002554483
luh,hust,luh_to_hust,random_forest,capacity_level_retention,0.0077548303147219,0.0028785085056973036,0.01381078764626562,0.8,0.1955425364762236
luh,hust,luh_to_hust,random_forest,curvature_acceleration,-0.07482312363145872,-0.06663783782830245,0.0416665801719317,1.0,0.15438771991968125
luh,hust,luh_to_hust,random_forest,spectral_entropy,-0.03694907475750482,-0.028408471569755483,0.025408124745842173,1.0,0.012640662042630623
luh,hust,luh_to_hust,random_forest,trend_decay_timing,0.09176619565274188,0.1203736022963999,0.1186943929618472,0.6,0.3935403613353668
luh,hust,luh_to_hust,random_forest,variability_events,0.02425925208360151,-0.003275233690981729,0.07968633174401647,0.6,0.44989793377763226
luh,matr,luh_to_matr,catboost,capacity_level_retention,0.029747508243708854,0.02097488605861573,0.026712004624286044,0.8,0.2936646735261305
luh,matr,luh_to_matr,catboost,curvature_acceleration,0.048838186914306636,0.04502331265748523,0.022879283995752064,1.0,0.18385755614443092
luh,matr,luh_to_matr,catboost,spectral_entropy,0.05499520283145841,0.060794034375948255,0.015955312514324294,1.0,0.06489849606348749
luh,matr,luh_to_matr,catboost,trend_decay_timing,0.15375217962566362,0.14892911067528888,0.017105523118486267,1.0,0.40524064464003307
luh,matr,luh_to_matr,catboost,variability_events,0.03751802249933637,0.041905494101789786,0.02822955970868919,1.0,0.3583173011529475
luh,matr,luh_to_matr,random_forest,capacity_level_retention,0.02334498174077868,0.0222307707925663,0.003757113979310972,1.0,0.19474260979678454
