source,target,direction,direction_label,pair,feature,source_slope,target_slope,delta_slope_target_minus_source,delta_slope_fdr_bh,slope_shift_significant,conditional_shift_class,log_life_offset_target_minus_source,life_ratio_target_over_source,source_shap_model,mean_abs_shap_log_cycles_mean,mean_abs_shap_log_cycles_std,relative_importance_mean,relative_importance_std,rank_mean,rank_std,top5_rate,top10_rate,source_within_MAE,source_within_SMAPE,source_within_R2,n_seed_runs,abs_mean_shift_z,spearman_source,spearman_target,spearman_abs_delta,spearman_sign_agree,transfer_stability_score,stability_class,adapted_cross_R2_mean,relative_importance_pct,source_importance_rank_in_direction,is_top10_source_shap,is_top5_source_shap,is_slope_shifted
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,delta_Qdis,0.9168686855803524,0.0424059838070416,-0.8744627017733109,0.0049111656796186,True,slope_shifted,1.3980385319726762,4.047253617568028,xgboost,0.0083420588518492,0.0100213846459098,0.0063144773244857,0.0074610930007452,17.0,7.842193570679061,0.0,0.4,135.73362505810186,25.361339133186764,0.925789081268821,5,3.1199789861479528,0.5727938542896848,0.0788295837704586,0.4939642705192261,True,0.5651462068475946,scale_shift_fragile,-8.425419743852995,0.63144773244857,20,False,False,True
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,Qdis_cycle10,0.4742191391021255,0.0432130913526162,-0.4310060477495093,0.0049111656796186,True,slope_shifted,1.3980385319726762,4.047253617568028,xgboost,0.005313900206238,0.0063858136503669,0.0042631906457245,0.005033550079825,20.2,8.899438184514796,0.0,0.0,135.73362505810186,25.361339133186764,0.925789081268821,5,2.5989871240304683,0.3228238692492044,0.0717445169616746,0.2510793522875297,True,0.0229010861196799,weak_or_mixed,-0.1357917770786243,0.42631906457245,21,False,False,True
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,poly2_a,-0.1621990483068817,0.0419700537095983,0.2041691020164801,0.5742222222222222,False,slope_stable,1.3980385319726762,4.047253617568028,xgboost,0.0048683736240491,0.0053704005728228,0.0038725649588741,0.0041397168686768,19.2,5.495452665613635,0.0,0.0,135.73362505810186,25.361339133186764,0.925789081268821,5,0.8833171455751982,0.110983048103523,0.146499201454354,0.035516153350831,True,0.3497443514883047,weak_or_mixed,-0.058859860215068,0.38725649588741,22,False,False,False
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,std_diff,-0.4575325279575998,0.0631523192371853,0.5206848471947852,0.0049111656796186,True,slope_shifted,1.3980385319726762,4.047253617568028,xgboost,0.0048862855008337,0.0058248159611114,0.0037028880498837,0.0043460383252785,20.8,8.526429498916883,0.0,0.0,135.73362505810186,25.361339133186764,0.925789081268821,5,0.8425142974009541,-0.5743648876322524,0.2611353195237503,0.8355002071560027,False,-0.5441272481881445,relationship_unstable,-0.08768812079756,0.37028880498837,23,False,False,True
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,poly2_b,0.5940624160909542,0.0382423421845501,-0.5558200739064041,0.0049111656796186,True,slope_shifted,1.3980385319726762,4.047253617568028,xgboost,0.0032268619863316,0.0033198324437464,0.0026261331746354,0.0028276845834993,20.2,5.540758070878027,0.0,0.0,135.73362505810186,25.361339133186764,0.925789081268821,5,1.8146352839059796,0.3761705823430964,0.0499503782437456,0.3262202040993507,True,0.1630826715143037,weak_or_mixed,-0.2282168164655883,0.26261331746354,24,False,False,True
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,knee_cycle,-0.4385542967481474,-0.0044156470507734,0.4341386496973739,0.0049111656796186,True,slope_shifted,1.3980385319726762,4.047253617568028,xgboost,0.0022502335836179,0.0019473494422026,0.0018086801515892,0.0014831331823293,20.8,3.5637059362410923,0.0,0.0,135.73362505810186,25.361339133186764,0.925789081268821,5,0.2294966866925092,-0.2024531544281057,-0.0850996023275905,0.1173535521005151,True,0.406898720945866,weak_or_mixed,-0.1048702392530674,0.18086801515892,25,False,False,True
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,pos_neg_diff_ratio,-0.1576170039405691,0.0306046365730053,0.1882216405135745,0.3076190476190476,False,slope_stable,1.3980385319726762,4.047253617568028,xgboost,0.0018951485413708,0.0015041882756247,0.0015529778444033,0.0011460411810404,21.2,4.08656334834051,0.0,0.0,135.73362505810186,25.361339133186764,0.925789081268821,5,2.9356710484924253,-0.1764161336112175,0.109797044929618,0.2862131785408356,False,-0.5834572465442815,relationship_unstable,-0.0772878124160519,0.15529778444033,26,False,False,False
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,n_capacity_jumps,-0.3576324093012855,0.0,0.3576324093012855,0.0049111656796186,True,slope_shifted,1.3980385319726762,4.047253617568028,xgboost,0.0012740104924887,0.0024403382425159,0.0011082007200457,0.0021081576281646,24.8,7.463243262818116,0.0,0.0,135.73362505810186,25.361339133186764,0.925789081268821,5,0.5038419595496926,-0.324449586736536,,,False,,relationship_unstable,-0.0767265792171853,0.11082007200457,27,False,False,True
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,cycle_to_95pct,0.7844825532700408,0.0,-0.7844825532700408,0.0049111656796186,True,slope_shifted,1.3980385319726762,4.047253617568028,xgboost,0.0012923274189233,0.0028897319578995,0.0009436349384486,0.002110031868315,26.8,8.19756061276768,0.0,0.0,135.73362505810186,25.361339133186764,0.925789081268821,5,2.3777057310583576,0.4519005635004873,,,False,,relationship_unstable,-0.0884613038721817,0.09436349384486001,28,False,False,True
sandia,hust,sandia_to_hust,Sandia -> HUST,hust_vs_sandia,accel_std,-0.4186004055808702,0.0532132796878479,0.4718136852687181,0.0049111656796186,True,slope_shifted,1.3980385319726762,4.047253617568028,xgboost,0.0005209452472627,0.0007479185608502,0.0004404252627864,0.000628441685543,26.4,3.361547262794322,0.0,0.0,135.73362505810186,25.361339133186764,0.925789081268821,5,0.7266438601202566,-0.5295586635385323,0.2524597275129945,0.7820183910515268,False,-0.5000057745438019,relationship_unstable,-0.0678453949121527,0.04404252627864,29,False,False,True
