experiment,feature,n_cycles,source,target,seed,repeat,k_target,residual_shift,MAE,SMAPE,R2
within_univariate,n_capacity_jumps,100,matr,matr,456,,0,,284.05811944722814,37.262588479816486,-0.04336067643047503
within_univariate,accel_mean,100,matr,matr,456,,0,,244.02419854566088,31.93571343367895,0.12781655204480546
within_univariate,accel_std,100,matr,matr,456,,0,,285.1064207123445,37.4082154210513,-0.044195180271178636
within_univariate,accel_max_abs,100,matr,matr,456,,0,,347.59783286310585,41.95439425207013,-0.6295783720082853
within_univariate,linearity_r2,100,matr,matr,456,,0,,281.12204754665015,37.31004125817957,-0.020749374602909043
within_univariate,kurtosis_Qdis,100,matr,matr,456,,0,,337.59657143523566,41.56699923127453,-0.4863962138519997
within_univariate,fft_top3_energy_ratio,100,matr,matr,456,,0,,344.72353038848894,43.34722423758278,-0.4293282928396933
within_univariate,spectral_entropy,100,matr,matr,456,,0,,329.3206042583069,42.58535769313537,-0.26190145160731104
within_univariate,sample_entropy,100,matr,matr,456,,0,,283.3940565814327,37.13508297039537,-0.04237837421910484
within_univariate,pos_neg_diff_ratio,100,matr,matr,456,,0,,284.0094151158305,37.25644371793885,-0.043283513418544306
within_univariate,mad_Qdis,100,matr,matr,456,,0,,246.68889968915173,36.261170513873324,0.15224390202390503
within_univariate,Qdis_N,100,matr,matr,789,,0,,212.85392205639923,33.130031596914435,0.17479417169514266
within_univariate,delta_Qdis,100,matr,matr,789,,0,,214.1442332648663,31.567953917527586,0.1598495310190795
within_univariate,retention_ratio,100,matr,matr,789,,0,,214.13649397338855,31.554764178961204,0.1598144119390128
within_univariate,slope_linear,100,matr,matr,789,,0,,204.19005100426398,30.051285858485162,0.23692741954090102
within_univariate,variance_Qdis,100,matr,matr,789,,0,,239.19620778640905,36.25685463927105,-0.00010062132890142905
within_univariate,range_Qdis,100,matr,matr,789,,0,,239.20029210823373,36.257333527897714,-0.0001366912069447057
within_univariate,max_drop,100,matr,matr,789,,0,,239.19759914665332,36.257094531371465,-0.00010504688705847975
within_univariate,std_diff,100,matr,matr,789,,0,,239.19794641883232,36.25713731949229,-0.00010745650522103745
within_univariate,skewness_Qdis,100,matr,matr,789,,0,,239.1874316499303,36.2553967689567,5.891321636097846e-05
within_univariate,slope_ratio,100,matr,matr,789,,0,,239.16050154589902,36.25249145771183,0.00023238005645143112
within_univariate,Qdis_cycle10,100,matr,matr,789,,0,,239.5063660214333,36.283454323391275,-0.003147167970672493
within_univariate,mean_diff,100,matr,matr,789,,0,,214.1442332722895,31.567953920937907,0.15984953097462018
within_univariate,poly2_a,100,matr,matr,789,,0,,239.22459083081304,36.25989179376056,-0.00036373143635359817
within_univariate,poly2_b,100,matr,matr,789,,0,,240.3643763098862,36.34615879037179,-0.013286443956438632
within_univariate,poly2_c,100,matr,matr,789,,0,,237.37569204740038,36.07362098189158,0.022100004888411573
within_univariate,exp_decay_k,100,matr,matr,789,,0,,203.54484645684357,29.727625322679952,0.23811864206028766
within_univariate,cycle_to_99pct,100,matr,matr,789,,0,,203.55518849812714,30.521457597780817,0.2767883044930163
within_univariate,cycle_to_98pct,100,matr,matr,789,,0,,210.38069101849322,30.198471252722182,0.20881347039814024
within_univariate,cycle_to_95pct,100,matr,matr,789,,0,,239.19654563364057,36.25689630125098,-0.00010334063302264163
