source,target,direction,feature,n_cycles,abs_mean_shift_z,abs_mean_shift_z_raw_table,spearman_source,spearman_target,spearman_abs_delta,spearman_sign_agree,within_R2_mean,within_MAE_mean,raw_cross_R2_mean,raw_cross_MAE_mean,adapted_cross_R2_mean,adapted_cross_MAE_mean,adapted_cross_SMAPE_mean,adapted_residual_shift_mean,n_within_runs,n_cross_raw_runs,n_cross_adapted_runs,transfer_stability_score,stability_class
hust,sandia,hust_to_sandia,Qdis_cycle10,100,2.5989871240304683,2.7790850653569623,0.07174451696167469,0.3228238692492044,0.25107935228752976,True,-0.04681975663108284,232.6380216181115,-0.09299727840755176,1071.219076784097,-0.01187169422306285,806.0653569874052,102.56408262931251,-453.565614766495,5,5,100,-0.015387744748335097,weak_or_mixed
hust,sandia,hust_to_sandia,poly2_c,100,1.0507045927488856,0.940545819371517,0.013289429580112333,-0.01339864579008348,0.026688075370195814,False,-0.07976259490897501,237.28070055556904,-0.2471703491025603,1158.3578097046714,-0.061607356530585536,832.2011611087248,104.27070693988108,-576.0307194913937,5,5,100,-0.17094972659743074,relationship_unstable
hust,sandia,hust_to_sandia,accel_max_abs,100,0.8015613844484502,0.8138374058217603,0.04290474594410154,-0.5782067932351437,0.6211115391792452,False,-0.026988051742432396,229.4655479112855,-0.44032111754157677,1269.8656630328537,-0.1011060894000451,858.64305823266,107.2384618615181,-719.083458121183,5,5,100,-0.4307899772568901,relationship_unstable
hust,sandia,hust_to_sandia,slope_last_quarter,100,0.442958050949681,0.5095964531274538,-0.03947394364893901,0.7175238951599902,0.7569978388089291,False,-0.048460310551617036,232.06239453772636,-3419916926.1477976,4001211.3891059505,-3558988140.791499,4000863.6475902516,112.78517955262792,-4000667.0777667705,5,5,100,-0.4449426270469167,relationship_unstable
hust,sandia,hust_to_sandia,cycle_to_99pct,100,5.3275820321341865,5.3275820321341865,0.10240870529870201,0.49348874790679625,0.39108004260809426,True,-0.022054475140786158,229.77399058787196,-0.3305342114501069,1202.5614531724957,-0.0917344297605771,850.9037095638591,105.97193899138878,-632.3971243605372,5,5,100,-0.44554002130404713,scale_shift_fragile
hust,sandia,hust_to_sandia,fft_top3_energy_ratio,100,1.0355785379423688,1.0355785379423688,0.03806744615628617,-0.5705710058493972,0.6086384520056835,False,-0.029089966731630446,230.32975694768257,-0.4166132234712025,1257.2661450569942,-0.15727254868846807,877.4911292735123,111.60799468341749,-629.0812234382739,5,5,100,-0.45965600669419704,relationship_unstable
hust,sandia,hust_to_sandia,max_drop,100,1.0339330181621855,1.0213671144519407,0.048110101150555036,-0.5703789105692526,0.6184890117198076,False,-0.028946442870437218,229.89582291586794,-1.235494283861406,1462.1629190858207,-0.6317001564497647,958.3438695810536,111.34096283797015,-912.2673983292188,5,5,100,-0.4643344585842316,relationship_unstable
hust,sandia,hust_to_sandia,spectral_entropy,100,0.977140403922548,0.977140403922548,-0.07107413030629811,0.5826730084985049,0.6537471388048031,False,-0.025846064407663617,229.82847680219396,-0.41432516683301834,1256.178618272244,-0.1375582880364762,865.4197043697648,106.76593413060051,-704.4979236409048,5,5,100,-0.47344462999078374,relationship_unstable
hust,sandia,hust_to_sandia,accel_std,100,0.7266438601202566,0.786236391330689,0.25245972751299456,-0.5295586635385323,0.7820183910515268,False,-0.04925708023233677,248.90133128073995,-12365958946.533016,17943641.174328633,-12087531070.853914,17755680.049802862,194.8488646281104,-16964974.41509536,5,5,100,-0.5000057745438019,relationship_unstable
hust,sandia,hust_to_sandia,std_diff,100,0.8425142974009541,0.9032515678039347,0.26113531952375035,-0.5743648876322524,0.8355002071560027,False,-0.05229780044390429,247.247689476174,-17425506822.790565,22336488.085404646,-18283320817.57522,22808861.025175586,197.59027296926195,-20706494.839495882,5,5,100,-0.5441272481881445,relationship_unstable
hust,sandia,hust_to_sandia,pos_neg_diff_ratio,100,2.9356710484924253,2.9356710484924253,0.10979704492961807,-0.17641613361121752,0.2862131785408356,False,-0.08995049597280173,239.62098178215928,-0.34025901670849884,1216.3848757176377,-0.0930009591227183,853.1334894644932,107.10948815110103,-627.6913981563534,5,5,100,-0.5834572465442815,relationship_unstable
hust,sandia,hust_to_sandia,range_Qdis,100,2.3711349666843002,2.4501239384291233,0.13098829452603306,-0.688949722238486,0.8199380167645192,False,-0.03511566820518928,230.0960785211003,-0.998467700562867,1427.4937838083501,-0.35916189189462633,928.5138966051339,112.46741857241439,-850.0428746116414,5,5,100,-0.7656392533849046,relationship_unstable
hust,sandia,hust_to_sandia,cycle_to_95pct,100,2.3777057310583576,2.3777057310583576,,0.4519005635004873,,False,-0.026925705745010787,229.43052633076172,-0.41944127010228305,1260.5179492014174,-0.10400546097003982,860.9520666666665,107.96253141783258,-691.7992486690293,5,5,100,,relationship_unstable
hust,sandia,hust_to_sandia,n_capacity_jumps,100,0.5038419595496926,0.5038419595496926,,-0.32444958673653607,,False,-0.026925705745010787,229.43052633076172,-0.41944127010228305,1260.5179492014174,-0.0842432808490827,852.5122666666665,108.40977045204525,-689.6537486690295,5,5,100,,relationship_unstable
luh,hust,luh_to_hust,knee_cycle,100,0.22153681678268583,0.22153681678268583,-0.13467657801374902,-0.08509960232759053,0.049576975686158486,True,-0.1687547656523362,306.8811074485126,-15.362266934269627,1074.2834474222682,-0.08509774702567519,234.36159876822353,15.9981435229606,1075.0980511035305,5,5,100,0.4419809896395179,weak_or_mixed
luh,hust,luh_to_hust,Qdis_N,100,1.9090620449556899,12.618550341632501,0.925875450630646,0.10435685602028864,0.8215185946103574,True,0.6222268543009226,160.41672869983617,-1.1025464359465775,306.4248217955679,-0.36482443333275905,258.57189840073596,17.35631713436675,253.887601623967,5,5,100,0.4251082502523905,weak_or_mixed
luh,hust,luh_to_hust,slope_linear,100,1.777117341348478,1.8600748327728545,0.9310597606616027,0.12161602618714076,0.8094437344744619,True,0.595131830774215,166.04954929563036,-1.9942662272202143,394.40480399628797,-0.10814895449485354,239.511339670299,16.253413064143757,384.53140948568665,5,5,100,0.42384236233471234,weak_or_mixed
luh,hust,luh_to_hust,exp_decay_k,100,1.6855015324626899,1.6855015324626899,-0.9303141067407266,-0.12161602618714076,0.8086980805535858,True,0.5788257936405832,170.5590193821235,-2.730882726668944,455.5654261294741,-0.07224883335971294,237.83085861547264,16.177504948478962,447.639233025143,5,5,100,0.4216515234943868,weak_or_mixed
luh,hust,luh_to_hust,delta_Qdis,100,1.9287925110894846,1.990678725511506,0.9238853607742535,0.07882958377045862,0.845055777003795,True,0.6329420321264696,158.70450740804088,-0.9424723818934776,291.56854582150874,-0.44255888022892664,263.38901846194204,17.634497402048705,205.7945830612679,5,5,100,0.4210952669611494,weak_or_mixed
luh,hust,luh_to_hust,mean_diff,100,1.928792511089415,1.9906787255114746,0.9238853607742535,0.07882958377045862,0.845055777003795,True,0.6329420321264416,158.704507408045,-0.9424723818934609,291.5685458214928,-0.4403909749576789,263.62425302469967,17.691750248658025,206.37862640371813,5,5,100,0.42109526696113186,weak_or_mixed
luh,hust,luh_to_hust,retention_ratio,100,1.931390658866338,1.931390658866338,0.9238853607742535,0.07756767947798504,0.8463176812962685,True,0.6329617041131586,158.69421981276082,-0.9364638634234261,291.18804846504673,-0.48960577969544444,266.60332453194866,17.890565529913484,202.33436602885246,5,5,100,0.4200942646350736,weak_or_mixed
luh,hust,luh_to_hust,mad_Qdis,100,1.5106125873638117,1.6376625157298716,-0.9215476349682634,-0.1264007466294364,0.7951468883388271,True,0.540224351855752,186.02475423215216,-4.377814536820405,574.9665792447788,-0.056233685254860125,232.24159300501685,15.837844442473454,571.6337724375427,5,5,100,0.4160590195817666,weak_or_mixed
luh,hust,luh_to_hust,Qdis_cycle10,100,2.491206277207383,101.27385854885485,0.8274390566706548,0.07174451696167469,0.75569453970898,True,0.643406423173565,150.30969678970854,-227.1004183349311,2884.2584415599076,-95.34540345744269,2278.36842694531,151.07660580100068,-2666.974038626868,5,5,100,0.39187821173796755,weak_or_mixed
luh,hust,luh_to_hust,slope_first_quarter,100,2.6287813708305294,2.766577427270439,0.8371023284290365,0.04611208602080521,0.7909902424082313,True,0.6510654299119641,147.1691879911592,-49.80528410948145,1425.8304770195732,-27.289984623787237,1326.2398640752342,112.12148666450375,-1334.082828803441,5,5,100,0.3612531030832692,weak_or_mixed
luh,hust,luh_to_hust,poly2_b,100,2.5572791379906477,2.630996573177468,0.858932858423337,0.049950378243745666,0.8089824801795913,True,0.6187385386191888,164.12226524128675,-11.139761156401246,728.704162944248,-7.568071807399959,676.0608331868981,46.69746874382254,-548.1073149207853,5,5,100,0.33065542783079604,weak_or_mixed
luh,hust,luh_to_hust,variance_Qdis,100,0.8033208124403617,0.814641567438129,-0.9306869337011646,-0.13505004896743236,0.7956368847337323,True,0.3235678480426637,234.80063417716528,-10.730700954802382,897.9465442342565,-0.058232826483037646,232.14622230524907,15.839995979539246,896.0245247582773,5,5,100,0.3052512838097433,stable_candidate
luh,hust,luh_to_hust,kurtosis_Qdis,100,1.2929044901748787,1.2929044901748787,0.28805417075793543,0.2963503361855911,0.008296165427655655,True,-0.1414778789279585,316.5411827629694,-128793188.80307075,808948.001287038,-119353795.52034979,638241.0786539454,199.0665840038046,-724772.9764192359,5,5,100,0.30191624375994036,weak_or_mixed
luh,hust,luh_to_hust,slope_ratio,100,1.136196874886621,1.136196874886621,-0.21527734043998714,-0.3576578530615989,0.14238051262161178,True,-0.03240647991016936,306.3535896000282,-353.78015326581,1328.3636313067607,-387.40424258025814,1434.2133994619446,76.92238371545984,-69.32299431599213,5,5,100,0.258380212456201,weak_or_mixed
