experiment,feature,n_cycles,source,target,seed,repeat,k_target,residual_shift,MAE,SMAPE,R2
cross_univariate_residual_mean,slope_linear,100,matr,hust,789,14.0,20,829.658047748491,240.94371583836966,16.625276836687856,-0.00993967322839695
cross_univariate_residual_mean,slope_linear,100,matr,hust,789,15.0,20,703.8831543139112,246.70704861440257,16.663930874991237,-0.20452285519033087
cross_univariate_residual_mean,slope_linear,100,matr,hust,789,16.0,20,801.4180743487423,232.23035099358466,15.993669864590029,0.02432825163802199
cross_univariate_residual_mean,slope_linear,100,matr,hust,789,17.0,20,959.7425515102328,276.09078474886246,19.014820818989158,-0.5546233186396736
cross_univariate_residual_mean,slope_linear,100,matr,hust,789,18.0,20,748.1578992581774,243.37710310831727,16.281473437313444,-0.09828324775662844
cross_univariate_residual_mean,slope_linear,100,matr,hust,789,19.0,20,909.2334829319709,254.4115555809723,17.377592362787528,-0.32978018339547854
within_univariate,variance_Qdis,100,matr,matr,789,,0,,239.1962114683326,36.25685513471187,-0.00010064573783252762
cross_univariate_raw,variance_Qdis,100,matr,hust,789,,0,,776.0225271866132,68.34901967202126,-8.015132752146409
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,0.0,20,696.8140785027545,239.42193162670847,16.14782433446962,-0.14967373093844905
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,1.0,20,792.1140875809473,231.3447327702464,15.859959250978415,-0.005934407636336125
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,2.0,20,761.4140779931091,226.07806874344067,15.380142113822853,-0.0052346173620121395
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,3.0,20,789.3640893065614,212.5736817793996,14.443463089971969,-0.005057218908270933
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,4.0,20,767.6140769591821,230.55350685521495,15.733074302785027,-0.0016580035407276483
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,5.0,20,728.3640877675871,233.98420658665316,15.884767625851248,-0.05644314441048981
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,6.0,20,791.3640835081278,229.66841618489266,15.771973656222224,-0.0055340065468079125
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,7.0,20,730.2140813712228,213.99561211635591,14.55028923375965,-0.0594886509490562
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,8.0,20,845.214093064189,214.89911873875107,14.952774433338098,-0.1335285888855713
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,9.0,20,804.2640904542868,246.3473637910193,16.928678413512944,-0.016848098615106943
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,10.0,20,769.0140879135704,230.74122486354457,15.81559491656418,-0.0011392072095361971
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,11.0,20,746.2640846351221,231.18947143414576,15.770918266357192,-0.020491164248348293
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,12.0,20,796.0140834265261,212.49736451605327,14.595808895678065,-0.010829111493575239
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,13.0,20,802.3640783178168,234.37367833262144,16.014249322797415,-0.015896053273930066
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,14.0,20,780.4640841433595,227.78947129096164,15.65285490079178,-0.00046807850025420983
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,15.0,20,744.9140916119856,217.767544673032,14.653495928470845,-0.026331017560320635
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,16.0,20,815.4640864409251,247.98245724345804,17.025340839204954,-0.03301030847651498
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,17.0,20,738.4140805166893,233.18333159918885,15.88777612726488,-0.03357036362942312
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,18.0,20,921.3640858461089,277.6157867107674,19.10177900625227,-0.5222392208756572
cross_univariate_residual_mean,variance_Qdis,100,matr,hust,789,19.0,20,731.7640913574584,231.17368242154873,15.554200036724234,-0.04863188983400457
within_univariate,range_Qdis,100,matr,matr,789,,0,,239.20032827661885,36.257337441955464,-0.0001370636440860551
cross_univariate_raw,range_Qdis,100,matr,hust,789,,0,,776.0294236185028,68.34986668211145,-8.015274914041917
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,0.0,20,704.8710439222157,249.24198283230345,16.870154572937935,-0.11446593111900216
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,1.0,20,749.1713748547182,236.35958420257904,16.08004876840709,-0.016852050964806686
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,2.0,20,800.8213493771407,244.2115844826216,16.692411785233137,-0.013437293312967835
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,3.0,20,785.0708290083988,251.44915510973593,17.241863113945683,-0.001724012256390406
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,4.0,20,814.0205531495887,214.70251406445973,14.61789590938711,-0.04124984018726585
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,5.0,20,870.0205581356507,259.02554104379175,17.882146528640728,-0.19433053308857873
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,6.0,20,765.9708879320365,219.8682317468949,14.850207518500817,-0.002637771543295475
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,7.0,20,847.270602939745,231.12972054803535,16.018595722522072,-0.12828840311464185
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,8.0,20,713.6710273283721,243.83848303713367,16.425453969659465,-0.08929176932576444
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,9.0,20,697.0209000736529,239.34623971839312,15.961641527836774,-0.15862012278548088
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,10.0,20,838.0708076465638,241.56489613628966,16.655426685799153,-0.0931761916815177
cross_univariate_residual_mean,range_Qdis,100,matr,hust,789,11.0,20,759.6712137023109,215.25611484604818,14.627123678869266,-0.007123321066504262
