source,target,model,scenario,scenario_label,confidence,n_draws,point_available_fraction,MAE_mean,MAE_median,MAE_p025,MAE_p975,SMAPE_mean,SMAPE_median,SMAPE_p025,SMAPE_p975,R2_mean,R2_median,R2_p025,R2_p975,coverage_mean,coverage_median,coverage_p025,coverage_p975,median_width_mean,median_width_median,median_width_p025,median_width_p975,finite_interval_fraction_mean,finite_interval_fraction_median,finite_interval_fraction_p025,finite_interval_fraction_p975,audit_r_mean,audit_r_median,audit_r_p025,audit_r_p975,gate_matches_full_mean,gate_matches_full_median,gate_matches_full_p025,gate_matches_full_p975
luh,sandia,xgboost,no_adaptation,No adaptation,0.9,1000,1.0,414.0542769141175,405.33905931541835,158.56683236672308,715.2280966420797,46.838662982010035,46.59151145071908,31.7899369323337,63.833745947792536,0.454419455136251,0.4973164391573803,0.2734441025026349,0.6856108265148022,0.9350666666666667,0.9333333333333333,0.7333333333333333,1.0,3849.251605056107,4010.662429543056,1218.6007769304433,4574.5309949068305,1.0,1.0,1.0,1.0,0.9115128124728193,0.9224500238413511,0.7766905421716102,0.9774555201244703,1.0,1.0,1.0,1.0
luh,sandia,xgboost,no_adaptation,No adaptation,0.95,1000,1.0,414.0542769141175,405.33905931541835,158.56683236672308,715.2280966420797,46.838662982010035,46.59151145071908,31.7899369323337,63.833745947792536,0.454419455136251,0.4973164391573803,0.2734441025026349,0.6856108265148022,0.9350666666666667,0.9333333333333333,0.7333333333333333,1.0,3849.251605056107,4010.662429543056,1218.6007769304433,4574.5309949068305,1.0,1.0,1.0,1.0,0.9115128124728193,0.9224500238413511,0.7766905421716102,0.9774555201244703,1.0,1.0,1.0,1.0
luh,sandia,xgboost,oracle_best_point,Oracle point adapter,0.9,1000,1.0,323.60331676759176,312.5770574904442,175.05701275491543,555.4550146738582,81.41318129435437,80.0900289631145,47.13173595481593,124.10185653507456,0.6182237421640577,0.8164913609945881,0.2005961233687922,0.946106970364503,0.9440666666666668,1.0,0.7333333333333333,1.0,2428.8884696389455,2391.5878719158522,926.331095524578,4446.723214233939,1.0,1.0,1.0,1.0,0.9115128124728193,0.9224500238413511,0.7766905421716102,0.9774555201244703,1.0,1.0,1.0,1.0
luh,sandia,xgboost,oracle_best_point,Oracle point adapter,0.95,1000,1.0,323.60331676759176,312.5770574904442,175.05701275491543,555.4550146738582,81.41318129435437,80.0900289631145,47.13173595481593,124.10185653507456,0.6182237421640577,0.8164913609945881,0.2005961233687922,0.946106970364503,0.9440666666666668,1.0,0.7333333333333333,1.0,2428.8884696389455,2391.5878719158522,926.331095524578,4446.723214233939,1.0,1.0,1.0,1.0,0.9115128124728193,0.9224500238413511,0.7766905421716102,0.9774555201244703,1.0,1.0,1.0,1.0
matr,hust,gaussian_process,always_linear,Always linear,0.9,1000,1.0,237.4961863844041,236.61844962772685,195.35362878667993,286.8124860903145,16.219805669620865,16.170356141683374,13.217543810552211,19.514814892418958,-0.12069738946213464,-0.06145573740696686,-0.667064527959399,0.05998427893151671,0.9521351351351353,0.972972972972973,0.7837837837837838,1.0,1171.2700527547388,1152.0545422092514,802.3553768341477,1571.9261416121005,1.0,1.0,1.0,1.0,-0.11039889673792218,-0.11418456993684445,-0.48771783958824894,0.3069256154553954,0.865,1.0,0.0,1.0
matr,hust,gaussian_process,always_linear,Always linear,0.95,1000,1.0,237.4961863844041,236.61844962772685,195.35362878667993,286.8124860903145,16.219805669620865,16.170356141683374,13.217543810552211,19.514814892418958,-0.12069738946213464,-0.06145573740696686,-0.667064527959399,0.05998427893151671,0.9521351351351353,0.972972972972973,0.7837837837837838,1.0,1171.2700527547388,1152.0545422092514,802.3553768341477,1571.9261416121005,1.0,1.0,1.0,1.0,-0.11039889673792218,-0.11418456993684445,-0.48771783958824894,0.3069256154553954,0.865,1.0,0.0,1.0
matr,hust,gaussian_process,always_residual_mean,Always residual,0.9,1000,1.0,254.9025997348797,249.9727753159293,204.65611836018567,326.702378083443,17.3655457264339,17.016584330159326,13.827046932893868,22.196673561838214,-0.282589288735231,-0.18583797825013637,-0.957316976375909,0.00396063980516459,0.9493783783783785,0.972972972972973,0.7837837837837838,1.0,1177.5836111836904,1186.9897521113846,835.0052514862228,1466.9151849028212,1.0,1.0,1.0,1.0,-0.11039889673792218,-0.11418456993684445,-0.48771783958824894,0.3069256154553954,0.865,1.0,0.0,1.0
matr,hust,gaussian_process,always_residual_mean,Always residual,0.95,1000,1.0,254.9025997348797,249.9727753159293,204.65611836018567,326.702378083443,17.3655457264339,17.016584330159326,13.827046932893868,22.196673561838214,-0.282589288735231,-0.18583797825013637,-0.957316976375909,0.00396063980516459,0.9493783783783785,0.972972972972973,0.7837837837837838,1.0,1177.5836111836904,1186.9897521113846,835.0052514862228,1466.9151849028212,1.0,1.0,1.0,1.0,-0.11039889673792218,-0.11418456993684445,-0.48771783958824894,0.3069256154553954,0.865,1.0,0.0,1.0
matr,hust,gaussian_process,audit_gated_policy,Audit-gated policy,0.9,1000,0.135,245.84986261166583,243.34647252129665,197.5913563553349,313.11696925201704,16.74576413016801,16.566824008674548,13.294141370207084,21.580208606894754,-0.18097086076652255,-0.06589956699811395,-0.8870915920671516,0.008277893367229922,0.9493243243243243,0.972972972972973,0.7837837837837838,1.0,1179.8599746267078,1186.9897521113846,837.0368455550754,1475.6493743726458,1.0,1.0,1.0,1.0,-0.11039889673792218,-0.11418456993684445,-0.48771783958824894,0.3069256154553954,0.865,1.0,0.0,1.0
matr,hust,gaussian_process,audit_gated_policy,Audit-gated policy,0.95,1000,0.135,245.84986261166583,243.34647252129665,197.5913563553349,313.11696925201704,16.74576413016801,16.566824008674548,13.294141370207084,21.580208606894754,-0.18097086076652255,-0.06589956699811395,-0.8870915920671516,0.008277893367229922,0.9493243243243243,0.972972972972973,0.7837837837837838,1.0,1179.8599746267078,1186.9897521113846,837.0368455550754,1475.6493743726458,1.0,1.0,1.0,1.0,-0.11039889673792218,-0.11418456993684445,-0.48771783958824894,0.3069256154553954,0.865,1.0,0.0,1.0
