n_cycles,dataset,model,feature,mean_abs_shap_log_cycles_mean,mean_abs_shap_log_cycles_std,mean_shap_log_cycles_mean,relative_importance_mean,relative_importance_std,rank_mean,rank_std,n_seed_runs,MAE_mean,SMAPE_mean,R2_mean,top5_rate,top10_rate,abs_mean_shift_z_raw,abs_mean_shift_z_capnorm,spearman_matr,spearman_hust,spearman_abs_delta,spearman_sign_agree,within_R2_mean,adapted_cross_R2_mean,transfer_stability_score,stability_class
100,hust,random_forest,n_capacity_jumps,0.0,0.0,0.0,0.0,0.0,32.8,0.8366600265340757,5,177.97215881381194,12.15664726269242,0.33975223954458456,0.0,0.0,0.2249547758168087,0.2249547758168087,0.051641906996994,,,False,-0.0431480753939939,-0.0803158433610154,,relationship_unstable
100,matr,catboost,accel_mean,0.06041131119555598,0.03511545047214292,0.01727059606243584,0.11502648655123882,0.05985674627025731,2.6,2.3021728866442674,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.8,1.0,1.22959935337799,1.3537956090616747,0.4929057793888074,-0.156318394230164,0.6492241736189714,False,0.0988571066339727,-1.0998337584639095,-0.4101948831822114,relationship_unstable
100,matr,catboost,poly2_c,0.05388711744684545,0.011701632118302888,0.00021609976962815372,0.10729625062530923,0.02729048589044057,2.6,1.949358868961793,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.8,1.0,0.2588483523428992,0.1960783226436235,0.6573642371188736,0.0299833717826273,0.6273808653362463,True,-0.0424198136199253,-0.275881286459736,0.1474823144804419,weak_or_mixed
100,matr,catboost,slope_last_quarter,0.03639245260411535,0.010699086709437103,0.004943921289688664,0.07104211942425737,0.01734336935721321,4.6,1.949358868961793,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.8,1.0,0.3726140368721802,0.2665852201753617,0.4762603562502095,-0.0739659943098833,0.550226350560093,False,0.0867154482010735,-0.1919223606618001,-0.2442898326097999,relationship_unstable
100,matr,catboost,range_Qdis,0.03604771852215062,0.019581937315864696,0.0008346324860454693,0.07367731698173785,0.045475830202999355,6.0,6.4031242374328485,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.8,0.8,0.057653016510343,0.0721581347043058,-0.5346940373102244,0.1735249850514964,0.7082190223617209,False,-0.0367611443233264,-1246094425.88638,-0.3627574636574119,relationship_unstable
100,matr,catboost,variance_Qdis,0.0321691645717874,0.015663476763222443,-0.0013750872338295084,0.0647916280148444,0.03445473372079135,6.8,4.919349550499537,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.4,0.8,0.1160514849716816,0.1167984472327037,-0.5681721620677368,-0.0773573620959061,0.4908147999718307,True,-0.0297985737118905,-0.0746237908536887,0.2371848772683324,weak_or_mixed
100,matr,catboost,mad_Qdis,0.030188112001926327,0.015331659996498544,-0.0029176885499105766,0.058833913175952456,0.02712463939407473,5.8,3.420526275297414,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.6,0.8,0.7122615467251117,0.5832173802778646,-0.3946102855351098,-0.0776071139871248,0.3170031715479849,True,0.0499338798784528,-0.0249228320522273,0.2845930620956936,weak_or_mixed
100,matr,catboost,sample_entropy,0.021065323844262657,0.005967979676184637,0.00531301149390731,0.04230832667606578,0.014882115259310678,7.8,2.16794833886788,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.2,1.0,0.3477327760149168,0.3477327760149168,-0.0238514851634939,0.2455455435771497,0.2693970287406437,False,-0.0057872528674165,-0.2373458720541509,-0.1868584307725593,relationship_unstable
100,matr,catboost,knee_cycle,0.020634741413798886,0.012864011687451233,0.0006194685744879702,0.040339850853010825,0.022870654322846646,9.4,5.941380311005179,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.2,0.8,0.834763550107729,0.834763550107729,-0.2749122631570961,-0.0850996023275905,0.1898126608295056,True,0.0120457900462751,-0.0783063675343923,0.291924927115363,weak_or_mixed
100,matr,catboost,accel_max_abs,0.018269619367314378,0.011518127093052702,0.0009171811784986752,0.0354521578391256,0.021121875933372194,11.2,5.540758070878027,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.2,0.4,0.1342210519216805,0.1354344576327857,-0.118220239500228,0.1607613489265814,0.2789815884268095,False,-0.0873707351401829,-29648306856.704777,-0.1596239520016568,relationship_unstable
100,matr,catboost,linearity_r2,0.012965737868014748,0.006619688200426382,-0.0023923255663200124,0.02539060648735949,0.011923718438873734,14.4,7.092249290598858,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.2,0.7926134476073226,0.7926134476073226,-0.301384183652376,-0.3973815486017567,0.0959973649493806,True,0.0571793774847714,-0.0395933442995103,0.3902886778689827,stable_candidate
100,matr,catboost,slope_first_quarter,0.012498656719198602,0.003914827616968815,0.0011212156594090695,0.02443798841033676,0.006982511802443522,13.2,3.3466401061363023,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.2,0.3201740977683865,0.2831254723399592,-0.2360659220398227,0.035530492734959,0.2715964147747818,False,-0.2274888434333856,-0.5806570475104575,-0.1838243220526488,relationship_unstable
100,matr,catboost,slope_ratio,0.012233239158852249,0.010679903289781684,0.0007856526216958075,0.024114112642380083,0.01991432018386504,18.8,10.497618777608569,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.4,0.2299162253682134,0.2299162253682134,-0.2714587596184837,-0.3576578530615989,0.0861990934431152,True,-0.0179843355993486,-0.2572667548031951,0.4224130194732104,weak_or_mixed
100,matr,catboost,fft_top3_energy_ratio,0.01213191449971428,0.0030559637337558374,0.0009660354859510115,0.023980648853905027,0.005831909257203031,14.6,4.39317652729776,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.2,0.4962145609607443,0.4962145609607443,-0.1880275942379851,0.0380674461562861,0.2260950403942713,False,-0.0536782881504775,-0.1498187856333623,-0.1874797043412473,relationship_unstable
100,matr,catboost,Qdis_cycle10,0.011990685348641126,0.010655049927367858,0.002590903948861104,0.024356868661114927,0.02271016358127415,16.4,9.071934744033381,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.2,0.2,10.83695782836421,0.200530074660116,-0.1834993682959988,0.6461081425828502,0.829607510878849,False,0.0881290749560108,-0.1303602956720059,-1.0766746804834135,scale_shift_fragile
100,matr,catboost,delta_Qdis,0.01025379999445784,0.0063146445931028,0.002049268589299329,0.019979972634066076,0.01141283951165192,18.4,9.44986772394196,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.4,0.2111489401020372,0.1952441402899176,-0.0203378839221558,0.0556552372326366,0.0759931211547924,False,-0.0100867019790472,-0.1789550559038095,-0.0696689015927018,relationship_unstable
100,matr,catboost,poly2_a,0.01023762728123215,0.004902194756845397,0.0011437434756569286,0.020108335209719174,0.008765190587730811,16.2,6.016643582596529,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.2,10.674941602590264,0.2077987351128622,-0.1742863851448957,0.6165979849099005,0.7908843700547963,False,0.0708351643891332,-0.0994945264016915,-1.074607020638265,scale_shift_fragile
100,matr,catboost,max_drop,0.009963459379119058,0.0037017145767286124,0.0005897299683077332,0.01950544508734085,0.0068563510464519405,17.2,4.868264577855234,5,171.66177211053974,23.671376618028027,0.5752479103793123,0.0,0.0,0.1346543738940666,0.1359979124070844,-0.0711686177215517,0.1464203324360744,0.2175889501576261,False,-0.0311581571186978,-30740250171.031845,-0.128992631162923,relationship_unstable
