source,target,direction,model,pearson_log_mean,pearson_log_sd,spearman_cycle_mean,r2_cycle_mean,decomposition_error_abs_mean,dominant_positive_group,dominant_positive_contribution,dominant_negative_group,dominant_negative_contribution,dominant_abs_group,dominant_abs_contribution,pearson_r,raw_R2,linear_R2,rank_signal_class,life_ratio_target_over_source
matr,hust,matr_to_hust,catboost,-0.09988676809646023,0.11888442405933397,-0.06392596828289052,-10.35458107369234,2.3037127760972e-16,capacity_level_retention,0.08079147186146726,curvature_acceleration,-0.2186426299195013,curvature_acceleration,-0.2186426299195013,-0.1200185046019638,-7.936737027557716,0.0246972384801261,negative_or_inverted_signal,2.085201733901205
matr,hust,matr_to_hust,random_forest,-0.15027600966483332,0.06193711848432518,-0.11248705377127222,-10.53840803334469,1.407207683712386e-15,trend_decay_timing,0.07646363648447393,curvature_acceleration,-0.2900332463694002,curvature_acceleration,-0.2900332463694002,-0.1200185046019638,-7.936737027557716,0.0246972384801261,negative_or_inverted_signal,2.085201733901205
matr,luh,matr_to_luh,catboost,0.5188327203073205,0.04158682881757297,0.4464281016871866,-0.005091577256423308,6.106226635438361e-16,curvature_acceleration,0.49444538974401253,variability_events,-0.07468964932536863,curvature_acceleration,0.49444538974401253,0.4065409096999389,0.0038324202528453,0.1932600633327301,moderate_rank_signal,0.5734586064578459
matr,luh,matr_to_luh,random_forest,0.464410165400872,0.05574192745535849,0.20946414166195387,-0.11019257843183575,9.658940314238862e-15,curvature_acceleration,0.46622557152880717,variability_events,-0.08176625326542812,curvature_acceleration,0.46622557152880717,0.4065409096999389,0.0038324202528453,0.1932600633327301,moderate_rank_signal,0.5734586064578459
matr,sandia,matr_to_sandia,catboost,0.46168068582122856,0.2023542531802144,0.42024989612955066,0.03955847363272438,3.6637359812630164e-16,trend_decay_timing,0.20761224555803773,spectral_entropy,0.030533507063601452,trend_decay_timing,0.20761224555803773,0.4271628336086019,0.0455318396232738,0.2607964861439512,moderate_rank_signal,0.5152140021198353
matr,sandia,matr_to_sandia,random_forest,0.25762460177900415,0.22954010299445604,0.2325508728225003,0.013770753029026927,5.0043302834978934e-15,curvature_acceleration,0.1725722201496036,spectral_entropy,-0.012574097425044492,curvature_acceleration,0.1725722201496036,0.4271628336086019,0.0455318396232738,0.2607964861439512,moderate_rank_signal,0.5152140021198353
sandia,hust,sandia_to_hust,catboost,0.18271483562074212,0.08323651257119376,0.11347900256693981,-2.0265370030134924,7.299716386910404e-16,variability_events,0.17339773528329575,curvature_acceleration,-0.042305420495133826,variability_events,0.17339773528329575,0.1868972553941344,-2.026537003013493,0.0394274940951304,weak_rank_signal,4.047253617568027
sandia,hust,sandia_to_hust,random_forest,0.033602109254057766,0.23041779635432183,-0.06886100196150982,-13.093235716074071,2.9876101592662965e-14,spectral_entropy,0.13974744103121833,trend_decay_timing,-0.08475173242196525,spectral_entropy,0.13974744103121833,0.1868972553941344,-2.026537003013493,0.0394274940951304,weak_rank_signal,4.047253617568027
sandia,luh,sandia_to_luh,catboost,0.9307465806078887,0.02115024279786572,0.9085599534059092,0.062348063600699846,2.6645352591003756e-16,trend_decay_timing,0.5383448767629857,spectral_entropy,-0.1609790737106375,trend_decay_timing,0.5383448767629857,0.8621160025989422,0.4944713375776242,0.7502426298028618,strong_rank_signal,1.1130493427941877
sandia,luh,sandia_to_luh,random_forest,0.8293672647081868,0.0628924153274537,0.8331407436424134,0.09463513315025684,4.640732242933154e-15,trend_decay_timing,0.30631399049624763,curvature_acceleration,-0.0011600435847612836,trend_decay_timing,0.30631399049624763,0.8621160025989422,0.4944713375776242,0.7502426298028618,strong_rank_signal,1.1130493427941877
sandia,matr,sandia_to_matr,catboost,0.3187373467925484,0.032024372793598654,0.14845268221834979,-3.9638416458738943,1.6653345369377348e-16,trend_decay_timing,0.1258695909076087,curvature_acceleration,-0.008919228882022335,trend_decay_timing,0.1258695909076087,-0.0058033323714097,-0.8021333947043507,0.0029194254689424,rank_signal_collapsed,1.9409410378707193
sandia,matr,sandia_to_matr,random_forest,0.2661328805170934,0.03720473498881863,0.0131218972371651,-16.916826604053917,7.0554673214928695e-15,trend_decay_timing,0.09197043538692605,curvature_acceleration,0.004454256984458874,trend_decay_timing,0.09197043538692605,-0.0058033323714097,-0.8021333947043507,0.0029194254689424,rank_signal_collapsed,1.9409410378707193
