experiment,source,target,model,seed,n_cycles,n_target,alpha,alpha_ci95_low,alpha_ci95_high,alpha_minus_1_boot_p,beta,theil_sen_alpha,theil_sen_beta,theil_sen_R2,huber_alpha,huber_beta,huber_R2,pearson_r,pearson_r_ci95_low,pearson_r_ci95_high,pearson_p,constant_share_of_ss,constant_share_ci95_low,constant_share_ci95_high,raw_MAE,raw_R2,residual_MAE,residual_R2,linear_MAE,linear_R2
matr_to_luh,matr,luh,stacking,42,100,106,6.257230749905099,4.523438943583748,9.49112813563931,0.0033222591362126247,-2731.772428622889,6.761699594413702,-3220.295744331444,-0.09487904736396136,5.5884085144697995,-2449.572988151998,0.14287297666199839,0.40701411066849674,0.2958170705086857,0.5093252259209109,1.4926002433102675e-05,0.01382824812003367,2.02504702805556e-05,0.05894571521174651,323.3569249664196,0.04209560010232838,327.49997741374244,0.048718983917654834,303.9476498008043,0.17504051854261538
matr_to_luh,matr,luh,stacking,123,100,106,4.6948010796161075,3.682161855846874,7.344264237954903,0.0033222591362126247,-1429.4363537851723,6.938002680405579,-2503.1439324469834,0.4431712933878942,4.6401454686130155,-1472.2385415796464,0.38874775478726886,0.5975713581149907,0.5495667853458236,0.6730308860576,1.3572286913016104e-11,0.11950932449914371,0.040770406457512155,0.21797964151646218,299.9790990057881,0.024849207174768795,308.75631428379063,0.1359209877504366,249.70749720606227,0.40168440267309335
matr_to_luh,matr,luh,stacking,456,100,106,3.4203806020322847,2.658684809237056,6.4258361516619615,0.0033222591362126247,-1377.1361668439267,4.808032624357756,-2170.4254396937276,0.10260760754708254,2.9843961676604027,-1191.9062232112876,0.06526997015933456,0.29282940918419487,0.19833687873432435,0.38095239964198935,0.002317657638737499,0.01027619136456315,8.350451782981883e-06,0.05571735698493485,328.2310438146838,0.042508263635353094,326.83071673982295,0.04281046683738454,315.0220959046326,0.09102480373576494
matr_to_luh,matr,luh,stacking,789,100,106,4.227279466252171,3.0565431036990396,8.18664088916994,0.0033222591362126247,-2052.791837351797,9.764131843760964,-5907.17195786779,-0.4917925223105484,3.5563654994484732,-1690.7243682597264,0.16835542186328978,0.42108509538118355,0.3485667885925529,0.504102626316945,6.964894769075528e-06,0.03559125049173415,6.854776876071e-05,0.12839444342759299,335.4305863150448,0.05300135801757222,321.6652890302371,0.07396730089037018,291.41287900301126,0.19746893324262593
matr_to_luh,matr,luh,stacking,1011,100,106,2.2488936343435224,1.710289397531818,3.3924288647045824,0.0033222591362126247,-1118.5379040582013,2.272996520353569,-1297.405708817511,-0.04354334181153985,1.9822561564687462,-981.9558353294765,0.07568121253951998,0.31420457515083133,0.2056820588009349,0.40823211452689,0.0010378397655698708,0.19369816890228939,0.07300796879337139,0.3366991355181219,383.3011129866331,-0.14329232766579536,320.43543508867543,0.06827796544022935,310.0147345585947,0.10108165846955253
hust_to_matr,hust,matr,gaussian_process,42,100,129,-735.3727137909092,-7253.272606639675,-300.27513245561374,0.03333333333333333,1089318.5448483329,-2654.8327864795656,3930494.4522206075,-0.08597780695365653,0.48894605013631615,0.004721095501571662,-0.022194781546340803,-0.12344338899589527,-0.2028689614820339,-0.01680951906814413,0.16339690319129427,0.7924711764979558,0.711188010898702,0.8595331442896014,735.6488452316835,-3.788281710365289,274.66479247121464,-4.147184391656289e-05,270.50610417886566,0.01523827028673963
hust_to_matr,hust,matr,gaussian_process,123,100,129,1.0,1.0,1.0,1.0,-674.5384301515817,1.0,-674.5384301515817,0.0,1.0,-674.5384301515817,0.0,,,,,0.7765597739952436,0.6931818491631625,0.8549785703752045,711.3964173631691,-3.490462584175173,274.6569316747792,0.0,274.6569316747792,0.0
hust_to_matr,hust,matr,gaussian_process,456,100,129,-268.6196276134399,-2517.3119721741828,634.8723746564723,0.25333333333333335,392316.0906664565,-106.9080086877517,156626.67673309744,0.0008815664373016396,0.49654611684546157,0.007720005667744767,-0.02219856661283881,-0.08052325744372313,-0.17696680689305835,0.059707068088989845,0.364332389811384,0.7786133677169912,0.6941834650968085,0.8503121614765612,716.1475232735118,-3.547887078401274,274.6628221523846,-4.836626532767063e-05,273.09736258832265,0.0064839949893460425
hust_to_matr,hust,matr,gaussian_process,789,100,129,-29.392490819763065,-72.59343546592139,-3.1838518083645058,0.03333333333333333,43554.10328415476,-7.332382345330713,11174.378380383298,-0.5692210246485025,0.4971463431272665,0.17396174969859116,-0.022886076022447188,-0.1383129014799866,-0.23443488883291255,-0.011834149664986988,0.11801377156500066,0.7786377444652628,0.7035598619396441,0.851520407305008,714.253937316387,-3.525853057423796,274.8591713835927,-0.0013238680513476542,269.64321518789217,0.019130458715811094
hust_to_matr,hust,matr,gaussian_process,1011,100,129,1.0,1.0,1.0,1.0,-689.6005227374492,1.0,-689.6005227374492,0.0,1.0,-689.6005227374492,0.0,,,,,0.7854080690143083,0.6964931465765893,0.8596432999794289,724.3568226114737,-3.6480833796854686,274.6569316747792,0.0,274.6569316747792,0.0
hust_to_sandia,hust,sandia,xgboost,42,100,50,2.759861659912298,1.507923852363814,3.759729061113576,0.006666666666666667,-3475.7118069138264,0.4683180464026181,-412.4432271079315,-0.0472804589166107,0.2096180566680973,-20.389980229321253,-0.12017081754372683,0.646985465965043,0.3756573706716144,0.806941501460603,3.8405053259264415e-07,0.4368244854307301,0.16879572275648183,0.7383621989700657,1184.1014503144852,-0.2631069333512275,705.6341217707081,0.24838551895739602,627.4733246232771,0.42282986497940855
hust_to_sandia,hust,sandia,xgboost,123,100,50,1.600784424165423,0.8433705831015617,2.5694051970648895,0.10666666666666667,-1680.6172399143682,0.22911510364553084,-65.06532243028185,-0.1540992438613562,0.19157619154026842,-7.818692456700746,-0.16038462217060045,0.3919272863706749,0.290164946538271,0.5080557071413143,0.00488037296474905,0.3742822559497025,0.14335480560259872,0.6821927158029724,1222.20959201822,-0.3669207679779014,764.6839123157436,0.13197071593047038,800.5149382000549,0.15732143960565392
hust_to_sandia,hust,sandia,xgboost,456,100,50,2.5206742680374936,1.3744637961418118,3.5862445419293887,0.006666666666666667,-2963.122559219956,0.47512444369484347,-491.1412201390481,-0.1513845585650142,0.2080102106005759,-13.409389160164068,-0.13720619441030424,0.5625466711566554,0.39154937913117405,0.6781897425518192,2.1189648429412032e-05,0.37487878209226433,0.1206383600913146,0.6745975899769269,1168.6619484812313,-0.2368003964650709,730.952990081917,0.20128433122437894,701.2846234525866,0.34953811886805064
hust_to_sandia,hust,sandia,xgboost,789,100,50,2.339316934053321,1.2893286414352667,3.2286184206195228,0.02666666666666667,-2505.4344497180487,0.519251423059318,-495.1837447050325,-0.07672222007965068,0.23157652153817707,-19.906390399678624,-0.10165830389758956,0.6440265856351081,0.48238755863267185,0.7496855615384552,4.5130142611073347e-07,0.33552619043876997,0.1069176769030389,0.6530215976197983,1074.0535002473396,-0.06564726738566362,689.4626096537344,0.2788149307033011,647.3442043802113,0.46669062534794725
hust_to_sandia,hust,sandia,xgboost,1011,100,50,3.163403695888575,1.8831524350759776,4.015228995071828,0.006666666666666667,-3928.377094898085,0.5349827702253974,-522.2093490545627,-0.07863638573756604,1.4456028723383088,-1710.5958101935175,0.19874985768175002,0.6416724068964618,0.40412180047683055,0.7685044105896687,5.124944821221752e-07,0.3897800578094441,0.13225054820773824,0.681026495560333,1166.3276178594697,-0.2248943442997735,722.5560452966439,0.21917170533138275,613.3412668014143,0.4341906598086862
hust_to_luh,hust,luh,pls,42,100,106,0.8546691590267189,0.7445763631304548,0.9911079724726686,0.04666666666666667,-131.4579122125622,0.8259215796274489,-139.2548878828103,0.5668268964331871,0.7132259174994698,-74.60993810785283,0.5286619845642613,0.7475488498642116,0.7016573898954926,0.7953173253216915,3.428542485595854e-20,0.44683282293697724,0.3083259558992555,0.56880876494246,317.1399342047501,0.1677374447916914,210.96369840051872,0.5822166638695647,206.24763347736234,0.5716826256716755
hust_to_luh,hust,luh,pls,123,100,106,13.079275148871291,10.281973068571368,18.60366616839128,0.0033222591362126247,342.9721917093762,48.262746669938885,172.26967236691343,-4.610774903784577,15.25130281520418,284.3529994563477,0.5568491405412901,0.7588559615634813,0.7020925770238361,0.8381812171828522,4.361199394523274e-21,0.6620233419609591,0.6102188146496244,0.7163537684614526,542.4744845370725,-1.6968189885889533,319.159438368138,0.0846909414446041,208.15099740101093,0.5758623704004358
hust_to_luh,hust,luh,pls,456,100,106,5.066334687030561,4.361214607919289,6.01063653419551,0.0033222591362126247,262.2617711128338,11.077014868828126,134.2834703979795,-0.5719011651069374,5.045553890633358,222.27648990435435,0.6472805721127279,0.8109061748484527,0.7553418370950933,0.8701270748652817,6.013283988729025e-26,0.6677270931521999,0.6219045558212464,0.7171337824774355,500.4218347447746,-1.2820450161414647,287.6223502480728,0.23396516360909547,176.87969683100522,0.6575688244073494
