dataset,model,n_cycles,seed,feature,mean_abs_shap_log_cycles,mean_shap_log_cycles,relative_importance,rank,train_cells,test_cells,MAE,SMAPE,R2,attribution_MAE,attribution_SMAPE,attribution_R2,metric_source
matr,catboost,100,42,slope_last_quarter,0.036761894926792715,0.0012237758891181167,0.07131394989908527,5,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,autocorr_lag1,0.004317938425789978,-0.0012405905741352929,0.008376315888430913,29,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,knee_cycle,0.01943669187863755,-0.006949411392660465,0.03770500061537623,7,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,n_capacity_jumps,0.0006943317380145657,0.0004190767068404136,0.0013469256379933705,32,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,accel_mean,0.03687970696033506,0.013570953598233867,0.07154249202060209,4,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,accel_std,0.006840387188156066,-0.003343517270187364,0.013269583360649297,22,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,accel_max_abs,0.016091024995960206,-0.009679664828365814,0.031214782390080385,9,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,linearity_r2,0.015715186205099145,-0.006064295978598889,0.030485697321017084,11,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,kurtosis_Qdis,0.005495086708767741,-0.0006677157756542933,0.01065985143096053,26,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,fft_top3_energy_ratio,0.008836108889984682,-0.00217195375247433,0.017141059456757597,17,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,spectral_entropy,0.005371856833731926,-0.00116985173289427,0.010420799305060192,28,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,sample_entropy,0.01608905786070295,0.003315544952278618,0.031210966368478126,10,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,pos_neg_diff_ratio,0.005473107585819459,0.003574227295736635,0.010617214399439688,27,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,42,mad_Qdis,0.04077314036351427,-0.008364227435011416,0.07909531581281054,3,89,20,159.92502983700646,23.179327159072493,0.6009600777757226,159.92502983700646,23.179327159072493,0.6009600777757226,benchmark_evaluate_split
matr,catboost,100,123,Qdis_N,0.0024136170675043813,0.0012011070481817003,0.005640216827561567,30,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,delta_Qdis,0.002860262936116446,0.0023351798185327595,0.006683953043228699,28,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,retention_ratio,0.001731765838472145,2.356688829878099e-05,0.004046845274278012,32,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,slope_linear,0.003383163756947489,0.0005204263314466444,0.007905884247024202,25,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,variance_Qdis,0.041795360916234744,0.0007791665096231994,0.09766872348044014,3,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,range_Qdis,0.05989246450350767,0.0007770756523400792,0.13995860846563418,1,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,max_drop,0.004418573848393866,-0.0014670264590461311,0.010325463350863266,23,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,std_diff,0.014656458099248173,-0.0019840538106009344,0.03424967560794749,8,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,skewness_Qdis,0.0026482054015515948,0.0002997014208726958,0.006188410278402056,29,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,slope_ratio,0.004691738364862305,-0.0016330251585319887,0.010963802846892377,22,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,Qdis_cycle10,0.008168093085839007,0.0019325755826317844,0.01908745869098178,18,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,mean_diff,0.009859386268334717,-0.005611254087328887,0.02303972618058642,15,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,poly2_a,0.007010241411264845,-0.0012391537128544675,0.016381754216698317,20,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,poly2_b,0.010254672011263042,-0.003001758437172029,0.023963442427449373,14,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,poly2_c,0.04296222686741324,0.0014808132181545635,0.10039549280186798,2,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,exp_decay_k,0.004414668153602023,0.001072674440499904,0.010316336399539933,24,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,cycle_to_99pct,0.001977486967271467,0.001977486967271467,0.004621054192585988,31,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,cycle_to_98pct,0.003330890606794642,0.003330890606794642,0.0077837306937156864,26,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,cycle_to_95pct,0.0,0.0,0.0,34,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,slope_first_quarter,0.008511279625943821,0.0009656924738254819,0.01988942787016612,17,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,slope_last_quarter,0.03639470616366747,0.022044516306231714,0.08504830236004425,4,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,autocorr_lag1,0.012987314139705917,-0.0010609543519278252,0.03034916712423547,10,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
matr,catboost,100,123,knee_cycle,0.024690942354295815,0.0017346781840098934,0.057698576311049014,6,89,20,193.39933763028841,22.096010547405555,0.4287501638704496,193.39933763028841,22.096010547405555,0.4287501638704496,benchmark_evaluate_split
