source,target,direction,model,seed,n_cycles,n_target,alpha,alpha_ci95_low,alpha_ci95_high,alpha_ci95_contains_1,alpha_minus_1_boot_p,beta,beta_ci95_low,beta_ci95_high,theil_sen_alpha,theil_sen_beta,theil_sen_R2,huber_alpha,huber_beta,huber_R2,pearson_r,pearson_r_ci95_low,pearson_r_ci95_high,pearson_p,constant_bias,constant_share_of_ss,constant_share_ci95_low,constant_share_ci95_high,raw_MAE,raw_R2,constant_MAE,constant_R2,linear_MAE,linear_R2,alpha_minus_1_fdr_bh
hust,matr,HUST -> MATR,catboost,42,100,129,1.1133874557264622,0.26020991048496944,1.945521016316048,True,0.818,-757.1150933367823,-1880.771679864772,399.98482200794143,0.5121549537805239,25.535289865591857,0.011726954388029842,0.5275955353584287,-4.8418682721862165,0.005249383677612518,0.19883045119212614,0.047624169900401844,0.3209830218883889,0.023889455304849778,-600.826233215118,0.7417196675850944,0.6446776413236722,0.8269098518614798,643.6930903872749,-2.730159630931526,266.8555781677615,0.03912353008891056,266.70840141033983,0.03953354832126443,0.8610526315789473
hust,matr,HUST -> MATR,catboost,123,100,129,0.904078006824815,0.30527319539832215,1.4452382078381478,True,0.678,-462.76970562836044,-1159.7598462675303,320.13187119927886,0.5278005073244011,-80.40664683590306,-0.08329503692228224,0.5329820847575253,-7.194617399261971,0.0324742869489254,0.2559132896181946,0.09160191059490641,0.392234271483798,0.0034199227272152803,-594.3650850719474,0.7423602730618529,0.6513804055696126,0.8254411369695771,633.5451797169911,-2.6452885636596646,263.73384794509946,0.06475436948017477,263.91943425488716,0.06549161180320584,0.7976470588235295
hust,matr,HUST -> MATR,catboost,456,100,129,0.7339255281918068,0.27012963560495507,1.1470120022018744,True,0.226,-259.8043445491565,-819.080480313947,394.7266634016759,0.28711724503319097,216.7055577462007,-0.14625963331634284,0.5155063097787246,-6.426680832650728,0.0316502467331069,0.24596977722285096,0.08868791719719721,0.38297545761915675,0.004957383140994533,-635.877224760714,0.7666813528448079,0.6833947491020241,0.8407418489924925,669.7947884893928,-3.04926739329387,266.2611874320179,0.05254932258276446,264.83615092935275,0.06050113130705881,0.3766666666666667
hust,matr,HUST -> MATR,catboost,789,100,129,0.8114837385743724,0.40779633199395066,1.2258969832381756,True,0.37,-407.5173326993821,-993.6146332474768,183.52362467268486,0.562248438988977,-134.37301171991692,8.169547528724674e-05,0.4992387099476025,-8.502568519689424,0.03470707099850201,0.26451215005245354,0.12562628597372708,0.3862675065313469,0.0024521591230489245,-682.8175054744848,0.794116455993213,0.7144141835729698,0.8640458565265416,712.7868746528695,-3.510479406893281,266.51994334217954,0.06619070135045635,263.8399498769609,0.06996667752537167,0.5314285714285714
hust,matr,HUST -> MATR,catboost,1011,100,129,0.4662513207916186,-0.06330256532486635,1.0826346022726463,True,0.096,105.46251852754715,-779.3370368677769,880.7470073165748,0.26945250984043556,253.65918961210846,-0.12423652362492499,0.4980646262300669,-0.21543171742893397,-0.007393706213835394,0.14195894097564332,-0.019764990864179592,0.3150135629487899,0.1085403800131516,-663.9031030976697,0.7726707567565223,0.6921997591773864,0.8394181240489345,694.8981449487947,-3.387520372262335,278.97267362386174,-0.0062570860561779185,273.18457322315663,0.02015234092292617,0.192
hust,matr,HUST -> MATR,random_forest,42,100,129,1.4264616294812975,0.5341474001776796,2.3028169773926863,True,0.372,-1065.1050412114016,-2177.193531277132,88.0219757336199,1.1720106917190236,-750.3188444763998,0.06393773768107758,0.5648286252211083,-6.017749076740141,0.020603503377320975,0.2599431123513609,0.10334657800938035,0.40234819508480874,0.0029302118112831993,-514.2208052157353,0.6813649020290788,0.5667627621875255,0.7822964647153309,567.5754383122774,-1.9669403728562425,265.94103262392787,0.061530985915025926,266.78787516932357,0.06757042165891214,0.5314285714285714
hust,matr,HUST -> MATR,random_forest,123,100,129,1.1510798673566602,0.6727679302453246,1.8603670813030482,True,0.56,-755.7162502086237,-1678.4858099606506,-119.0932122462512,0.8076204511558119,-363.32841793406885,0.030134354438501987,0.5483684858724448,-7.250919525008918,0.027254565597869096,0.2622445353196791,0.1480982125432523,0.3872562283054165,0.0026798144485913,-554.4761933648953,0.7188668643740421,0.6058912237696735,0.8151987754766323,603.4008900096558,-2.290909914697085,262.0310936065468,0.06758747781189156,262.36708836941193,0.0687721963050344,0.7000000000000001
hust,matr,HUST -> MATR,random_forest,456,100,129,1.0292422688624505,0.4836969046707591,1.5709073508720948,True,0.936,-601.1348208254724,-1316.5837356547554,97.9615550911934,0.5181149065419736,-35.548418461175274,-0.052256413243069844,0.545402175350844,-7.515112013930611,0.03565204327543803,0.2738575921647383,0.1258235554615975,0.4063153723910554,0.0016871024161337655,-561.9648106223168,0.7249486408117269,0.6257347807379138,0.8080447098946618,607.1771061389151,-2.3476967091221668,261.82387557617085,0.07493744161444871,261.7863041782602,0.07499798078626818,0.9360000000000002
hust,matr,HUST -> MATR,random_forest,789,100,129,1.1817434689890538,0.6771982722648983,1.8761416980889878,True,0.496,-942.5736135126313,-1980.085299699845,-217.56205451759607,1.2927073224744696,-1204.478935854868,0.001928931128848177,0.5013009805264174,-6.099533202099935,0.03110726470121894,0.28274759388838444,0.1602440021703957,0.40181491145027065,0.0011677114652661118,-678.0335559380279,0.7951671928425323,0.7229668025382203,0.8618468448053592,708.7656501066551,-3.4486727109923976,264.4166550666919,0.07805529976468328,265.7004495051479,0.07994620184967083,0.6613333333333333
hust,matr,HUST -> MATR,random_forest,1011,100,129,0.91953105368789,0.3314711745052696,1.510058389888159,True,0.8,-410.68520277942264,-1150.1712974780178,345.5276366897063,0.6568996838642037,-215.72048178371742,-0.09512260222591351,0.5648454810818483,-4.918566201952358,0.03891544443242845,0.26573099017768026,0.09702132405770882,0.41195027543982404,0.002337158869462316,-514.6673553822011,0.6884305740198138,0.5773560380440416,0.786340948662866,564.0858292769433,-1.961923749445781,266.6880016860493,0.07007219455811742,266.5047154919112,0.07061295914081034,0.8610526315789473
