protocol,target,source,source_set,model,n_cycles,seed,k,repeat,adapter_type,n_test,MAE,SMAPE,R2,weight_hust,weight_sandia,weight_luh,adapter_slope,adapter_intercept,selected_source,calibration_MAE,selected_model,weight_matr
pooled_erm_kshot,matr,,hust+sandia+luh,gaussian_process,100,42,5,3,residual_mean,124,651.3913124800252,74.3494583488336,-4.0598856099896485,,,,1.0,-458.9599814151194,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,gaussian_process,100,42,5,3,linear,124,299.7881294644677,38.35759855290108,-0.10312444654065578,,,,0.08411430397309089,770.3051473427306,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,stacking,100,42,5,3,none,124,887.7819874205752,77.18318757087111,-6.513944206895087,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,stacking,100,42,5,3,residual_mean,124,285.91042842988253,37.459436423968086,-0.08791086417520377,,,,1.0,-811.2140689327559,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,stacking,100,42,5,3,linear,124,353.9298871823096,54.23525837423932,-0.5636065920303757,,,,1.9720215995999961,-2458.2211426015106,,,,
source_expert_select,matr,,hust+sandia+luh,source_primary_experts,100,42,5,3,none,124,379.67695809094323,55.39576241701904,-1.132855310547654,0.0,0.0,1.0,1.0,0.0,luh,540.4312995529106,,
source_expert_select,matr,,hust+sandia+luh,source_primary_experts,100,42,5,3,residual_mean,124,292.0129398825379,37.522718287191545,-0.10182360868956541,0.0,0.0,1.0,1.0,476.58550030892036,luh,540.4312995529106,,
source_expert_select,matr,,hust+sandia+luh,source_primary_experts,100,42,5,3,linear,124,325.99231747658024,44.94417408515499,-0.2891155980478366,0.0,0.0,1.0,-50430706.319527835,20505857302.382572,luh,540.4312995529106,,
source_model_select,matr,,hust+sandia+luh,source_model_experts,100,42,5,3,none,124,321.0971144663189,42.85571534682659,-0.5917559670071886,0.0,1.0,0.0,1.0,0.0,sandia,531.7642587432541,gaussian_process,
source_model_select,matr,,hust+sandia+luh,source_model_experts,100,42,5,3,residual_mean,124,307.5053007530679,38.430421513901045,-0.2908572928405755,0.0,1.0,0.0,1.0,287.4878802757598,sandia,531.7642587432541,gaussian_process,
source_model_select,matr,,hust+sandia+luh,source_model_experts,100,42,5,3,linear,124,298.8354106193707,37.754904143952224,-0.1971059756073832,0.0,1.0,0.0,-0.5617198459939015,1217.8233201482003,sandia,531.7642587432541,gaussian_process,
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,42,5,3,none,124,333.045008800646,41.476819890326574,-0.2817894753802699,0.5,0.0,0.5,1.0,0.0,,,,
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,42,5,3,residual_mean,124,299.6927908949811,38.24442132322486,-0.096911481244216,0.5,0.0,0.5,1.0,-62.273874312034536,,,,
source_expert_convex,matr,,hust+sandia+luh,source_primary_experts,100,42,5,3,linear,124,435.0351516497025,53.731039549192275,-1.0441952117842375,0.5,0.0,0.5,5.053528555865524,-3894.7792226606794,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,4,none,124,1732.215147437574,94.93846965848432,-136.24003064953655,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,4,residual_mean,124,949.676704042133,70.38750529816437,-115.08556332549375,,,,1.0,-974.0548936180221,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,elastic_net,100,42,5,4,linear,124,633.8724598251877,66.25861058482182,-3.343869270599413,,,,-0.18552967401012996,1714.3172731804277,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,4,none,124,4318.717156759335,97.21550750027602,-4950.496286995926,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,4,residual_mean,124,3511.228387059329,74.31828047986212,-4879.625204351116,,,,1.0,-1074.8160961099427,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,pls,100,42,5,4,linear,124,621.6292666963286,66.95452962916539,-3.0724698827860966,,,,-0.06423306883571867,1445.7306341330534,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,random_forest,100,42,5,4,none,124,922.2807876000631,79.5042828841095,-7.438796015735919,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,random_forest,100,42,5,4,residual_mean,124,463.022932746894,53.474336817474956,-1.464205298651335,,,,1.0,-543.3129060760668,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,random_forest,100,42,5,4,linear,124,472.3879928879505,63.87955648677699,-1.7771813907927374,,,,1.987072907035641,-2356.479868247857,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,xgboost,100,42,5,4,none,124,976.828899452764,82.00119013732568,-8.321568677794925,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,xgboost,100,42,5,4,residual_mean,124,487.6544185138015,55.48114908494725,-1.6703655829913395,,,,1.0,-565.2751679219031,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,xgboost,100,42,5,4,linear,124,476.8802952406199,54.01943449687081,-1.7540779342127113,,,,1.3743890616772478,-1261.217697815321,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,catboost,100,42,5,4,none,124,816.2847468708748,74.72228975659282,-5.614274393939583,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,catboost,100,42,5,4,residual_mean,124,532.9797743217076,58.85392703284991,-1.9852418141971162,,,,1.0,-331.3844204640682,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,catboost,100,42,5,4,linear,124,530.0816392680978,61.99175562680368,-2.0788680060610516,,,,2.357686042515031,-2537.6030874325083,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,gaussian_process,100,42,5,4,none,124,913.3214088560953,72.60984511331178,-9.240356100206846,,,,1.0,0.0,,,,
pooled_erm_kshot,matr,,hust+sandia+luh,gaussian_process,100,42,5,4,residual_mean,124,656.297443782652,76.1114259770032,-4.432194235431753,,,,1.0,-446.78402430029354,,,,
